concept,height_meters,height_centimeters,height_millimeters,height_inches,height_feet,length_meters,length_centimeters,length_millimeters,length_inches,length_feet,temperature_celsius,temperature_fahrenheit,temperature_kelvin,value_us dollars,value_euros,value_pounds,weight_kilograms,weight_grams,weight_pounds,weight_ounces,width_meters,width_centimeters,width_millimeters,width_inches,width_feet,texture,colour,material,shape,pattern,location,disposition,model_name
motorcycle,1.1,110.00000000000001,1100.0,43.30708661417323,3.608923884514436,2.2,220.00000000000003,2200.0,86.61417322834646,7.217847769028872,30.0,86.0,303.15,10000.0,9090.90909090909,7692.3076923076915,200.0,200000.0,440.9248840367555,7054.798144588088,0.8,80.0,800.0,31.496062992125985,2.6246719160104988,[],"['black', 'blue', 'green', 'grey', 'orange', 'red', 'silver', 'white']","['glass', 'leather', 'plastic', 'rubber']",[],[],"['garage', 'highway']","['agile', 'fast', 'powerful']",MTurk
motorcycle,1.1,110.00000000000001,1100.0,43.30708661417323,3.608923884514436,2.1,210.0,2100.0,82.67716535433071,6.889763779527558,60.0,140.0,333.15,7500.0,6818.181818181818,5769.230769230769,200.0,200000.0,440.9248840367555,7054.798144588088,0.8,80.0,800.0,31.496062992125985,2.6246719160104988,[],"['black', 'blue', 'red', 'silver', 'white']","['leather', 'metal', 'plastic', 'rubber']",['cylindrical'],['striped'],"['garage', 'street']","['durable', 'fast', 'water-resistant']",MTurk
airplane,15.0,1500.0,15000.0,590.5511811023622,49.212598425196845,40.0,4000.0,40000.0,1574.8031496062993,131.2335958005249,-60.0,-76.0,213.14999999999998,120.0,109.0909090909091,92.30769230769229,100000.0,100000000.0,220462.44201837774,3527399.072294044,35.0,3500.0,35000.0,1377.9527559055118,114.8293963254593,[],"['black', 'blue', 'green', 'or', 'red', 'silver', 'white', 'yellow']","['glass', 'rubber']","['cylindrical', 'delta', 'rectangle']",['striped'],[],"['durable', 'engineered', 'fast', 'lightweight', 'weather-resistant']",MTurk
airplane,12.0,1200.0,12000.0,472.4409448818898,39.370078740157474,40.0,4000.0,40000.0,1574.8031496062993,131.2335958005249,,,,100000000.0,90909090.9090909,76923076.92307691,70000.0,70000000.0,154323.7094128644,2469179.3506058306,35.0,3500.0,35000.0,1377.9527559055118,114.8293963254593,[],"['blue', 'grey', 'silver', 'white']","['metal', 'plastic']","['conical', 'cylindrical', 'rectangle']",['striped'],"['hangar', 'runway', 'sky']","['durable', 'engineered']",MTurk
airplane,12.5,1250.0,12500.0,492.12598425196853,41.01049868766404,39.0,3900.0,39000.0,1535.4330708661419,127.9527559055118,,,,90000000.0,81818181.81818181,69230769.23076923,42000.0,42000000.0,92594.22564771866,1481507.6103634986,35.0,3500.0,35000.0,1377.9527559055118,114.8293963254593,[],"['blue', 'grey', 'red', 'silver', 'white']",['plastic'],"['cylindrical', 'rectangle']",['striped'],"['hangar', 'runway']","['durable', 'engineered', 'weather-resistant']",MTurk
bus,0.003,0.30000000000000004,3.0,0.11811023622047244,0.00984251968503937,0.012,1.2000000000000002,12.0,0.47244094488188976,0.03937007874015748,,,,300000.0,272727.2727272727,230769.23076923075,15000.0,15000000.0,33069.366302756665,529109.8608441066,0.0025,0.25,2.5,0.09842519685039369,0.008202099737532808,['bumpy'],"['black', 'blue', 'green', 'grey', 'orange', 'red', 'silver', 'white', 'yellow']","['fabric', 'glass', 'plastic', 'rubber']",['rectangle'],[],[],"['durable', 'noisy', 'public', 'reliable', 'tough', 'utilitarian']",MTurk
bus,0.0035,0.35000000000000003,3.5,0.1377952755905512,0.011482939632545932,0.013000000000000001,1.3,13.0,0.5118110236220472,0.04265091863517061,22.5,72.5,295.65,300000.0,272727.2727272727,230769.23076923075,15000.0,15000000.0,33069.366302756665,529109.8608441066,-5e-05,-0.005000000000000001,-0.05,-0.001968503937007874,-0.00016404199475065617,[],"['black', 'blue', 'green', 'orange', 'red', 'silver', 'white', 'yellow']","['glass', 'metal', 'plastic', 'rubber']","['cylindrical', 'rectangle']",['striped'],[],[],MTurk
bus,3.2,320.0,3200.0,125.98425196850394,10.498687664041995,11.0,1100.0,11000.0,433.07086614173227,36.08923884514435,25.0,77.0,298.15,50000.0,45454.545454545456,38461.53846153846,13000.0,13000000.0,28660.117462389106,458561.8793982257,2.4,240.0,2400.0,94.48818897637796,7.8740157480314945,[],"['blue', 'green', 'red', 'white', 'yellow']","['fabric', 'glass', 'plastic', 'rubber', 'wood']",['rectangle'],[],[],"['durable', 'noisy', 'public', 'tough', 'utilitarian']",MTurk
train,4.5,450.0,4500.0,177.16535433070868,14.763779527559054,200.0,20000.0,200000.0,7874.0157480314965,656.1679790026246,,,,10000000.0,9090909.09090909,7692307.692307692,400000.0,400000000.0,881849.768073511,14109596.289176175,3.0,300.0,3000.0,118.11023622047244,9.842519685039369,[],"['black', 'blue', 'green', 'grey', 'red', 'silver', 'white', 'yellow']","['glass', 'metal', 'plastic', 'rubber']","['cylindrical', 'rectangle']",['striped'],[],"['durable', 'powerful', 'weather-resistant']",MTurk
train,4.0,400.0,4000.0,157.48031496062993,13.123359580052492,200.0,20000.0,200000.0,7874.0157480314965,656.1679790026246,20.0,68.0,293.15,5000000.0,4545454.545454545,3846153.846153846,500000.0,500000000.0,1102312.2100918887,17636995.36147022,3.0,300.0,3000.0,118.11023622047244,9.842519685039369,[],"['blue', 'green', 'red', 'white', 'yellow']","['fabric', 'glass', 'plastic', 'rubber']","['car', 'cylindrical', 'rectangle']",[],[],"['durable', 'fast', 'noisy', 'powerful', 'public', 'reliable', 'robust']",MTurk
train,4.0,400.0,4000.0,157.48031496062993,13.123359580052492,200.0,20000.0,200000.0,7874.0157480314965,656.1679790026246,25.0,77.0,298.15,5000000.0,4545454.545454545,3846153.846153846,500000.0,500000000.0,1102312.2100918887,17636995.36147022,3.0,300.0,3000.0,118.11023622047244,9.842519685039369,[],"['black', 'blue', 'green', 'red', 'silver', 'white', 'yellow']","['glass', 'plastic', 'rubber']","['car', 'cylindrical', 'rectangle']",[],"['bridge', 'yard']","['efficient', 'fast', 'powerful', 'reliable', 'strong']",MTurk
truck,3.25,325.0,3250.0,127.95275590551182,10.66272965879265,8.0,800.0,8000.0,314.96062992125985,26.246719160104984,90.0,194.0,363.15,60000.0,54545.454545454544,46153.84615384615,8500.0,8500000.0,18739.30757156211,299828.92114499374,2.5,250.0,2500.0,98.4251968503937,8.202099737532807,[],"['black', 'blue', 'green', 'grey', 'red', 'seal brown', 'silver', 'white', 'yellow']","['fabric', 'glass', 'plastic', 'rubber']",['rectangle'],[],[],"['durable', 'powerful', 'reliable', 'resilient', 'robust', 'sturdy', 'tough', 'utilitarian']",MTurk
truck,2.0,200.0,2000.0,78.74015748031496,6.561679790026246,7.0,700.0,7000.0,275.59055118110234,22.96587926509186,30.0,86.0,303.15,50000.0,45454.545454545456,38461.53846153846,3500.0,3500000.0,7716.185470643221,123458.96753029154,2.5,250.0,2500.0,98.4251968503937,8.202099737532807,[],"['black', 'blue', 'green', 'grey', 'orange', 'red', 'silver', 'white', 'yellow']","['glass', 'metal', 'plastic', 'rubber']","['rectangle', 'rectangular cuboid']",['striped'],['garage'],"['durable', 'tough']",MTurk
truck,2.5,250.0,2500.0,98.4251968503937,8.202099737532807,7.0,700.0,7000.0,275.59055118110234,22.96587926509186,80.0,176.0,353.15,60000.0,54545.454545454544,46153.84615384615,5000.0,5000000.0,11023.122100918887,176369.9536147022,2.5,250.0,2500.0,98.4251968503937,8.202099737532807,[],"['black', 'blue', 'red', 'silver', 'white']","['plastic', 'rubber']",['rectangle'],[],[],"['durable', 'tough']",MTurk
boat,2.25,225.0,2250.0,88.58267716535434,7.381889763779527,15.0,1500.0,15000.0,590.5511811023622,49.212598425196845,,,,10500.0,9545.454545454546,8076.923076923076,1250.0,1250000.0,2755.7805252297217,44092.48840367555,4.0,400.0,4000.0,157.48031496062993,13.123359580052492,['fibrous'],"['black', 'blue', 'red', 'silver', 'white']","['metal', 'plastic', 'rubber', 'wood']",['v-shaped'],['striped'],"['harbor', 'lake', 'ocean', 'river']","['durable', 'fast', 'fragile', 'stable', 'tough', 'water-resistant']",MTurk
boat,1.2,120.0,1200.0,47.24409448818898,3.9370078740157473,4.5,450.0,4500.0,177.16535433070868,14.763779527559054,,,,15.0,13.636363636363637,11.538461538461537,350.0,350000.0,771.6185470643221,12345.896753029154,1.8,180.0,1800.0,70.86614173228347,5.905511811023621,[],"['black', 'blue', 'green', 'red', 'silver', 'white']","['plastic', 'wood']",['rectangle'],['striped'],"['boathouse', 'harbor', 'lake', 'river']","['corrosion-resistant', 'durable', 'water-resistant']",MTurk
boat,1.5,150.0,1500.0,59.05511811023622,4.921259842519684,6.0,600.0,6000.0,236.2204724409449,19.685039370078737,25.0,77.0,298.15,30000.0,27272.727272727272,23076.923076923074,1000.0,1000000.0,2204.6244201837776,35273.99072294044,2.0,200.0,2000.0,78.74015748031496,6.561679790026246,[],"['black', 'blue', 'green', 'grey', 'red', 'silver', 'white', 'yellow']","['fabric', 'plastic', 'rubber', 'wood']",['bow'],[],"['harbor', 'lake', 'ocean', 'river']","['durable', 'noisy', 'portable', 'stable', 'water-resistant']",MTurk
traffic light,,,,,,,,,,,,,,,,,,,,,,,,,,[],['red'],['plastic'],['rectangle'],['striped'],[],[],MTurk
traffic light,1.2,120.0,1200.0,47.24409448818898,3.9370078740157473,0.5,50.0,500.0,19.68503937007874,1.6404199475065615,60.0,140.0,333.15,3000.0,2727.272727272727,2307.6923076923076,20.0,20000.0,44.092488403675546,705.4798144588087,0.4,40.0,400.0,15.748031496062993,1.3123359580052494,[],"['green', 'red', 'yellow']","['metal', 'plastic']",['rectangle'],[],[],['durable'],MTurk
traffic light,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,0.75,75.0,750.0,29.52755905511811,2.4606299212598426,20.0,68.0,293.15,2000.0,1818.181818181818,1538.4615384615383,15.0,15000.0,33.06936630275666,529.1098608441066,0.3,30.0,300.0,11.811023622047244,0.984251968503937,[],"['black', 'green', 'grey', 'red', 'yellow']","['glass', 'plastic']","['circular', 'lighthouse', 'rectangle', 'square']",[],['park'],"['automated', 'durable', 'essential', 'rigid', 'weather-resistant']",MTurk
fire hydrant,0.8250000000000001,82.5,825.0,32.480314960629926,2.706692913385827,,,,,,,,,1500.0,1363.6363636363635,1153.8461538461538,68.0,68000.0,149.91446057249686,2398.63136915995,0.375,37.5,375.0,14.763779527559056,1.2303149606299213,[],"['blue', 'green', 'orange', 'red', 'silver', 'white', 'yellow']",['metal'],['cylindrical'],[],['street'],"['durable', 'impact-resistant', 'water-resistant', 'weather-resistant']",MTurk
fire hydrant,-0.00025,-0.025,-0.25,-0.00984251968503937,-0.0008202099737532808,-0.0001,-0.010000000000000002,-0.1,-0.003937007874015748,-0.00032808398950131233,,,,1750.0,1590.9090909090908,1346.153846153846,162.5,162500.0,358.25146827986384,5732.0234924778215,-0.0001,-0.010000000000000002,-0.1,-0.003937007874015748,-0.00032808398950131233,[],"['blue', 'green', 'orange', 'red', 'silver', 'yellow']","['plastic', 'rubber']",['cylindrical'],[],[],"['durable', 'impact-resistant', 'weather-resistant']",MTurk
fire hydrant,0.75,75.0,750.0,29.52755905511811,2.4606299212598426,0.6,60.0,600.0,23.62204724409449,1.968503937007874,,,,1500.0,1363.6363636363635,1153.8461538461538,65.0,65000.0,143.30058731194555,2292.809396991129,0.45,45.0,450.0,17.716535433070867,1.4763779527559056,[],"['blue', 'green', 'orange', 'red', 'silver', 'yellow']",[],['cylindrical'],[],['street'],"['corrosion-resistant', 'durable', 'weather-resistant']",MTurk
stop sign,0.6,60.0,600.0,23.62204724409449,1.968503937007874,0.6,60.0,600.0,23.62204724409449,1.968503937007874,15.0,59.0,288.15,150.0,136.36363636363635,115.38461538461537,3.5,3500.0,7.716185470643222,123.45896753029155,0.8,80.0,800.0,31.496062992125985,2.6246719160104988,[],"['color', 'red', 'white']","['metal', 'plastic']",['octagon'],[],[],"['durable', 'weather-resistant']",MTurk
stop sign,0.003,0.3,3.0,0.11811023622047244,0.00984251968503937,0.75,75.0,750.0,29.52755905511811,2.4606299212598426,,,,50.0,45.45454545454545,38.46153846153846,3.0,3000.0,6.613873260551332,105.82197216882132,0.75,75.0,750.0,29.52755905511811,2.4606299212598426,[],"['red', 'white']",['plastic'],['octagon'],[],[],"['durable', 'rigid', 'stationary', 'weather-resistant']",MTurk
stop sign,,,,,,,,,,,,,,,,,,,,,,,,,,[],['red'],[],['octagon'],[],[],[],MTurk
parking meter,1.5,150.0,1500.0,59.05511811023622,4.921259842519684,,,,,,,,,500.0,454.5454545454545,384.6153846153846,20.0,20000.0,44.092488403675546,705.4798144588087,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,[],"['black', 'blue', 'green', 'grey', 'silver', 'yellow']","['glass', 'metal', 'plastic']","['cylindrical', 'rectangle']",[],[],"['durable', 'sturdy', 'weather-resistant']",MTurk
parking meter,1.2,120.0,1200.0,47.24409448818898,3.937007874015748,0.2,20.0,200.0,7.874015748031496,0.6561679790026247,25.0,77.0,298.15,500.0,454.5454545454545,384.6153846153846,15.0,15000.0,33.06936630275666,529.1098608441066,0.2,20.0,200.0,7.874015748031496,0.6561679790026247,[],"['black', 'blue', 'green', 'grey', 'or', 'silver', 'yellow']","['concrete', 'glass', 'metal', 'plastic']","['cylindrical', 'rectangle', 't-shaped']",[],['street'],"['automated', 'functional', 'public', 'reliable', 'sturdy', 'weather-resistant']",MTurk
parking meter,1.2,120.0,1200.0,47.24409448818898,3.937007874015748,0.2,20.0,200.0,7.874015748031496,0.6561679790026247,25.0,77.0,298.15,500.0,454.5454545454545,384.6153846153846,15.0,15000.0,33.06936630275666,529.1098608441066,0.2,20.0,200.0,7.874015748031496,0.6561679790026247,[],"['black', 'grey', 'silver']","['glass', 'metal', 'plastic']","['cylindrical', 'rectangle', 't-shaped']",[],['street'],"['automated', 'sturdy', 'weather-resistant']",MTurk
bench,0.00045000000000000004,0.045000000000000005,0.45,0.017716535433070866,0.0014763779527559055,0.0016,0.16000000000000003,1.6,0.06299212598425197,0.005249343832020997,10.0,50.0,283.15,125.0,113.63636363636363,96.15384615384615,20.0,20000.0,44.092488403675546,705.4798144588087,0.0005,0.05,0.5,0.01968503937007874,0.0016404199475065617,[],"['black', 'blue', 'red', 'seal brown', 'silver']","['concrete', 'fabric', 'metal', 'plastic', 'stone', 'wood']","['circular', 'l-shaped', 'rectangle']",['striped'],['park'],"['comfortable', 'durable', 'stable', 'tough', 'weather-resistant']",MTurk
bench,0.45,45.0,450.0,17.716535433070867,1.4763779527559056,1.5,150.0,1500.0,59.05511811023622,4.921259842519685,,,,200.0,181.8181818181818,153.84615384615384,20.0,20000.0,44.092488403675546,705.4798144588087,0.4,40.0,400.0,15.748031496062993,1.3123359580052494,[],"['black', 'green', 'seal brown']","['metal', 'plastic', 'wood']",['rectangle'],[],['park'],"['durable', 'weather-resistant']",MTurk
bench,0.45,45.0,450.0,17.716535433070867,1.4763779527559053,1.8,180.0,1800.0,70.86614173228347,5.905511811023621,,,,300.0,272.7272727272727,230.76923076923075,50.0,50000.0,110.23122100918887,1763.699536147022,0.45,45.0,450.0,17.716535433070867,1.4763779527559053,[],"['black', 'green', 'grey', 'seal brown']","['concrete', 'metal', 'plastic', 'stone', 'wood']",['rectangle'],[],[],"['comfortable', 'durable', 'inviting', 'public', 'stationary', 'sturdy', 'utilitarian', 'weather-resistant']",MTurk
bird,0.2,20.0,200.0,7.874015748031496,0.6561679790026247,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,40.0,104.0,313.15,50.0,45.45454545454545,38.46153846153846,0.5,500.0,1.1023122100918887,17.63699536147022,0.1,10.0,100.0,3.937007874015748,0.32808398950131235,[],"['black', 'blue', 'green', 'grey', 'multicolored', 'red', 'seal brown', 'white', 'yellow']","['bone', 'skin']",['oval'],['striped'],[],"['alert', 'fragile']",MTurk
bird,0.1,10.0,100.0,3.937007874015748,0.32808398950131235,0.15,15.0,150.0,5.905511811023622,0.4921259842519685,40.0,104.0,313.15,20.0,18.18181818181818,15.384615384615383,20.0,20000.0,44.092488403675546,705.4798144588087,0.05,5.0,50.0,1.968503937007874,0.16404199475065617,['scaly'],"['black', 'grey', 'red', 'seal brown', 'white']","['bone', 'skin']",['ovoid'],[],[],"['agile', 'bold', 'curious', 'fragile', 'herbivorous', 'omnivorous', 'protective', 'resilient', 'shy', 'social', 'vocal', 'water-resistant']",MTurk
bird,0.15,15.0,150.0,5.905511811023622,0.4921259842519685,0.2,20.0,200.0,7.874015748031496,0.6561679790026247,40.0,104.0,313.15,50.0,45.45454545454545,38.46153846153846,0.1,100.0,0.22046244201837775,3.527399072294044,0.4,40.0,400.0,15.748031496062993,1.3123359580052494,['scaly'],"['black', 'blue', 'green', 'grey', 'red', 'seal brown', 'white', 'yellow']","['bone', 'skin']",['oval'],['striped'],['sky'],"['agile', 'fragile', 'resilient', 'vocal']",MTurk
cat,,,,,,46.0,4600.0,46000.0,1811.023622047244,150.91863517060366,37.77777777777778,100.0,310.92777777777775,100.0,90.9090909090909,76.92307692307692,,,,,1.0,100.0,1000.0,39.37007874015748,3.2808398950131235,[],"['black', 'grey', 'orange', 'seal brown', 'white']",[],[],['striped'],"['bedroom', 'kitchen']","['agile', 'curious', 'friendly', 'independent', 'playful']",MTurk
cat,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,0.45,45.0,450.0,17.716535433070867,1.4763779527559056,38.5,101.3,311.65,50.0,45.45454545454545,38.46153846153846,4.0,4000.0,8.81849768073511,141.09596289176176,0.15,15.0,150.0,5.905511811023622,0.4921259842519685,[],"['black', 'grey', 'orange', 'seal brown', 'white']","['bone', 'fur', 'skin']",[],['striped'],"['alley', 'barn', 'street']","['affectionate', 'agile', 'curious', 'graceful', 'independent', 'observant', 'playful', 'quiet']",MTurk
cat,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,0.45,45.0,450.0,17.716535433070867,1.4763779527559056,38.5,101.3,311.65,50.0,45.45454545454545,38.46153846153846,4.0,4000.0,8.81849768073511,141.09596289176176,0.15,15.0,150.0,5.905511811023622,0.4921259842519685,[],"['black', 'grey', 'orange', 'seal brown', 'white']","['bone', 'fur', 'skin']",[],['striped'],"['alley', 'barn', 'street']","['affectionate', 'agile', 'curious', 'graceful', 'independent', 'observant', 'playful', 'quiet']",MTurk
dog,0.5,50.0,500.0,19.68503937007874,1.6404199475065617,0.6,60.0,600.0,23.62204724409449,1.968503937007874,38.5,101.3,311.65,500.0,454.5454545454545,384.6153846153846,20.0,20000.0,44.092488403675546,705.4798144588087,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,[],"['black', 'gold', 'grey', 'seal brown', 'white']",[],[],['striped'],"['kennel', 'park', 'street']","['friendly', 'loyal', 'obedient', 'playful', 'protective']",MTurk
dog,0.5,50.0,500.0,19.68503937007874,1.6404199475065617,0.6,60.0,600.0,23.62204724409449,1.968503937007874,38.0,100.4,311.15,1250.0,1136.3636363636363,961.5384615384614,20.0,20000.0,44.092488403675546,705.4798144588087,0.15,15.0,150.0,5.905511811023622,0.4921259842519685,[],"['black', 'gold', 'grey', 'or', 'red', 'seal brown', 'white']",[],"['cylindrical', 'rectangle', 'round']",['striped'],[],"['friendly', 'loyal', 'playful', 'protective']",MTurk
dog,0.6,60.0,600.0,23.62204724409449,1.968503937007874,0.9,90.0,900.0,35.43307086614173,2.952755905511811,38.5,101.3,311.65,100.0,90.9090909090909,76.92307692307692,25.0,25000.0,55.115610504594436,881.849768073511,0.3,30.0,300.0,11.811023622047244,0.984251968503937,[],"['black', 'seal brown', 'white']",[],[],['striped'],['park'],"['friendly', 'loyal', 'protective']",MTurk
horse,1.6,160.0,1600.0,62.99212598425197,5.2493438320209975,2.4,240.0,2400.0,94.48818897637796,7.8740157480314945,38.0,100.4,311.15,5000.0,4545.454545454545,3846.1538461538457,500.0,500000.0,1102.3122100918888,17636.99536147022,0.6,60.0,600.0,23.62204724409449,1.9685039370078736,[],"['black', 'grey', 'seal brown', 'white']",[],['cylindrical'],['striped'],"['farm', 'pasture', 'stable']","['intelligent', 'loyal', 'skittish', 'strong']",MTurk
horse,1.6,160.0,1600.0,62.99212598425197,5.2493438320209975,2.4,240.0,2400.0,94.48818897637796,7.8740157480314945,38.0,100.4,311.15,5000.0,4545.454545454545,3846.1538461538457,500.0,500000.0,1102.3122100918888,17636.99536147022,0.8,80.0,800.0,31.496062992125985,2.6246719160104988,[],"['black', 'grey', 'seal brown', 'white']","['bone', 'fur', 'metal', 'plastic', 'skin']",['cylindrical'],['striped'],[],"['durable', 'loyal', 'skittish', 'strong']",MTurk
horse,1.5,150.0,1500.0,59.05511811023622,4.921259842519684,2.4,240.0,2400.0,94.48818897637796,7.8740157480314945,38.0,100.4,311.15,5000.0,4545.454545454545,3846.1538461538457,500.0,500000.0,1102.3122100918888,17636.99536147022,0.6,60.0,600.0,23.62204724409449,1.9685039370078736,[],"['bay', 'black', 'chestnut', 'grey', 'seal brown', 'white']","['bone', 'fur', 'skin']",[],['striped'],"['arena', 'farm', 'pasture', 'stable']","['docile', 'fast', 'intelligent', 'loyal', 'social', 'strong']",MTurk
sheep,0.75,75.0,750.0,29.52755905511811,2.460629921259842,-0.25,-25.0,-250.0,-9.84251968503937,-0.8202099737532808,39.0,102.2,312.15,150.0,136.36363636363635,115.38461538461537,70.0,70000.0,154.32370941286442,2469.1793506058307,-0.1,-10.0,-100.0,-3.937007874015748,-0.32808398950131235,[],"['black', 'grey', 'seal brown', 'white']",['bone'],"['cylindrical', 'oblong', 'oval']",[],"['barn', 'farm', 'field', 'pasture']","['docile', 'social', 'timid']",MTurk
sheep,0.9,90.0,900.0,35.43307086614173,2.9527559055118107,1.3,130.0,1300.0,51.181102362204726,4.2650918635170605,39.0,102.2,312.15,,,,70.0,70000.0,154.32370941286442,2469.1793506058307,0.5,50.0,500.0,19.68503937007874,1.6404199475065615,[],"['black', 'grey', 'seal brown', 'white']",['skin'],"['cylindrical', 'oval']",[],"['barn', 'farm', 'field', 'pasture']","['docile', 'durable', 'friendly']",MTurk
sheep,-0.00025,-0.025,-0.25,-0.00984251968503937,-0.0008202099737532808,-0.0003,-0.03,-0.3,-0.011811023622047244,-0.000984251968503937,-0.800000000000001,30.56,272.34999999999997,300.0,272.7272727272727,230.76923076923075,102.5,102500.0,225.9740030688372,3615.584049101395,-0.00015,-0.015,-0.15,-0.005905511811023622,-0.0004921259842519685,[],"['black', 'grey', 'seal brown', 'white']",[],"['cylindrical', 'rectangle']",[],[],"['curious', 'gentle', 'skittish', 'timid']",MTurk
