,concept,model_name,colour,shape,location,texture,material,pattern,disposition,function,size,weight,temperature,value,scenario,context,colour_sum,shape_sum,location_sum,texture_sum,material_sum,pattern_sum,disposition_sum,function_sum,size_sum,weight_sum,temperature_sum,value_sum,scenario_sum,context_sum
378,airplane,llama31_8b_standard,"[-1, -1, -1, -1, -1]","[1, 1, 1, 1, 1]","[-1, 1, 1, -1, -1]","[-1, -1, -1, 1, -1]","[-1, 1, 1, -1, 1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[1, 1, 1, 1, 1]","[-1, 1, 1, 1, -1]","[-1, -1, 1, -1, 1]","[-1, -1, -1, 1, -1]","[1, -1, -1, -1, 1]","[1, -1, -1, 1, -1]","[1, 1, 1, 1, 1]",-5,5,-1,-3,1,-5,-5,5,1,-1,-3,-1,-1,5
58,airplane,phi3mini_4k_instruct_q4,[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,apple,qwen25_1b_standard,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1]","[1, -1, 1, -1, -1, -1, -1, 1, -1, 1, -1]","[1, -1, 1, -1, -1, -1, -1, 1, -1, 1, -1]","[-1, 1, -1, 1, -1, -1, 1, -1, 1, -1, 1]","[1, -1, 1, -1, -1, 1, -1, 1, -1, 1, -1]","[-1, -1, -1, 1, -1, -1, -1, -1, 1, -1, 1]","[1, 1, 1, -1, -1, -1, 1, 1, -1, 1, -1]","[-1, -1, -1, 1, 1, 1, -1, -1, 1, -1, 1]","[-1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1]","[-1, 1, -1, 1, -1, 1, 1, -1, 1, -1, 1]",11,-11,9,-11,7,-3,-3,-1,-1,-5,1,-1,-7,1
143,apple,qwen25_7b_standard,"[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[-1, -1, -1, -1]","[-1, -1, -1, -1]","[-1, -1, -1, -1]","[1, -1, 1, 1]","[1, 1, 1, 1]","[-1, -1, 1, -1]","[-1, -1, -1, -1]","[-1, -1, -1, -1]","[-1, -1, 1, 1]","[-1, -1, 1, 1]",4,4,4,4,-4,-4,-4,2,4,-2,-4,-4,0,0
463,apple,llama_30b_standard,[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,apple,llava_7b_standard,"[1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1]","[-1, 1, 1, -1, 1, -1]","[-1, -1, -1, -1, -1, 1]","[-1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1]","[-1, 1, -1, -1, -1, -1]","[-1, 1, 1, -1, 1, 1]","[-1, 1, -1, -1, 1, -1]","[-1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, 1, -1]","[-1, -1, -1, -1, -1, -1]","[-1, 1, 1, 1, 1, 1]",6,-6,6,0,-4,-6,-6,-4,2,-2,-6,-4,-6,4
383,apple,llama31_8b_standard,[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,apple,phi3mini_4k_instruct_q4,[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,backpack,llama_30b_standard,[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,backpack,qwen25_1b_standard,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, 1, 1, -1, -1, -1, -1, 1, 1, 1, -1, -1, 1, -1]","[1, 1, 1, -1, -1, 1, 1, 1, 1, -1, -1, -1, 1, 1, -1, 1]","[1, -1, -1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, -1]","[1, -1, -1, -1, 1, 1, 1, 1, -1, -1, -1, 1, -1, 1, -1, -1]","[1, -1, -1, -1, -1, 1, 1, 1, -1, -1, -1, -1, -1, 1, -1, -1]","[-1, 1, 1, 1, 1, -1, -1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1, 1, -1, 1, -1, 1, 1, 1, 1, -1, 1, 1, 1, 1, -1, -1]","[-1, -1, 1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 1, -1, 1, 1]","[1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1]","[-1, 1, 1, 1, 1, -1, -1, 1, 1, 1, -1, -1, 1, -1, -1, 1]","[-1, 1, 1, -1, -1, -1, -1, -1, 1, -1, 1, -1, 1, -1, -1, 1]","[-1, 1, 1, 1, -1, -1, -1, -1, 1, 1, 1, -1, 1, -1, 1, 1]",-16,16,-4,4,8,-2,-6,8,6,0,-10,2,-4,2
27,backpack,phi3mini_4k_instruct_q4,[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,backpack,qwen25_7b_standard,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, 1, -1, 1, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 1, -1, 1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, -1, -1, 1, -1, 1, 1, 1, -1, 1, -1, 1, 1, -1, -1, 1, -1, 1, 1, 1]","[1, -1, -1, 1, -1, 1, 1, 1, 1, 1, -1, 1, 1, -1, 1, 1, -1, 1, 1, 1]",20,20,20,-16,20,-8,-20,20,20,-14,-20,-20,4,8
347,backpack,llama31_8b_standard,"[1, 1]","[1, 1]","[-1, 1]","[1, -1]","[1, 1]","[1, 1]","[-1, -1]","[1, 1]","[1, 1]","[-1, -1]","[-1, -1]","[1, 1]","[-1, -1]","[-1, -1]",2,2,0,0,2,2,-2,2,2,-2,-2,2,-2,-2
187,backpack,llava_7b_standard,"[1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1, 1]","[1, 1, 1, -1, 1, 1, -1, -1, 1, 1, 1, 1, 1, 1]","[1, 1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, 1, -1, -1, -1, -1, -1, 1, -1, -1, 1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, 1, -1, 1, -1, -1, -1, 1, -1, 1, -1, -1, 1, -1]",-6,8,10,-12,14,-10,-14,14,14,14,-14,-8,-14,-4
307,banana,qwen25_1b_standard,"[-1, -1, -1, -1, 1, 1, -1, 1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, -1, -1, 1, -1, -1, -1, 1, 1, 1]","[-1, -1, -1, 1, 1, 1, -1, 1, 1, 1, 1, -1, -1]","[1, 1, 1, 1, -1, -1, 1, -1, -1, -1, 1, 1, 1]","[-1, -1, -1, -1, -1, 1, -1, 1, -1, 1, -1, -1, -1]","[-1, -1, -1, -1, -1, 1, -1, 1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, 1, -1, 1, -1, -1, -1, -1, -1]","[-1, -1, 1, 1, -1, -1, 1, -1, 1, 1, 1, -1, 1]","[1, 1, -1, -1, 1, 1, -1, 1, -1, -1, 1, 1, -1]","[-1, -1, -1, -1, -1, -1, 1, -1, -1, 1, -1, 1, 1]","[-1, 1, 1, -1, -1, 1, -1, 1, 1, -1, -1, -1, -1]","[-1, -1, -1, -1, 1, -1, 1, -1, -1, 1, -1, 1, -1]","[-1, 1, 1, 1, -1, -1, 1, -1, 1, -1, 1, -1, 1]","[1, 1, 1, 1, 1, -1, 1, -1, 1, 1, 1, 1, 1]",-7,3,1,3,-7,-9,-9,1,1,-5,-3,-5,1,9
227,banana,llava_7b_standard,"[-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, -1, -1]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[-1, -1, 1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1]","[1, 1, -1, -1, 1, 1, -1, 1, 1, 1, 1, 1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, -1, 1, -1, -1, 1, 1, -1, 1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1]","[-1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, 1, 1, 1, -1, -1, -1, 1, 1, -1, -1, -1]",-9,11,-7,5,-13,-13,-13,11,3,-9,-13,-11,-11,-3
67,banana,phi3mini_4k_instruct_q4,[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,banana,qwen25_7b_standard,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, 1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",20,20,20,18,-16,-20,-20,20,20,-16,-14,-20,20,20
387,banana,llama31_8b_standard,[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,banana,llama_30b_standard,[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,baseball bat,llava_7b_standard,"[-1, -1, -1, -1, -1]","[1, 1, 1, 1, 1]","[1, 1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]","[1, 1, -1, -1, 1]",-5,5,-1,-5,5,-5,-5,5,5,5,-5,-5,-5,1
445,baseball bat,llama_30b_standard,[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,baseball bat,qwen25_7b_standard,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, -1, -1, -1, -1, -1, 1, -1, 1, 1, -1, -1, -1, -1, 1, -1, -1, 1, -1, 1]",-20,20,-18,16,20,-16,-20,20,20,20,-20,-18,-18,-6
365,baseball bat,llama31_8b_standard,"[-1, -1]","[1, 1]","[1, -1]","[-1, 1]","[1, 1]","[-1, -1]","[-1, -1]","[1, 1]","[1, 1]","[1, 1]","[-1, -1]","[1, -1]","[-1, -1]","[1, -1]",-2,2,0,0,2,-2,-2,2,2,2,-2,0,-2,0
45,baseball bat,phi3mini_4k_instruct_q4,[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,baseball bat,qwen25_1b_standard,"[-1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, -1]","[-1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, -1]","[-1, 1, 1, 1, 1, 1]","[-1, -1, -1, 1, -1, 1]","[-1, -1, -1, 1, -1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, -1, 1, 1, -1]","[-1, 1, 1, 1, 1, 1]","[1, -1, -1, -1, -1, -1]","[-1, -1, -1, 1, 1, 1]","[1, -1, -1, -1, -1, -1]","[1, -1, 1, -1, 1, -1]",-6,4,-6,4,4,-2,-2,6,2,4,-4,0,-4,0
311,baseball glove,qwen25_1b_standard,"[1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1]","[1, -1, -1, 1, -1, -1, -1]","[1, 1, 1, -1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, -1, 1, -1, 1]","[1, 1, -1, -1, 1, -1, 1]","[1, 1, 1, 1, 1, 1, -1]","[1, -1, -1, -1, -1, -1, 1]","[1, 1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, -1, 1, 1, 1]","[1, -1, -1, 1, -1, -1, -1]","[1, -1, -1, -1, -1, 1, -1]",-5,7,-3,5,7,3,1,5,-3,7,-7,5,-3,-3
71,baseball glove,phi3mini_4k_instruct_q4,[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,baseball glove,llama_30b_standard,[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
