concept,height_meters,height_centimeters,height_millimeters,height_inches,height_feet,length_meters,length_centimeters,length_millimeters,length_inches,length_feet,temperature_celsius,temperature_fahrenheit,temperature_kelvin,value_us dollars,value_euros,value_pounds,weight_kilograms,weight_grams,weight_pounds,weight_ounces,width_meters,width_centimeters,width_millimeters,width_inches,width_feet,texture,colour,material,shape,pattern,location,disposition,model_name
motorcycle,1.1500000000000001,115.0,1150.0,45.275590551181104,3.772965879265092,2.1,210.0,2100.0,82.67716535433071,6.889763779527559,60.0,140.0,333.15,8000.0,7272.727272727272,6153.846153846153,200.0,200000.0,440.9248840367555,7054.798144588088,0.8,80.0,800.0,31.496062992125985,2.6246719160104988,"['metallic', 'rubbery', 'smooth']","['black', 'red', 'silver']","['aluminium', 'rubber', 'steel']",[],['logo'],"['garage', 'parking lot', 'street']","['durable', 'fast']",MTurk
motorcycle,0.012,1.2,12.0,0.47244094488188976,0.03937007874015748,2.5,250.0,2500.0,98.4251968503937,8.202099737532807,80.0,176.0,353.15,15000.0,13636.363636363636,11538.461538461537,200.0,200000.0,440.9248840367555,7054.798144588088,0.01,1.0,10.0,0.3937007874015748,0.03280839895013123,"['rough', 'smooth']","['black', 'blue', 'red', 'silver', 'white']","['metal', 'plastic', 'rubber']","['cylindrical', 'rectangle']","['plain', 'striped']","['garage', 'parking lot', 'street']","['durable', 'powerful', 'tough']",MTurk
airplane,12.0,1200.0,12000.0,472.4409448818898,39.370078740157474,40.0,4000.0,40000.0,1574.8031496062993,131.2335958005249,,,,90.0,81.81818181818181,69.23076923076923,45.0,45000.0,99.20809890826999,1587.3295825323198,35.0,3500.0,35000.0,1377.9527559055118,114.8293963254593,"['ribbed', 'smooth']","['blue', 'red', 'silver', 'white']","['aluminium', 'fiber', 'glass', 'plastic']",['cylindrical'],"['plain', 'striped']","['airfield', 'hangar', 'runway']","['durable', 'weather-resistant']",MTurk
airplane,12.0,1200.0,12000.0,472.4409448818898,39.370078740157474,40.0,4000.0,40000.0,1574.8031496062993,131.2335958005249,,,,100000000.0,90909090.9090909,76923076.92307691,40000.0,40000000.0,88184.9768073511,1410959.6289176175,35.0,3500.0,35000.0,1377.9527559055118,114.8293963254593,"['metallic', 'smooth']","['blue', 'silver', 'white']",['aluminium'],['cylindrical'],"['plain', 'striped']","['airfield', 'hangar', 'runway']",['durable'],MTurk
airplane,10.0,1000.0,10000.0,393.7007874015748,32.80839895013123,30.0,3000.0,30000.0,1181.1023622047244,98.42519685039369,40.0,104.0,313.15,80000000.0,72727272.72727272,61538461.538461536,70000.0,70000000.0,154323.7094128644,2469179.3506058306,30.0,3000.0,30000.0,1181.1023622047244,98.42519685039369,"['metallic', 'smooth']","['black', 'blue', 'grey', 'red', 'silver', 'white', 'yellow']","['aluminium', 'metal', 'plastic', 'rubber']","['cylindrical', 'rectangle']","['logo', 'plain', 'striped']","['airfield', 'hangar', 'runway']","['durable', 'tough']",MTurk
bus,3.5,350.0,3500.0,137.7952755905512,11.482939632545932,12.0,1200.0,12000.0,472.4409448818898,39.37007874015748,,,,350000.0,318181.8181818182,269230.7692307692,12000.0,12000000.0,26455.49304220533,423287.88867528527,2.5,250.0,2500.0,98.4251968503937,8.202099737532809,"['metallic', 'smooth']","['red', 'white', 'yellow']","['glass', 'metal', 'rubber']",['rectangle'],['logo'],['road'],['durable'],MTurk
bus,3.2,320.0,3200.0,125.98425196850394,10.498687664041995,12.0,1200.0,12000.0,472.4409448818898,39.370078740157474,,,,300000.0,272727.2727272727,230769.23076923075,12000.0,12000000.0,26455.49304220533,423287.88867528527,2.5,250.0,2500.0,98.4251968503937,8.202099737532807,"['rough', 'smooth', 'soft']","['blue', 'red', 'silver', 'white', 'yellow']","['fabric', 'glass', 'metal', 'plastic', 'rubber']","['cylindrical', 'rectangle']","['plain', 'striped']",['road'],"['durable', 'weather-resistant']",MTurk
bus,3.2,320.0,3200.0,125.98425196850394,10.498687664041995,12.0,1200.0,12000.0,472.4409448818898,39.370078740157474,25.0,77.0,298.15,450000.0,409090.90909090906,346153.8461538461,13000.0,13000000.0,28660.117462389106,458561.8793982257,2.5,250.0,2500.0,98.4251968503937,8.202099737532807,['rough'],['red'],"['glass', 'metal', 'plastic']",['rectangle'],['plain'],[],['durable'],MTurk
train,4.5,450.0,4500.0,177.16535433070868,14.763779527559054,200.0,20000.0,200000.0,7874.0157480314965,656.1679790026246,22.0,71.6,295.15,10000000.0,9090909.09090909,7692307.692307692,400000.0,400000000.0,881849.768073511,14109596.289176175,3.0,300.0,3000.0,118.11023622047244,9.842519685039369,['smooth'],"['black', 'blue', 'green', 'red', 'silver', 'white', 'yellow']","['aluminium', 'fabric', 'glass', 'plastic', 'rubber', 'steel']","['cylindrical', 'rectangle']","['plain', 'striped']","['countryside', 'train station', 'yard']","['durable', 'noisy', 'powerful', 'weather-resistant']",MTurk
train,4.0,400.0,4000.0,157.48031496062993,13.123359580052492,200.0,20000.0,200000.0,7874.0157480314965,656.1679790026246,,,,1000000.0,909090.9090909091,769230.7692307691,200000.0,200000000.0,440924.8840367555,7054798.144588088,3.0,300.0,3000.0,118.11023622047244,9.842519685039369,"['metallic', 'smooth']","['blue', 'red', 'silver', 'white', 'yellow']","['glass', 'metal', 'plastic', 'rubber']","['cylindrical', 'rectangle']","['logo', 'plain']",['train station'],"['durable', 'fast', 'heavy', 'powerful']",MTurk
train,4.0,400.0,4000.0,157.48031496062993,13.123359580052492,200.0,20000.0,200000.0,7874.0157480314965,656.1679790026246,25.0,77.0,298.15,5000.0,4545.454545454545,3846.1538461538457,200.0,200000.0,440.9248840367555,7054.798144588088,3.0,300.0,3000.0,118.11023622047244,9.842519685039369,"['rough', 'smooth']","['blue', 'green', 'red', 'silver', 'white', 'yellow']","['glass', 'metal', 'plastic']","['cylindrical', 'rectangle']","['logo', 'plain', 'striped']",['train station'],"['durable', 'heavy', 'tough']",MTurk
truck,2.0,200.0,2000.0,78.74015748031496,6.561679790026246,6.0,600.0,6000.0,236.2204724409449,19.685039370078737,-9.444444444444445,15.0,263.7055555555555,45000.0,40909.090909090904,34615.38461538461,3000.0,3000000.0,6613.873260551332,105821.97216882132,2.5,250.0,2500.0,98.4251968503937,8.202099737532807,"['metallic', 'rough', 'rubbery', 'smooth']","['black', 'blue', 'green', 'grey', 'red', 'silver', 'white', 'yellow']","['fabric', 'glass', 'metal', 'plastic', 'rubber']","['cylindrical', 'rectangle']","['plain', 'striped']","['construction site', 'driveway', 'garage', 'highway', 'loading dock', 'parking lot']","['durable', 'powerful', 'tough', 'weather-resistant']",MTurk
truck,3.5,350.0,3500.0,137.79527559055117,11.48293963254593,6.5,650.0,6500.0,255.90551181102364,21.3254593175853,60.0,140.0,333.15,60000.0,54545.454545454544,46153.84615384615,7000.0,7000000.0,15432.370941286443,246917.93506058308,2.5,250.0,2500.0,98.4251968503937,8.202099737532807,"['glossy', 'matted', 'rough', 'smooth']","['black', 'blue', 'green', 'red', 'silver', 'white']","['metal', 'plastic', 'rubber']","['cylindrical', 'rectangle']","['logo', 'plain', 'striped']","['construction site', 'farm', 'garage', 'highway']","['durable', 'tough', 'weather-resistant']",MTurk
truck,3.5,350.0,3500.0,137.79527559055117,11.48293963254593,7.0,700.0,7000.0,275.59055118110234,22.96587926509186,25.0,77.0,298.15,40000.0,36363.63636363636,30769.230769230766,8000.0,8000000.0,17636.99536147022,282191.92578352353,2.5,250.0,2500.0,98.4251968503937,8.202099737532807,"['rough', 'smooth']","['black', 'blue', 'green', 'orange', 'red', 'silver', 'white', 'yellow']","['metal', 'plastic', 'rubber']",['rectangle'],"['logo', 'plain', 'striped']","['construction site', 'garage', 'highway', 'parking lot', 'road']","['durable', 'powerful', 'tough']",MTurk
boat,1.2,120.0,1200.0,47.24409448818898,3.9370078740157473,4.5,450.0,4500.0,177.16535433070868,14.763779527559054,35.0,95.0,308.15,8000.0,7272.727272727272,6153.846153846153,250.0,250000.0,551.1561050459444,8818.49768073511,1.5,150.0,1500.0,59.05511811023622,4.921259842519684,"['rough', 'smooth']","['blue', 'green', 'grey', 'red', 'white']","['fiberglass', 'metal', 'plastic', 'wood']","['oval', 'rectangle', 'v-shaped']","['logo', 'plain', 'striped']","['beach', 'boathouse', 'garage', 'lake', 'river']","['durable', 'water-resistant']",MTurk
boat,1.2,120.0,1200.0,47.24409448818898,3.9370078740157473,5.0,500.0,5000.0,196.8503937007874,16.404199475065614,,,,8000.0,7272.727272727272,6153.846153846153,250.0,250000.0,551.1561050459444,8818.49768073511,1.8,180.0,1800.0,70.86614173228347,5.905511811023621,"['rough', 'smooth']","['blue', 'green', 'grey', 'red', 'silver', 'white']","['aluminium', 'fiberglass', 'plastic', 'rubber', 'steel', 'wood']","['oval', 'v-shaped']","['logo', 'plain', 'striped']","['boathouse', 'lake', 'ocean', 'river']","['durable', 'water-resistant', 'weather-resistant']",MTurk
boat,,,,,,5.0,500.0,5000.0,196.8503937007874,16.404199475065614,,,,10000.0,9090.90909090909,7692.3076923076915,400.0,400000.0,881.849768073511,14109.596289176176,2.0,200.0,2000.0,78.74015748031496,6.561679790026246,"['rough', 'smooth']","['black', 'blue', 'green', 'grey', 'red', 'white']","['aluminium', 'fiberglass', 'plastic', 'steel', 'wood']","['oval', 'rectangle', 'v-shaped']","['plain', 'striped']","['beach', 'boathouse', 'lake', 'ocean', 'river']","['durable', 'water-resistant']",MTurk
traffic light,0.25,25.0,250.0,9.84251968503937,0.8202099737532808,1.2,120.0,1200.0,47.24409448818898,3.9370078740157473,50.0,122.0,323.15,3500.0,3181.8181818181815,2692.307692307692,15.0,15000.0,33.06936630275666,529.1098608441066,0.3,30.0,300.0,11.811023622047244,0.9842519685039368,['smooth'],"['black', 'green', 'grey', 'red', 'yellow']","['metal', 'plastic']","['cylindrical', 'rectangle']","['grid', 'plain']","['highway', 'parking lot']","['durable', 'heat-resistant', 'weather-resistant']",MTurk
traffic light,0.11,11.0,110.0,4.330708661417323,0.36089238845144356,0.102,10.2,102.0,4.015748031496063,0.33464566929133854,537.7777777777778,1000.0,810.9277777777778,2000.0,1818.181818181818,1538.4615384615383,1.5,1500.0,3.306936630275666,52.91098608441066,0.03,3.0,30.0,1.1811023622047245,0.09842519685039369,['rough'],"['green', 'red', 'yellow']",['metal'],[],['striped'],['road'],[],MTurk
traffic light,2.0,200.0,2000.0,78.74015748031496,6.561679790026247,0.5,50.0,500.0,19.68503937007874,1.6404199475065617,30.0,86.0,303.15,100.0,90.9090909090909,76.92307692307692,10.0,10000.0,22.046244201837773,352.73990722940437,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,['smooth'],"['green', 'red', 'yellow']","['metal', 'plastic']","['cylindrical', 'rectangle']",['plain'],"['highway', 'street']",['durable'],MTurk
fire hydrant,0.018000000000000002,1.8,18.0,0.7086614173228346,0.05905511811023622,0.015,1.5,15.0,0.5905511811023622,0.049212598425196846,,,,4.0,3.6363636363636362,3.0769230769230766,5.0,5000.0,11.023122100918886,176.36995361470218,,,,,,[],"['blue', 'red', 'yellow']",['steel'],['cylinder'],[],"['sidewalk', 'street']",[],MTurk
fire hydrant,25.4,2540.0,25400.0,1000.0,83.33333333333333,0.6096,60.96,609.6,24.000000000000004,2.0,,,,1500.0,1363.6363636363635,1153.8461538461538,68.0388,68038.8,150.0,2400.0,,,,,,['rough'],['yellow'],[],['cylindrical'],[],[],['durable'],MTurk
fire hydrant,0.6095999999999999,60.96,609.5999999999999,24.0,2.0,1.2192,121.92,1219.2,48.00000000000001,4.0,,,,1500.0,1363.6363636363635,1153.8461538461538,150.0,150000.0,330.69366302756663,5291.098608441066,0.30479999999999996,30.48,304.79999999999995,12.0,1.0,['rough'],"['blue', 'color', 'green', 'or', 'orange', 'red', 'yellow']",['steel'],"['column', 'cylindrical']",['plain'],"['indoor', 'outdoor']","['durable', 'fragile', 'heavy']",MTurk
stop sign,0.56,56.0,560.0,22.04724409448819,1.837270341207349,0.023,2.3000000000000003,23.0,0.905511811023622,0.07545931758530183,3.0,37.4,276.15,115.7,105.18181818181817,89.0,0.036000000000000004,36.0,0.079366479126616,1.269863666025856,0.056,5.6000000000000005,56.0,2.204724409448819,0.1837270341207349,['smooth'],['silver'],['metal'],['rectangle'],['plain'],['kitchen'],['durable'],MTurk
stop sign,0.005,0.5,5.0,0.1968503937007874,0.016404199475065617,0.75,75.0,750.0,29.52755905511811,2.4606299212598426,25.0,77.0,298.15,150.0,136.36363636363635,115.38461538461537,3.0,3000.0,6.613873260551332,105.82197216882132,0.75,75.0,750.0,29.52755905511811,2.4606299212598426,"['rough', 'smooth']","['red', 'white']","['aluminium', 'plastic', 'steel']",['octagon'],['plain'],"['driveway', 'parking lot', 'street']","['durable', 'weather-resistant']",MTurk
stop sign,2.1,210.0,2100.0,82.67716535433071,6.889763779527558,0.76,76.0,760.0,29.921259842519685,2.4934383202099735,55.0,131.0,328.15,150.0,136.36363636363635,115.38461538461537,2.5,2500.0,5.511561050459443,88.18497680735109,0.76,76.0,760.0,29.921259842519685,2.4934383202099735,['smooth'],"['red', 'white']","['aluminium', 'steel']",['octagon'],['plain'],"['driveway', 'parking lot', 'street']","['durable', 'rigid', 'weather-resistant']",MTurk
parking meter,1.2,120.0,1200.0,47.24409448818898,3.937007874015748,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,20.0,68.0,293.15,500.0,454.5454545454545,384.6153846153846,25.0,25000.0,55.115610504594436,881.849768073511,0.2,20.0,200.0,7.874015748031496,0.6561679790026247,"['metallic', 'smooth']","['black', 'grey', 'silver']","['glass', 'metal', 'plastic']","['cylindrical', 'round']",[],"['parking lot', 'sidewalk', 'street']","['stationary', 'sturdy', 'weather-resistant']",MTurk
parking meter,1.5,150.0,1500.0,59.05511811023622,4.921259842519684,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,25.0,77.0,298.15,500.0,454.5454545454545,384.6153846153846,35.0,35000.0,77.16185470643221,1234.5896753029153,0.3,30.0,300.0,11.811023622047244,0.984251968503937,"['rough', 'smooth']","['black', 'blue', 'grey', 'silver']","['metal', 'plastic', 'rubber']","['cylindrical', 'rectangle']",['plain'],"['parking lot', 'sidewalk', 'street']","['durable', 'rigid', 'weather-resistant']",MTurk
parking meter,0.2,20.0,200.0,7.874015748031496,0.6561679790026247,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,30.0,86.0,303.15,500.0,454.5454545454545,384.6153846153846,1.5,1500.0,3.306936630275666,52.91098608441066,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,['smooth'],['grey'],['metal'],[],['plain'],['street'],['durable'],MTurk
bench,0.45,45.0,450.0,17.716535433070867,1.4763779527559056,1.5,150.0,1500.0,59.05511811023622,4.921259842519685,25.0,77.0,298.15,150.0,136.36363636363635,115.38461538461537,30.0,30000.0,66.13873260551333,1058.2197216882132,0.4,40.0,400.0,15.748031496062993,1.3123359580052494,"['rough', 'smooth']","['black', 'green', 'seal brown']","['metal', 'plastic', 'wood']",['rectangle'],"['grid', 'plain']","['garden', 'park', 'street']","['sturdy', 'tough', 'weather-resistant']",MTurk
bench,0.45,45.0,450.0,17.716535433070867,1.4763779527559056,1.5,150.0,1500.0,59.05511811023622,4.921259842519684,,,,150.0,136.36363636363635,115.38461538461537,30.0,30000.0,66.13873260551333,1058.2197216882132,0.4,40.0,400.0,15.748031496062993,1.3123359580052494,['rough'],['blue'],['wood'],['rectangle'],['plain'],['park'],['durable'],MTurk
bench,0.45,45.0,450.0,17.716535433070867,1.4763779527559053,1.5,150.0,1500.0,59.05511811023622,4.921259842519684,,,,300.0,272.7272727272727,230.76923076923075,25.0,25000.0,55.115610504594436,881.849768073511,0.45,45.0,450.0,17.716535433070867,1.4763779527559053,"['rough', 'smooth']","['black', 'green', 'grey', 'seal brown']","['concrete', 'metal', 'plastic', 'wood']",['rectangle'],['plain'],"['garden', 'park', 'schoolyard']","['durable', 'weather-resistant']",MTurk
bird,0.2,20.0,200.0,7.874015748031496,0.6561679790026247,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,41.0,105.8,314.15,50.0,45.45454545454545,38.46153846153846,0.5,500.0,1.1023122100918887,17.63699536147022,0.4,40.0,400.0,15.748031496062993,1.3123359580052494,"['rough', 'smooth', 'soft']","['black', 'blue', 'green', 'grey', 'or', 'red', 'seal brown', 'white', 'yellow']",[],['round'],"['plain', 'spotted', 'striped']","['field', 'forest', 'garden', 'lake', 'park', 'rooftop', 'sky']","['alert', 'fragile', 'lightweight', 'vocal']",MTurk
bird,0.2,20.0,200.0,7.874015748031496,0.6561679790026247,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,40.0,104.0,313.15,20.0,18.18181818181818,15.384615384615383,0.3,300.0,0.6613873260551333,10.582197216882133,0.35000000000000003,35.0,350.0,13.779527559055119,1.1482939632545932,['smooth'],"['blue', 'seal brown', 'white']",[],"['oval', 'round']","['plain', 'spotted', 'striped']","['backyard', 'forest', 'sky']","['agile', 'alert', 'fragile']",MTurk
bird,,,,,,,,,,,,,,,,,,,,,,,,,,['smooth'],['blue'],[],[],[],['garden'],[],MTurk
cat,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,0.46,46.0,460.0,18.11023622047244,1.5091863517060367,38.5,101.3,311.65,100.0,90.9090909090909,76.92307692307692,4.5,4500.0,9.920809890826998,158.73295825323197,0.15,15.0,150.0,5.905511811023622,0.4921259842519685,"['smooth', 'soft']","['black', 'cream', 'grey', 'orange', 'seal brown', 'white']",[],"['cylindrical', 'oval']","['plain', 'spotted', 'striped']","['garden', 'home', 'living room', 'street']","['curious', 'friendly', 'independent', 'playful']",MTurk
cat,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,0.46,46.0,460.0,18.11023622047244,1.5091863517060367,38.6,101.48,311.75,300.0,272.7272727272727,230.76923076923075,4.5,4500.0,9.920809890826998,158.73295825323197,0.15,15.0,150.0,5.905511811023622,0.4921259842519685,"['smooth', 'soft']","['black', 'grey', 'orange', 'seal brown', 'white']",[],"['cylindrical', 'oval']","['plain', 'spotted', 'striped']","['backyard', 'home']",[],MTurk
cat,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,0.45,45.0,450.0,17.716535433070867,1.4763779527559056,38.0,100.4,311.15,5000.0,4545.454545454545,3846.1538461538457,4.5,4500.0,9.920809890826998,158.73295825323197,0.15,15.0,150.0,5.905511811023622,0.4921259842519685,"['rough', 'smooth', 'soft']","['black', 'grey', 'orange', 'seal brown', 'white']","['bone', 'fur', 'skin']","['cylindrical', 'oval', 'round']","['plain', 'spotted', 'striped']","['bedroom', 'garden', 'living room']","['curious', 'friendly', 'independent', 'playful']",MTurk
dog,0.5,50.0,500.0,19.68503937007874,1.6404199475065617,0.9,90.0,900.0,35.43307086614173,2.952755905511811,38.5,101.3,311.65,500.0,454.5454545454545,384.6153846153846,20.0,20000.0,44.092488403675546,705.4798144588087,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,"['rough', 'soft']","['black', 'seal brown', 'white']","['bone', 'fur', 'skin']",[],"['plain', 'spotted', 'striped']","['home', 'park', 'yard']","['alert', 'friendly', 'loyal']",MTurk
dog,0.5,50.0,500.0,19.68503937007874,1.6404199475065617,0.9,90.0,900.0,35.43307086614173,2.952755905511811,38.5,101.3,311.65,500.0,454.5454545454545,384.6153846153846,20.0,20000.0,44.092488403675546,705.4798144588087,0.25,25.0,250.0,9.84251968503937,0.8202099737532809,"['rough', 'soft']","['black', 'seal brown', 'white']","['flesh', 'fur', 'skin']",[],['plain'],"['home', 'park', 'street']","['friendly', 'loyal']",MTurk
dog,0.6,60.0,600.0,23.62204724409449,1.968503937007874,0.9,90.0,900.0,35.43307086614173,2.952755905511811,38.5,101.3,311.65,800.0,727.2727272727273,615.3846153846154,25.0,25000.0,55.115610504594436,881.849768073511,0.3,30.0,300.0,11.811023622047244,0.984251968503937,"['rough', 'smooth']","['black', 'seal brown', 'white']",[],"['cylindrical', 'oval', 'rectangle']","['plain', 'spotted', 'striped']","['home', 'park', 'yard']","['friendly', 'loyal']",MTurk
horse,1.6,160.0,1600.0,62.99212598425197,5.2493438320209975,2.4,240.0,2400.0,94.48818897637796,7.8740157480314945,38.0,100.4,311.15,5000.0,4545.454545454545,3846.1538461538457,500.0,500000.0,1102.3122100918888,17636.99536147022,0.8,80.0,800.0,31.496062992125985,2.6246719160104988,"['rough', 'smooth']","['black', 'chestnut', 'grey', 'seal brown', 'white']","['bone', 'flesh', 'fur', 'skin']",[],"['plain', 'spotted', 'striped']","['farm', 'stable']","['alert', 'social', 'strong']",MTurk
horse,1.6,160.0,1600.0,62.99212598425197,5.2493438320209975,2.4,240.0,2400.0,94.48818897637796,7.8740157480314945,38.0,100.4,311.15,500.0,454.5454545454545,384.6153846153846,500.0,500000.0,1102.3122100918888,17636.99536147022,0.7,70.0,700.0,27.559055118110237,2.296587926509186,"['rough', 'smooth', 'soft']","['black', 'chestnut', 'grey', 'seal brown', 'white']",[],[],"['plain', 'spotted', 'striped']","['countryside', 'farm', 'pasture', 'schoolhouse', 'stable']","['alert', 'intelligent', 'loyal', 'skittish', 'social', 'strong']",MTurk
horse,1.6,160.0,1600.0,62.99212598425197,5.2493438320209975,2.5,250.0,2500.0,98.4251968503937,8.202099737532809,38.0,100.4,311.15,5000.0,4545.454545454545,3846.1538461538457,500.0,500000.0,1102.3122100918888,17636.99536147022,0.6,60.0,600.0,23.62204724409449,1.968503937007874,"['rough', 'smooth']","['black', 'chestnut', 'grey', 'seal brown', 'white']","['bone', 'flesh', 'hair']",[],"['plain', 'spotted', 'striped']","['farm', 'pasture', 'stable']","['alert', 'fast', 'social', 'strong']",MTurk
sheep,0.9,90.0,900.0,35.43307086614173,2.9527559055118107,1.2,120.0,1200.0,47.24409448818898,3.9370078740157473,39.0,102.2,312.15,250.0,227.27272727272725,192.3076923076923,70.0,70000.0,154.32370941286442,2469.1793506058307,0.5,50.0,500.0,19.68503937007874,1.6404199475065615,"['rough', 'soft']","['black', 'grey', 'seal brown', 'white']","['bone', 'organic', 'wool']","['cylindrical', 'ovoid']",['plain'],"['barn', 'farm', 'pasture']","['gentle', 'social', 'timid']",MTurk
