,colour,pattern,disposition,material,texture,location,shape,width_meters,width_centimeters,width_millimeters,width_inches,width_feet,height_meters,height_centimeters,height_millimeters,height_inches,height_feet,length_meters,length_centimeters,length_millimeters,length_inches,length_feet,weight_kilograms,weight_grams,weight_pounds,weight_ounces,value_US dollars,value_euros,value_pounds,temperature_celsius,temperature_fahrenheit,temperature_kelvin,concept,model_name
10,"['orange', 'red', 'white', 'yellow']",[],[],['water'],['soft'],"['food court', 'pizzeria', 'restaurant', 'store', 'supermarket']","['circle', 'disk', 'oval', 'ring', 'round']",0.6,30.0,460.0,14.0,2.5,0.3,15.0,300.0,12.0,1.5,0.3,25.0,280.0,12.0,1.5,0.22,250.0,0.5,12.5,15.0,5.0,0.63,26.0,350.0,300.0,pizza,phi3mini_4k_instruct_q4
11,"['orange', 'red', 'seal brown', 'white', 'yellow']",[],[],[],['soft'],"['food court', 'grocery', 'home', 'kitchen', 'pizzeria', 'restaurant', 'store', 'street', 'supermarket']","['circle', 'oval', 'rectangle']",0.4,30.0,460.0,14.0,2.0,0.1,15.0,300.0,12.0,1.5,0.3,25.0,270.0,12.0,2.0,0.23,250.0,0.75,12.0,1.75,5.0,0.5,160.0,350.0,293.15,pizza,phi3mini_4k_instruct_q4
12,"['or', 'orange', 'red', 'seal brown', 'white']",[],[],[],['soft'],"['bakery', 'food court', 'grocery', 'pizzeria', 'restaurant', 'store', 'street', 'supermarket']",[],0.3,25.0,460.0,14.0,2.5,0.2,15.0,300.0,12.0,1.0,0.3,25.0,460.0,14.0,2.5,0.24,250.0,0.5,12.0,15.99,15.0,0.75,26.5,375.0,293.15,pizza,phi3mini_4k_instruct_q4
13,"['orange', 'red', 'seal brown', 'white', 'yellow']",[],[],[],['soft'],"['cafeteria', 'grocery', 'home', 'kitchen', 'restaurant', 'store', 'street', 'supermarket']","['circular', 'oval', 'rectangle', 'round']",0.5,30.0,430.0,14.0,2.5,0.1,15.0,300.0,14.0,1.0,0.2,28.0,460.0,14.0,2.5,0.22,250.0,0.5,12.5,1.99,5.0,0.5,60.0,375.0,295.37,pizza,phi3mini_4k_instruct_q4
14,"['orange', 'red', 'seal brown', 'white', 'yellow']",[],[],[],['soft'],"['airfield', 'campus', 'grocery', 'hotel', 'office', 'park', 'restaurant', 'schoolhouse', 'store', 'street', 'supermarket']",[],0.3,30.0,280.0,14.0,2.5,0.1,15.0,300.0,12.5,1.0,0.3,30.0,460.0,14.0,1.5,0.25,250.0,0.5,12.5,15.99,8.0,0.5,26.0,212.0,298.15,pizza,phi3mini_4k_instruct_q4
15,"['black', 'orange', 'red', 'seal brown', 'white', 'yellow']",[],[],[],['soft'],"['home', 'kitchen', 'pizzeria', 'restaurant', 'store', 'supermarket']","['round', 'square', 'triangle']",0.3,30.0,500.0,12.0,2.5,0.1,15.0,300.0,12.0,1.5,0.3,30.0,230.0,12.0,1.0,0.23,250.0,0.5,14.0,10.0,5.5,0.5,27.78,350.0,293.15,pizza,phi3mini_4k_instruct_q4
16,"['orange', 'red', 'seal brown', 'white', 'yellow']",[],[],[],"['smooth', 'soft']","['grocery', 'home', 'pizzeria', 'restaurant', 'store']","['heptagon', 'octagon', 'rectangle', 'round', 'square', 'triangle']",0.3,30.0,460.0,14.0,2.5,0.08,15.0,300.0,12.0,1.0,0.5,30.0,460.0,14.0,2.5,0.2,250.0,0.5,14.0,15.99,7.5,0.75,26.67,250.0,300.0,pizza,phi3mini_4k_instruct_q4
17,"['orange', 'red', 'seal brown']",[],[],[],['soft'],"['airfield', 'bar', 'cafeteria', 'festival', 'home', 'hotel', 'park', 'pizzeria', 'restaurant', 'schoolhouse', 'street', 'supermarket']","['circular', 'oval', 'rectangle', 'wedge']",0.5,30.0,432.0,14.0,2.5,0.3,15.0,300.0,14.0,1.5,0.3,30.0,460.0,14.0,2.5,0.23,250.0,0.5,14.0,15.99,8.5,0.75,26.0,375.0,300.0,pizza,phi3mini_4k_instruct_q4
18,"['green', 'orange', 'red', 'white', 'yellow']",[],[],['water'],"['smooth', 'soft']","['home', 'kitchen', 'pizzeria', 'restaurant', 'store', 'street', 'supermarket']","['circle', 'oval', 'rectangle', 'square', 'wheel']",0.5,25.0,300.0,12.0,2.5,0.1,15.0,300.0,12.5,1.0,0.5,28.274,260.0,14.0,2.5,0.25,250.0,0.5,12.0,3.5,8.5,0.75,0.0,250.0,293.15,pizza,phi3mini_4k_instruct_q4
19,"['orange', 'red', 'seal brown', 'white', 'yellow']",[],[],[],"['smooth', 'soft']","['bar', 'coffee shop', 'pizzeria', 'restaurant', 'shop', 'store', 'street', 'supermarket']","['circle', 'oval', 'rectangle', 'wheel']",0.5,25.0,250.0,12.5,2.5,0.3,15.0,300.0,12.0,1.5,0.5,25.0,460.0,14.0,1.5,0.22,250.0,0.5,12.5,15.0,8.0,,26.67,375.0,295.25,pizza,phi3mini_4k_instruct_q4
20,"['black', 'red', 'white']",[],[],[],['soft'],['restaurant'],"['oblong', 'round', 'square']",0.3,30.0,300.0,14.0,0.5,0.05,5.0,50.0,1.25,0.25,0.3,30.0,300.0,14.0,0.5,0.5,250.0,0.5,16.0,12.5,8.5,5.0,250.0,450.0,300.0,pizza,qwen25_7b_standard
21,"['black', 'green', 'red', 'white']",[],[],[],['soft'],['restaurant'],[],0.3,30.0,300.0,14.0,0.5,0.15,2.5,50.0,1.25,0.15,0.5,30.0,300.0,14.0,0.5,0.5,250.0,0.5,12.0,15.0,12.5,5.0,80.0,450.0,303.15,pizza,qwen25_7b_standard
22,"['black', 'green', 'red', 'white']",[],[],[],"['bubbly', 'soft']",[],[],0.5,30.0,300.0,14.0,0.5,0.05,3.5,50.0,1.5,0.15,0.3,30.0,300.0,12.0,0.5,0.5,300.0,0.5,16.0,15.0,12.5,5.0,200.0,450.0,300.0,pizza,qwen25_7b_standard
23,"['black', 'green', 'red', 'white', 'yellow']",[],[],[],[],['restaurant'],"['round', 'square']",0.45,30.0,300.0,14.0,0.5,0.05,5.0,50.0,1.25,0.1,0.45,30.5,300.0,14.0,0.5,0.5,350.0,0.5,12.0,15.0,12.5,5.0,250.0,450.0,300.0,pizza,qwen25_7b_standard
24,"['black', 'green', 'red', 'white']",[],[],[],"['bubbly', 'soft']",['restaurant'],"['oblong', 'round', 'square']",0.35,30.5,300.0,12.0,0.5,0.05,3.5,50.0,0.5,0.15,0.3,30.0,300.0,14.0,0.5,0.5,250.0,0.5,16.0,15.0,12.5,5.0,180.0,450.0,303.15,pizza,qwen25_7b_standard
25,"['black', 'green', 'red', 'white']",[],[],[],['bubbly'],['restaurant'],"['round', 'square']",0.5,30.5,300.0,14.0,0.5,0.05,5.0,50.0,1.25,0.15,0.3,30.0,300.0,14.0,0.5,0.5,250.0,0.5,16.0,10.5,10.5,5.0,150.0,450.0,305.15,pizza,qwen25_7b_standard
26,"['black', 'green', 'red', 'white']",[],[],[],"['bubbly', 'soft']",['restaurant'],"['round', 'square']",0.45,30.0,300.0,12.0,0.5,0.05,5.0,50.0,0.5,0.1,0.3,30.0,300.0,14.0,0.5,0.5,250.0,0.5,16.0,15.0,12.5,5.0,80.0,450.0,300.0,pizza,qwen25_7b_standard
27,"['black', 'green', 'red', 'white']",[],[],[],['soft'],['restaurant'],"['round', 'square']",0.5,30.0,300.0,14.0,0.5,0.03,3.5,50.0,1.25,0.25,0.3,30.5,300.0,14.0,0.5,0.5,250.0,0.5,16.0,10.5,12.5,5.0,80.0,450.0,305.15,pizza,qwen25_7b_standard
28,"['black', 'green', 'red', 'white']",[],[],[],['soft'],['restaurant'],"['oblong', 'round', 'square']",0.5,30.5,300.0,14.0,0.5,0.05,5.0,50.0,1.25,0.1,0.3,30.0,300.0,14.0,0.5,0.5,300.0,0.5,16.0,15.0,12.5,5.0,200.0,450.0,303.15,pizza,qwen25_7b_standard
29,"['black', 'green', 'red', 'white']",[],[],[],['soft'],['restaurant'],"['round', 'square']",0.5,30.5,300.0,14.0,0.5,0.05,2.5,5.0,0.5,0.15,0.3,30.5,300.0,14.0,0.5,0.5,250.0,0.5,12.0,15.0,10.5,5.0,20.5,450.0,300.0,pizza,qwen25_7b_standard
30,"['black', 'green', 'red', 'white']",[],[],[],['soft'],['restaurant'],"['oblong', 'round', 'square']",0.3,30.0,300.0,14.0,0.5,0.05,3.5,50.0,1.25,0.25,0.3,30.0,300.0,14.0,0.5,0.5,250.0,0.5,16.0,12.5,12.5,5.0,250.0,450.0,303.15,pizza,qwen25_7b_standard
31,"['black', 'green', 'red', 'white']",[],[],[],"['bubbly', 'soft']",[],"['round', 'square']",0.35,30.0,300.0,12.0,0.5,0.03,2.5,50.0,1.25,0.1,0.3,30.0,300.0,14.0,0.5,0.5,300.0,1.5,12.0,15.0,10.5,5.0,200.0,450.0,305.15,pizza,qwen25_7b_standard
32,['red'],[],[],[],['soft'],['restaurant'],"['oval', 'round', 'square']",0.5,30.0,300.0,12.0,0.5,0.05,2.5,5.0,1.25,0.15,0.3,30.5,300.0,14.0,0.5,0.5,250.0,0.5,16.0,12.5,12.5,5.0,250.0,450.0,303.15,pizza,qwen25_7b_standard
33,"['black', 'green', 'red', 'white']",[],[],[],['soft'],['restaurant'],"['oval', 'round', 'square']",0.5,30.5,300.0,12.0,0.5,0.025,3.5,50.0,0.5,0.1,0.3,30.5,300.0,14.0,0.5,0.5,300.0,0.5,16.0,15.0,12.5,5.0,18.0,450.0,303.15,pizza,qwen25_7b_standard
34,"['black', 'green', 'red', 'white']",[],[],[],['soft'],['restaurant'],"['round', 'square']",0.3,30.5,300.0,14.0,0.5,0.03,5.0,10.0,1.25,0.15,0.3,30.0,300.0,14.0,0.5,0.5,250.0,0.5,12.0,10.5,10.5,5.0,150.0,450.0,300.0,pizza,qwen25_7b_standard
35,"['black', 'green', 'multicolored', 'red', 'white']",[],[],[],['soft'],[],"['oblong', 'round', 'square']",0.3,30.5,300.0,14.0,0.5,0.1,2.5,50.0,1.25,0.15,0.3,30.0,300.0,14.0,0.5,0.5,250.0,0.5,16.0,12.5,10.5,5.0,200.0,450.0,305.15,pizza,qwen25_7b_standard
36,"['black', 'green', 'red', 'white']",[],[],[],['soft'],[],"['oblong', 'round', 'square']",0.5,30.0,300.0,12.0,0.5,0.05,3.5,5.0,1.5,0.15,0.5,30.0,300.0,14.0,0.5,0.5,300.0,0.5,10.0,12.5,10.5,5.0,200.0,450.0,300.0,pizza,qwen25_7b_standard
37,"['black', 'green', 'red', 'white']",[],[],[],['soft'],['restaurant'],"['round', 'square']",0.5,30.5,300.0,14.0,0.5,0.05,2.5,5.0,1.25,0.15,0.3,30.5,300.0,14.0,0.5,0.5,250.0,0.5,16.0,12.5,12.5,5.0,200.0,450.0,303.15,pizza,qwen25_7b_standard
38,"['black', 'green', 'red', 'white']",[],[],[],['soft'],['restaurant'],[],0.3,30.5,300.0,14.0,0.5,0.05,3.5,50.0,1.25,0.125,0.3,30.0,300.0,14.0,0.5,0.5,250.0,0.5,16.0,12.5,10.5,5.0,150.0,450.0,305.15,pizza,qwen25_7b_standard
39,"['black', 'green', 'red', 'white']",[],[],[],['soft'],['restaurant'],"['oblong', 'round', 'square']",0.5,30.5,300.0,14.0,0.5,0.03,5.0,5.0,1.25,0.1,0.3,30.0,300.0,14.0,0.5,0.5,250.0,0.5,16.0,15.0,10.5,5.0,200.0,450.0,303.15,pizza,qwen25_7b_standard
40,['seal brown'],[],[],[],[],,['round'],0.45,25.0,150.0,12.5,12.0,0.125,20.5,12000.0,10.5,0.5,0.5,35.0,350.0,12.0,0.25,1.0,0.5,0.3629,0.5,10.99,12.5,,16.0,68.5,375.0,pizza,llava_7b_standard
41,['red'],[],[],[],['soft'],[],['oval'],0.5,35.0,200.0,12.0,0.5,0.1524,25.0,150.0,12.5,1.0,0.5,0.5,300.0,12.5,12.0,,200.0,0.5,0.75,15.0,10.5,12.5,20.5,68.0,310.5,pizza,llava_7b_standard
42,['red'],[],[],,[],[],['oval'],0.5,35.0,200.0,12.5,0.5,0.25,12.5,250.0,12.0,0.5,0.5,30.5,200.0,12.0,12.0,0.5,,,12.0,12.5,12.5,0.5,12.5,68.0,308.15,pizza,llava_7b_standard
43,['seal brown'],[],[],[],['soft'],[],['round'],0.5,20.0,283.0,12.0,1.0,0.375,15.0,120.0,12.0,0.5,,30.5,350.0,12.5,0.5,0.5,0.25,1.5,0.25,,10.5,0.5,20.5,0.0,293.15,pizza,llava_7b_standard
44,['seal brown'],[],[],[],[],[],['oval'],0.5,30.0,200.0,14.0,0.5,0.25,25.0,,12.5,0.5,0.5,30.5,250.0,12.0,1.5,0.65,250.0,0.25,12.0,12.5,15.0,0.5,25.0,65.0,300.15,pizza,llava_7b_standard
45,"['gold', 'seal brown']",[],[],[],['soft'],[],['round'],0.5,45.0,30.0,12.0,0.157,0.25,20.0,12.5,10.5,0.5,0.5,30.0,250.0,14.0,0.5,1.23456,0.25,0.5,8.0,,10.5,0.015,15.0,0.59,300.15,pizza,llava_7b_standard
46,"['or', 'seal brown']",[],[],[],[],[],['oval'],0.5,30.5,250.0,12.0,,0.125,30.0,10.5,12.5,0.25,0.5,0.5,,12.5,0.5,1.5,200.0,0.5,12.0,10.5,15.0,0.5,37.5,68.0,280.15,pizza,llava_7b_standard
47,['seal brown'],[],[],[],[],[],['round'],0.51,30.5,250.0,12.0,0.15,,10.5,10.0,12.5,0.5,0.375,20.0,300.0,12.0,12.0,,200.0,0.25,0.5,12.5,10.5,0.5,20.5,65.0,300.15,pizza,llava_7b_standard
48,['seal brown'],[],[],[],[],[],['oval'],0.5,30.0,150.0,12.0,12.0,0.25,30.0,12.5,10.5,10.5,0.375,35.0,300.0,12.0,0.25,0.658,125.0,,8.0,10.5,10.5,,375.0,68.0,300.0,pizza,llava_7b_standard
49,"['red', 'seal brown']",[],[],[],['soft'],[],['round'],0.5,0.35,300.0,12.5,12.5,0.25,25.0,0.5,12.5,0.75,0.5,35.0,250.0,12.0,0.5,0.75,0.347,1.5,12.0,10.5,,0.5,21.5,75.0,300.15,pizza,llava_7b_standard
50,['red'],[],[],[],['soft'],[],['round'],0.5,35.0,250.0,0.0,12.0,0.3,25.0,150.0,12.5,0.25,0.3,30.0,300.0,12.0,1.0,0.5,250.0,0.875,0.125,10.5,0.0,15.0,25.0,32.0,295.15,pizza,llava_7b_standard
51,['seal brown'],[],[],[],['soft'],[],['round'],0.45,35.0,150.0,12.5,0.75,0.125,0.15,250.0,12.0,1.0,0.3,0.5,300.0,12.0,12.0,0.5,250.0,0.8574695234,14.0,0.5,10.5,10.5,23.5,0.0,293.15,pizza,llava_7b_standard
52,"['red', 'seal brown']",[],[],[],[],[],['round'],0.5,30.5,280.0,12.5,3.5,,25.0,12.5,10.5,1.0,0.45,35.0,300.0,12.5,12.5,0.5,0.35,1.5,8.0,,10.5,,37.2,75.0,373.15,pizza,llava_7b_standard
53,['seal brown'],[],[],[],[],[],['round'],0.5,30.0,250.0,10.5,12.5,,0.35,12.5,12.5,0.5,0.25,0.5,250.0,,,1.0,,0.5,12.0,12.5,,10.5,15.0,,308.15,pizza,llava_7b_standard
54,['yellow'],[],[],[],[],[],['oval'],0.6,35.0,300.0,12.5,10.0,0.25,25.0,10.5,0.5,0.5,0.35,30.5,350.0,12.0,1.5,0.8125,150.0,0.25,12.0,0.15,10.5,10.5,20.5,65.0,300.15,pizza,llava_7b_standard
55,"['orange', 'seal brown', 'yellow']",[],[],[],[],,['round'],0.375,30.5,300.0,12.5,0.5,0.1,0.25,1000.0,12.5,0.5,,42.0,300.0,12.0,1.5,0.5,200.0,0.5,12.0,10.5,10.5,3.5,0.0,60.0,350.4,pizza,llava_7b_standard
56,"['gold', 'seal brown']",[],[],[],[],[],['oval'],0.3528,30.0,300.0,,1.0,0.125,25.0,1200.0,12.0,1.0,0.4,45.0,300.0,12.5,12.0,,,0.76,0.5,15.5,2.5,12.95,35.0,37.5,350.4,pizza,llava_7b_standard
57,['seal brown'],[],[],[],[],[],['oval'],0.5,30.0,300.0,12.0,12.0,0.125,15.0,250.0,12.0,0.5,0.45,45.0,280.0,12.0,12.5,0.5,250.0,0.254,,12.5,10.5,10.5,21.5,60.0,300.0,pizza,llava_7b_standard
58,['seal brown'],[],[],[],['soft'],,['oval'],0.5,25.0,300.0,12.0,,0.25,25.0,0.391,10.5,,0.5,30.5,280.0,14.0,12.5,0.5,100.0,0.254,0.5,12.5,12.5,12.5,15.0,32.0,273.15,pizza,llava_7b_standard
59,['red'],[],[],,[],[],['round'],0.5,25.0,350.0,12.0,1.5,,25.0,1200.0,10.5,1.5,0.5,30.0,300.0,12.0,12.5,1.5,250.0,1.2,12.0,15.0,10.5,0.5,25.0,0.65,300.15,pizza,llava_7b_standard
60,"['red', 'white', 'yellow']",[],[],[],['soft'],[],"['round', 'square']",0.05,32.0,180.0,14.0,12.0,0.25,30.0,25000.0,14.0,12.0,15.0,30.5,305.0,14.0,14.0,2.5,250.0,1.25,150.0,8.0,4.0,0.75,20.0,72.8,350.4,pizza,qwen25_1b_standard
61,"['black', 'red', 'white']",[],[],[],['soft'],[],"['oval', 'round', 'square']",10.5,30.5,300.0,14.0,12.0,2.5,30.0,,10.5,10.5,30.5,30.5,300.0,12.5,10.5,0.5,100.0,1.5,14.0,12.95,3.5,3.0,20.0,70.0,300.0,pizza,qwen25_1b_standard
62,[],[],['hot'],[],['soft'],[],"['oval', 'round', 'square']",25.0,40.0,300.0,12.0,14.0,0.178,180.0,300.0,10.5,13.0,24.0,35.0,450.0,14.0,10.5,0.75,300.0,1.0,10.5,5.0,12.0,4.0,20.5,70.0,270.15,pizza,qwen25_1b_standard
63,"['blue', 'green', 'red', 'white', 'yellow']",[],[],[],['soft'],[],"['oval', 'round', 'square', 'triangle']",10.5,30.5,405.0,14.0,12.0,0.05,30.5,1500.0,12.0,10.0,30.48,30.5,300.0,14.0,10.0,1054.6893291761353,200.5,1.25,14.0,15.0,12.5,1400.0,20.3,70.0,300.0,pizza,qwen25_1b_standard
64,[],[],[],[],['soft'],[],"['round', 'square']",12.5,30.0,,12.5,12.0,0.1,30.0,200.0,14.0,10.5,0.25,350.0,400.0,14.0,12.0,2.0,200.0,2096.0,8.5,5.0,10.5,1.0,20.0,70.0,150.0,pizza,qwen25_1b_standard
65,"['green', 'red', 'white']",[],[],[],['soft'],[],"['egg-shaped', 'round', 'square']",0.024,32.5,300.0,16.0,13.0,0.05,30.5,200.5,12.0,13.5,0.275,30.4,300.0,14.0,10.4,2.05,1000.0,1.5,14.0,12.5,15.0,3.5,20.5,70.0,20.0,pizza,qwen25_1b_standard
66,"['black', 'red', 'white']",[],['hot'],[],['soft'],[],"['round', 'square']",0.1275,30.0,320.0,14.0,12.0,0.15,30.0,2500.0,10.5,10.2,10.5,30.5,300.0,12.0,12.0,1.5,300.0,1.5,14.0,4.5,10.5,1.5,30.0,70.0,300.0,pizza,qwen25_1b_standard
67,[],[],[],[],['soft'],[],"['oval', 'round', 'square']",0.25,30.48,300.0,14.0,10.5,0.048,30.5,300.0,12.5,12.0,35.0,30.5,300.0,14.0,10.5,0.5,200.0,1.5,150.0,15.0,4.5,1.5,20.5,90.0,203.15,pizza,qwen25_1b_standard
68,"['black', 'red', 'white']",[],['hot'],[],"['smooth', 'soft']",[],"['round', 'square', 'triangle']",2.56,30.0,300.0,13.5,12.0,0.18,30.5,200.0,12.0,10.5,10.5,350.0,,14.0,14.5,0.5,150.0,1.5,8.0,2.0,14.5,1.0,20.0,75.0,340.0,pizza,qwen25_1b_standard
69,"['black', 'red', 'white']",[],[],[],['soft'],[],"['round', 'square', 'triangle']",32.5,35.0,300.0,14.0,10.0,0.17,35.0,180.0,12.0,10.0,350.0,30.5,300.0,14.0,14.0,1.5,1500.0,1.0,14.0,8.0,4.5,1.5,20.0,70.0,370.0,pizza,qwen25_1b_standard
70,"['black', 'red', 'white']",[],[],[],['soft'],[],"['circular', 'rectangle', 'round', 'square']",0.25,30.0,350.0,12.5,12.0,0.15,30.0,30000.0,10.5,10.5,30.0,20.5,300.0,14.0,10.5,0.5,150.0,1.0,8.0,15.0,10.5,2.5,20.5,35.0,298.15,pizza,qwen25_1b_standard
71,"['red', 'white', 'yellow']",[],[],[],['soft'],[],"['oval', 'rectangle', 'round', 'square']",0.25,40.0,300.0,14.0,10.5,0.17,30.5,2000.0,12.0,10.2,30.5,25.0,300.0,14.0,10.5,4.5,1000.0,1.5,10.5,10.5,10.5,2.5,20.0,40.0,1200.5,pizza,qwen25_1b_standard
72,[],[],['fast'],[],['soft'],[],"['oval', 'round', 'square', 'triangle']",10.0,30.0,300.0,14.0,12.0,10.5,150.0,,14.0,10.25,14.5,30.0,300.0,12.5,12.0,1.25,300.0,1.0,12.0,4.0,10.5,1.5,20.5,105.67,275.0,pizza,qwen25_1b_standard
73,"['red', 'white', 'yellow']",[],[],[],"['smooth', 'soft']",[],"['heart', 'round', 'square', 'triangle']",18.0,30.5,300.0,12.5,10.0,0.15,30.5,140.0,10.5,8.0,20.0,30.5,205.6,14.0,12.5,10.5,150.0,2.0,203.0,13.0,25.0,1.5,20.5,75.0,300.0,pizza,qwen25_1b_standard
74,"['black', 'red', 'white']",[],[],[],['soft'],[],"['circular', 'oval', 'round']",30.0,30.5,300.0,14.0,14.0,2.0,30.0,250.0,10.5,0.314,30.0,16.5,205.0,14.0,12.0,0.5,1000.0,1.5,14.0,20.0,7.5,1.5,25.0,108.3,20.0,pizza,qwen25_1b_standard
75,"['green', 'red', 'white']",[],['fresh'],[],['soft'],[],"['oval', 'round', 'square', 'triangle']",0.05,35.0,300.0,14.0,12.0,2.5,120.0,180.0,12.0,10.5,10.5,30.0,300.0,14.0,12.0,0.5,1200.0,1.3,2043.5,12.95,5.0,2.5,20.5,105.6,370.0,pizza,qwen25_1b_standard
76,[],[],[],[],['soft'],[],"['crescent', 'round', 'square']",25.0,30.0,400.0,12.5,12.0,10.5,30.5,150.0,14.0,10.5,20.5,30.5,350.0,14.0,13.0,3.5,200.0,1.5,1.5,45.0,5.0,1.5,20.5,70.0,250.0,pizza,qwen25_1b_standard
77,[],[],[],[],['soft'],[],"['oval', 'round', 'square']",0.038497,30.5,405.0,14.0,12.0,24.0,25.0,350.0,14.0,10.5,0.1548,14.0,350.0,14.0,12.0,0.2,800.0,2.0,15.0,5.0,3.5,1.0,30.0,80.0,150.4,pizza,qwen25_1b_standard
78,[],[],[],[],['soft'],[],['round'],10.5,30.5,305.0,14.0,12.0,0.35,30.5,200.0,12.0,10.0,20.0,30.5,350.0,14.0,12.5,1.0,200.0,1.35,14.0,,10.5,0.78,10.5,70.0,20.0,pizza,qwen25_1b_standard
