model,concept,domain,dimension,measurement,min_mean,min_std,max_mean,max_std
llama2_7b_chat,apple,value,monetary_value,euros,0.5945,0.25355317100426056,7.025499999999999,10.970335827033498
llama2_7b_chat,apple,value,monetary_value,pounds,0.5,0.0,2.625,0.4832728334791305
llama2_7b_chat,apple,weight,weight,grams,80.01050000000001,41.01759115242347,420.0,115.16578439248717
llama2_7b_chat,apple,weight,weight,kilograms,0.084,0.03377947056392311,49.325,112.85695125852205
llama2_7b_chat,apple,weight,weight,ounces,0.4875,0.05590169943749474,2.4,0.4167543767332453
llama2_7b_chat,apple,weight,weight,pounds,0.5,0.0,2.65,0.4616902584383193
llama2_7b_chat,backpack,size,height,centimeters,29.5,2.2360679774997902,72.5,18.883298106221307
llama2_7b_chat,backpack,size,height,feet,12.825,5.019108224418064,40.5,10.990426455975696
llama2_7b_chat,backpack,size,height,inches,12.9,4.564162458476738,42.5,9.104654680003259
llama2_7b_chat,backpack,size,height,meters,25.0,6.06976978666884,54.0,8.207826816681234
llama2_7b_chat,backpack,size,height,millimeters,276.0,81.71838677337007,997.5,283.9917530307415
llama2_7b_chat,backpack,size,length,centimeters,30.0,0.0,68.0,15.078740698501038
llama2_7b_chat,backpack,size,length,feet,12.05,5.621621792592185,42.2,16.529399645225443
llama2_7b_chat,backpack,size,length,inches,11.5,3.6634754853252325,38.5,4.8936048492959285
llama2_7b_chat,backpack,size,length,meters,20.525,10.449722988018188,61.5,17.851728502481652
llama2_7b_chat,backpack,size,length,millimeters,236.5,69.68160672508544,977.5,245.20399670478457
llama2_7b_chat,backpack,size,width,centimeters,28.5,3.663475485325232,66.5,15.65247584249853
llama2_7b_chat,backpack,size,width,feet,12.25,5.727358167510337,39.15,14.426857264363427
llama2_7b_chat,backpack,size,width,inches,11.7,3.628831912975796,43.5,8.750939799154207
llama2_7b_chat,backpack,size,width,meters,22.505000000000003,9.653222805173192,61.5,18.994459025837262
llama2_7b_chat,backpack,size,width,millimeters,244.0,69.84192678357395,876.0,290.8137403544533
llama2_7b_chat,backpack,temperature,temperature,celsius,-1.0,4.47213595499958,40.5,3.940344628262062
llama2_7b_chat,backpack,temperature,temperature,fahrenheit,31.0,1.025978352085154,98.0,18.524521444205842
llama2_7b_chat,backpack,temperature,temperature,kelvin,1.0,4.47213595499958,98.0,8.944271909999161
llama2_7b_chat,backpack,value,monetary_value,US dollars,18.0,11.964860832322376,110.0,30.779350562554622
llama2_7b_chat,backpack,value,monetary_value,euros,22.0,17.044832524535806,369.0,453.8246821243454
llama2_7b_chat,backpack,value,monetary_value,pounds,3.875,4.616546328154847,49.5,2.236067977499789
llama2_7b_chat,backpack,weight,weight,grams,50.025,46.42494650395127,2324.0,2973.61980368071
llama2_7b_chat,backpack,weight,weight,kilograms,0.49000000000000005,0.22687812633774618,19.0,5.281546822864043
llama2_7b_chat,backpack,weight,weight,ounces,9.55,2.0124611797498106,50.0,0.0
llama2_7b_chat,backpack,weight,weight,pounds,6.275,4.683327089962749,50.0,0.0
llama2_7b_chat,banana,size,height,centimeters,8.05,3.8350873180205567,19.35,5.760802210218917
llama2_7b_chat,banana,size,height,feet,1.025,2.1427662888007766,7.6,5.384187374545069
llama2_7b_chat,banana,size,height,inches,1.775,1.197310582755764,10.0,2.620767264110184
llama2_7b_chat,banana,size,height,meters,0.275,0.20994986870303362,7.475,6.364943047663505
llama2_7b_chat,banana,size,height,millimeters,71.0,28.635642126552707,197.5,77.85783265197637
llama2_7b_chat,banana,size,length,centimeters,7.2,2.6076809620810595,22.25,6.7813599008799965
llama2_7b_chat,banana,size,length,feet,1.375,1.4945074879634923,7.3,3.877736724593762
llama2_7b_chat,banana,size,length,inches,1.45,1.0117728057851307,8.425,4.0173144996967425
llama2_7b_chat,banana,size,length,meters,0.7350000000000001,2.1892740926233016,12.05,21.162218070991766
llama2_7b_chat,banana,size,length,millimeters,70.0,32.28165521093822,193.0,85.4153936576084
llama2_7b_chat,banana,size,width,centimeters,6.075,2.60199821999211,17.55,5.404432878373281
llama2_7b_chat,banana,size,width,feet,1.875,2.8967995043532184,9.575,6.37898482271443
llama2_7b_chat,banana,size,width,inches,1.375,1.0745255991170684,10.4,2.5319017192200555
llama2_7b_chat,banana,size,width,meters,0.18,0.16415653633362465,8.375,2.9149117527492643
llama2_7b_chat,banana,size,width,millimeters,64.0,32.991226904005536,185.0,85.62463983789024
llama2_7b_chat,banana,temperature,temperature,celsius,13.25,3.7257991018529726,30.25,1.118033988749895
llama2_7b_chat,banana,temperature,temperature,fahrenheit,61.4,3.033150177620621,89.55,2.6847522673129642
llama2_7b_chat,banana,temperature,temperature,kelvin,14.25,4.940434670840422,31.25,3.1933318682925256
llama2_7b_chat,banana,value,monetary_value,US dollars,0.4795,0.18377546368498593,9.7995,7.558042405279292
llama2_7b_chat,banana,value,monetary_value,euros,0.5,0.0,8.125,6.707958745126254
llama2_7b_chat,banana,value,monetary_value,pounds,0.5,0.0,2.65,0.919095665371817
llama2_7b_chat,banana,weight,weight,grams,60.0375,50.21534907669901,225.9,193.24041475513565
llama2_7b_chat,banana,weight,weight,kilograms,0.07205,0.040766956433392294,29.425,41.8987736913875
llama2_7b_chat,banana,weight,weight,ounces,0.4375,0.11106541457982981,2.7,2.627786741327145
llama2_7b_chat,banana,weight,weight,pounds,0.5,0.0,3.225,1.758251224490133
llama2_7b_chat,baseball bat,size,height,centimeters,58.5,4.8936048492959285,106.0,9.403246919632547
llama2_7b_chat,baseball bat,size,height,feet,20.15,11.887742470823953,29.25,13.413955812001014
llama2_7b_chat,baseball bat,size,height,inches,27.025,0.47225662069416674,35.6,2.6437612759495748
llama2_7b_chat,baseball bat,size,height,meters,0.47000000000000003,0.19761738683361688,1.35,0.22124052165245997
llama2_7b_chat,baseball bat,size,height,millimeters,141.5,197.6247107924246,261.0,377.9710375983296
llama2_7b_chat,baseball bat,size,length,centimeters,60.0,7.947194142390263,106.5,9.333020044867295
llama2_7b_chat,baseball bat,size,length,feet,17.95,12.971527524381603,29.675,15.68293994323634
llama2_7b_chat,baseball bat,size,length,inches,26.8,0.9375219295680782,35.025,2.191340613462574
llama2_7b_chat,baseball bat,size,length,meters,0.43550000000000005,0.13216715891149677,1.3475,0.18881556024192936
llama2_7b_chat,baseball bat,size,length,millimeters,217.0,228.1296953374042,412.5,451.20744441413734
llama2_7b_chat,baseball bat,size,width,centimeters,57.5,5.501196042201808,107.5,9.665456669582607
llama2_7b_chat,baseball bat,size,width,feet,17.825,12.84858685655844,32.225,12.68180939273589
llama2_7b_chat,baseball bat,size,width,inches,27.225,0.6171880204861224,34.3,1.341640786499873
llama2_7b_chat,baseball bat,size,width,meters,0.40499999999999997,0.17464249196572978,1.2375,0.28602309439329504
llama2_7b_chat,baseball bat,size,width,millimeters,76.0,76.32341159758738,146.0,177.80533412163223
llama2_7b_chat,baseball bat,temperature,temperature,celsius,10.5,7.591546545162482,40.0,4.588314677411235
llama2_7b_chat,baseball bat,temperature,temperature,fahrenheit,45.35,7.66588478087717,101.5,6.70820393249937
llama2_7b_chat,baseball bat,temperature,temperature,kelvin,37.0,73.34848328356898,108.5,121.9264230246215
llama2_7b_chat,baseball bat,value,monetary_value,US dollars,19.0,16.511558949637926,755.0,366.31163034541476
llama2_7b_chat,baseball bat,value,monetary_value,euros,44.0,34.70173664697185,867.5,620.1177731943981
llama2_7b_chat,baseball bat,value,monetary_value,pounds,2.2,4.209638064202069,4.525,6.042557405602366
llama2_7b_chat,baseball bat,weight,weight,grams,40.16,69.86633780222589,71.295,130.59778943482604
llama2_7b_chat,baseball bat,weight,weight,kilograms,0.5,0.0,1.155,0.15719582155957415
llama2_7b_chat,baseball bat,weight,weight,ounces,16.15,0.9333020044867297,30.4,0.8207826816681235
llama2_7b_chat,baseball bat,weight,weight,pounds,5.65,8.722475505690367,9.95,13.530569677196658
llama2_7b_chat,baseball glove,size,height,centimeters,25.775,2.510373216119572,33.8,1.6415653633362457
llama2_7b_chat,baseball glove,size,height,feet,10.95,0.998683343734455,14.3,1.8945906376340318
llama2_7b_chat,baseball glove,size,height,inches,10.1,0.4472135954999579,13.8,1.0052493799000692
llama2_7b_chat,baseball glove,size,height,meters,0.47000000000000003,0.09233805168766389,1.465,0.15652475842498526
llama2_7b_chat,baseball glove,size,height,millimeters,224.0,27.984958365822923,367.5,37.25799101852974
llama2_7b_chat,baseball glove,size,length,centimeters,25.975,2.6130995912295827,33.7,1.6495613452002758
llama2_7b_chat,baseball glove,size,length,feet,11.3,1.8666040089734595,15.4,2.4148662379867796
llama2_7b_chat,baseball glove,size,length,inches,10.125,0.455232734000163,13.575,1.2903997748555944
llama2_7b_chat,baseball glove,size,length,meters,0.3875,0.18415882733176417,1.2449999999999999,0.5041668479048536
llama2_7b_chat,baseball glove,size,length,millimeters,232.5,24.468024246479644,365.0,43.22523629353088
llama2_7b_chat,baseball glove,size,width,centimeters,26.975,1.4997806857214682,33.05,1.4680814547887784
llama2_7b_chat,baseball glove,size,width,feet,11.0,1.025978352085154,15.1,1.9166857359844667
llama2_7b_chat,baseball glove,size,width,inches,10.025,0.11180339887498955,13.55,0.759154654516248
llama2_7b_chat,baseball glove,size,width,meters,0.3725,0.20867690967516972,6.220000000000001,22.07688955970879
llama2_7b_chat,baseball glove,size,width,millimeters,224.5,36.05186322654161,354.0,44.768409914981234
llama2_7b_chat,baseball glove,temperature,temperature,celsius,4.75,6.381511122808321,33.5,4.89360484929593
llama2_7b_chat,baseball glove,temperature,temperature,fahrenheit,44.3,8.950742397906678,98.0,4.103913408340619
llama2_7b_chat,baseball glove,temperature,temperature,kelvin,15.25,11.177397305558918,53.25,25.560814994007814
llama2_7b_chat,baseball glove,value,monetary_value,US dollars,22.0,17.044832524535806,161.0,201.1781090947705
llama2_7b_chat,baseball glove,value,monetary_value,euros,34.0,32.18368334551237,437.5,426.39091280926215
llama2_7b_chat,baseball glove,value,monetary_value,pounds,8.625,6.5431261641512,32.875,46.464438864010496
llama2_7b_chat,baseball glove,weight,weight,grams,107.5,33.54101966249684,400.0,0.0
llama2_7b_chat,baseball glove,weight,weight,kilograms,65.05850000000001,87.46372585098831,157.9175,191.08439460573985
llama2_7b_chat,baseball glove,weight,weight,ounces,9.3,4.405140537814286,16.35,8.547237165183539
llama2_7b_chat,baseball glove,weight,weight,pounds,14.775,7.768822643306892,26.125,14.242149268613698
llama2_7b_chat,bear,size,height,centimeters,39.0,41.282084810675315,370.0,312.62892077551487
llama2_7b_chat,bear,size,height,feet,2.525,2.0357010947996326,10.75,2.1734038305216803
llama2_7b_chat,bear,size,height,inches,10.075,9.988513139443834,65.8,44.62663825682216
llama2_7b_chat,bear,size,height,meters,0.55,0.1538967528127731,4.9,0.44721359549995804
llama2_7b_chat,bear,size,height,millimeters,97.5,30.240265941464973,657.5,269.1482667112761
llama2_7b_chat,bear,size,length,centimeters,37.0,39.21600103072858,332.5,313.4170754089425
llama2_7b_chat,bear,size,length,feet,2.525,1.9498650425633373,15.45,19.940635580854014
llama2_7b_chat,bear,size,length,inches,16.525,8.495316046907384,116.45,166.5894654532513
llama2_7b_chat,bear,size,length,meters,0.6,0.3077935056255462,5.025,0.1118033988749895
llama2_7b_chat,bear,size,length,millimeters,115.0,91.90956653718169,835.0,545.0977700810822
llama2_7b_chat,bear,size,width,centimeters,53.0,41.68806468093842,380.0,319.29197988839724
llama2_7b_chat,bear,size,width,feet,2.725,2.0227326487751793,10.825,2.0214312282455507
llama2_7b_chat,bear,size,width,inches,12.325,8.624132298077113,52.85,40.51935859626398
llama2_7b_chat,bear,size,width,meters,0.6,0.3077935056255462,5.05,0.1538967528127731
llama2_7b_chat,bear,size,width,millimeters,95.005,22.338319095222896,600.25,260.97224595327134
llama2_7b_chat,bear,temperature,temperature,celsius,-7.5,9.665456669582609,33.75,4.8327283347913035
llama2_7b_chat,bear,temperature,temperature,fahrenheit,27.9,18.335757415498275,106.0,11.42481141154959
llama2_7b_chat,bear,temperature,temperature,kelvin,1.5,12.258187382102497,59.1,82.48374640529266
llama2_7b_chat,bear,value,monetary_value,US dollars,105.0,173.09869408732362,1440.0,2307.0601023357567
llama2_7b_chat,bear,value,monetary_value,euros,36.0,41.218289246656674,820.0,517.6871642217914
llama2_7b_chat,bear,value,monetary_value,pounds,155.0,27.625312572654128,865.0,166.30662866176473
llama2_7b_chat,bear,weight,weight,grams,98.0,32.86335345030997,965.0,200.7223796297028
llama2_7b_chat,bear,weight,weight,kilograms,118.0,35.62967420859369,835.0,118.21033884786186
llama2_7b_chat,bear,weight,weight,ounces,34.0,36.763826614872684,1275.0,255.2088927670202
llama2_7b_chat,bear,weight,weight,pounds,150.0,0.0,1280.0,289.4641146743591
llama2_7b_chat,bench,size,height,centimeters,47.0,7.326950970650464,180.0,25.13123449750173
llama2_7b_chat,bench,size,height,feet,2.875,0.5590169943749476,9.9,1.020835571068081
llama2_7b_chat,bench,size,height,inches,29.9,8.765362453850292,60.6,21.58069312578893
llama2_7b_chat,bench,size,height,meters,1.4,0.30779350562554625,3.45,0.7236602866858978
llama2_7b_chat,bench,size,height,millimeters,360.0,162.7073575795708,1425.0,601.6424887011607
llama2_7b_chat,bench,size,length,centimeters,43.5,8.127277008872488,164.5,28.18640956579121
llama2_7b_chat,bench,size,length,feet,2.85,0.3284733426658931,9.95,0.6863327411532597
llama2_7b_chat,bench,size,length,inches,26.7,5.202226244093661,54.6,17.5090953807623
llama2_7b_chat,bench,size,length,meters,1.5,0.0,3.225,0.2552088927670202
llama2_7b_chat,bench,size,length,millimeters,400.0,137.64944032233703,1575.0,559.0169943749474
llama2_7b_chat,bench,size,width,centimeters,40.0,9.17662935482247,163.0,29.753372210469472
llama2_7b_chat,bench,size,width,feet,2.85,0.3284733426658931,9.8,0.8335087534664906
llama2_7b_chat,bench,size,width,inches,29.9,7.0926203308717115,59.5,15.271231984217561
llama2_7b_chat,bench,size,width,meters,1.4,0.3077935056255463,3.35,0.48936048492959294
llama2_7b_chat,bench,size,width,millimeters,440.0,114.24811411549588,1810.0,430.2997731080533
llama2_7b_chat,bench,temperature,temperature,celsius,10.0,0.0,30.0,0.0
llama2_7b_chat,bench,temperature,temperature,fahrenheit,50.6,6.556635851121405,89.5,9.445132413883327
llama2_7b_chat,bench,temperature,temperature,kelvin,3.5,5.871429486123997,79.5,32.19594613252453
llama2_7b_chat,bench,value,monetary_value,US dollars,31.75,20.728508210471368,430.0,267.7390717215472
llama2_7b_chat,bench,value,monetary_value,euros,13.525,12.652724898946513,332.5,336.49704776995407
llama2_7b_chat,bench,value,monetary_value,pounds,57.5,49.72291645763181,236.5,192.93508589269356
llama2_7b_chat,bench,weight,weight,grams,31.51,26.598791029114956,140.0,99.472291830968
llama2_7b_chat,bench,weight,weight,kilograms,45.505,13.928217288731004,157.5,29.357147430619992
llama2_7b_chat,bench,weight,weight,ounces,31.5,19.540780569443942,116.0,74.72053194896863
llama2_7b_chat,bench,weight,weight,pounds,68.005,32.53047923021376,380.0,202.22447142248944
llama2_7b_chat,bicycle,size,height,centimeters,57.5,26.332889181242134,122.5,22.213082915965963
llama2_7b_chat,bicycle,size,height,feet,10.3,8.756050539634384,26.55,24.456674904173322
llama2_7b_chat,bicycle,size,height,inches,19.5,2.23606797749979,50.25,18.951114395784362
llama2_7b_chat,bicycle,size,height,meters,0.5700000000000001,0.5545030966645058,14.25,22.51928997665405
llama2_7b_chat,bicycle,size,height,millimeters,410.0,155.25869752736796,1150.0,235.08117299081368
llama2_7b_chat,bicycle,size,length,centimeters,58.0,16.73320053068151,164.0,197.9739483127169
llama2_7b_chat,bicycle,size,length,feet,11.629999999999999,8.835103430723317,27.45,18.021843471333977
llama2_7b_chat,bicycle,size,length,inches,19.95,1.8488972531299783,40.45,14.402028365915394
llama2_7b_chat,bicycle,size,length,meters,1.325,2.988904921803125,14.1,13.687874003542046
llama2_7b_chat,bicycle,size,length,millimeters,465.0,122.58187382102494,1230.0,236.42067769572367
llama2_7b_chat,bicycle,size,width,centimeters,51.5,18.144159564878983,164.5,198.02910471895154
llama2_7b_chat,bicycle,size,width,feet,10.9,8.598653505361357,29.95,30.6533676350319
llama2_7b_chat,bicycle,size,width,inches,20.5,1.9330913339165214,36.9,10.632126093268358
llama2_7b_chat,bicycle,size,width,meters,1.395,2.9750674472672842,18.475,29.638823667970573
llama2_7b_chat,bicycle,size,width,millimeters,415.0,163.1111987507134,1092.5,311.310895543684
llama2_7b_chat,bicycle,temperature,temperature,celsius,-0.25,4.993416718672275,32.25,4.127889737409483
llama2_7b_chat,bicycle,temperature,temperature,fahrenheit,32.0,0.0,100.0,0.0
llama2_7b_chat,bicycle,temperature,temperature,kelvin,-23.6575,73.77682433671515,99.0,4.472135954999579
llama2_7b_chat,bicycle,value,monetary_value,US dollars,102.5,25.52088927670202,1000.0,162.22142113076254
llama2_7b_chat,bicycle,value,monetary_value,euros,57.5,24.468024246479647,880.0,345.80189034824696
llama2_7b_chat,bicycle,value,monetary_value,pounds,19.75,10.572431876795125,86.5,45.453851669346435
llama2_7b_chat,bicycle,weight,weight,grams,138.0,271.53268679847736,316.5,535.9524232616175
llama2_7b_chat,bicycle,weight,weight,kilograms,24.75,11.638751063399779,120.5,19.594574974238473
llama2_7b_chat,bicycle,weight,weight,ounces,12.75,4.435206041615085,32.5,4.442616583193193
llama2_7b_chat,bicycle,weight,weight,pounds,20.0,4.588314677411235,121.0,125.8507888438987
llama2_7b_chat,bird,size,height,centimeters,12.0,5.23148363780597,160.0,80.45920836378095
llama2_7b_chat,bird,size,height,feet,1.6,0.8207826816681234,9.4,0.99472291830968
llama2_7b_chat,bird,size,height,inches,3.25,1.9022147756317052,11.75,2.816773069722833
llama2_7b_chat,bird,size,height,meters,0.12,0.0894427190999916,39.0,37.9611990271507
llama2_7b_chat,bird,size,height,millimeters,81.5,51.93872908483003,640.0,1057.5045103798302
llama2_7b_chat,bird,size,length,centimeters,13.0,4.701623459816273,156.5,92.06833846316779
llama2_7b_chat,bird,size,length,feet,1.575,0.8925864251240826,9.675,0.6742442162583931
llama2_7b_chat,bird,size,length,inches,2.525,0.8503095411610255,16.45,21.607077300590287
llama2_7b_chat,bird,size,length,meters,0.16,0.1465390194130093,36.25,50.650375381785565
llama2_7b_chat,bird,size,length,millimeters,89.5,26.252819397462623,500.0,212.75139927797616
llama2_7b_chat,bird,size,width,centimeters,13.5,4.8936048492959285,117.5,49.40434670840421
llama2_7b_chat,bird,size,width,feet,1.875,0.8090767968233267,9.575,0.7122056178557307
llama2_7b_chat,bird,size,width,inches,2.975,0.6381511122808321,11.65,3.3876711454144544
llama2_7b_chat,bird,size,width,meters,0.12,0.0894427190999916,27.0,31.805328914639773
llama2_7b_chat,bird,size,width,millimeters,81.5,26.21269278723372,475.0,207.42785683093214
llama2_7b_chat,bird,temperature,temperature,celsius,-3.0,7.326950970650464,50.5,8.255779474818965
llama2_7b_chat,bird,temperature,temperature,fahrenheit,32.0,0.0,110.0,10.259783520851542
llama2_7b_chat,bird,temperature,temperature,kelvin,0.0,9.17662935482247,80.0,24.49489742783178
llama2_7b_chat,bird,value,monetary_value,US dollars,0.25,1.1180339887498947,19377.5,35016.91499156252
llama2_7b_chat,bird,value,monetary_value,euros,1.5050000000000001,3.6613881463039037,1630.0,2892.112686164508
llama2_7b_chat,bird,value,monetary_value,pounds,0.65,0.36634754853252327,9.925,0.33541019662496824
llama2_7b_chat,bird,weight,weight,grams,37.0555,38.755718420165536,1485.5,2318.56233812884
llama2_7b_chat,bird,weight,weight,kilograms,0.15505,0.15029636512045477,14.5,20.12461179749811
llama2_7b_chat,bird,weight,weight,ounces,0.605,0.4695742752749559,10.025,0.11180339887498959
llama2_7b_chat,bird,weight,weight,pounds,0.5,0.0,10.05,0.15389675281277293
llama2_7b_chat,boat,size,height,centimeters,57.0,44.96782475457196,590.0,692.5543869959735
llama2_7b_chat,boat,size,height,feet,10.0,0.0,85.5,22.820812292383685
llama2_7b_chat,boat,size,height,inches,10.7,12.530384124829913,54.7,31.651224304914333
llama2_7b_chat,boat,size,height,meters,3.95,1.520906931648627,51.0,41.122410332797216
llama2_7b_chat,boat,size,height,millimeters,120.0,89.44271909999159,1450.0,2235.479461111784
llama2_7b_chat,boat,size,length,centimeters,50.5,45.93760069806363,362.5,375.7921457961904
llama2_7b_chat,boat,size,length,feet,10.0,0.0,87.5,22.213082915965966
llama2_7b_chat,boat,size,length,inches,15.35,14.998333240730451,61.5,35.87624929055286
llama2_7b_chat,boat,size,length,meters,4.025,1.989941813484161,58.75,45.418376758404975
llama2_7b_chat,boat,size,length,millimeters,94.73684210526316,15.76508838211529,1505.2631578947369,1576.0265382038485
llama2_7b_chat,boat,size,width,centimeters,70.5,42.11200603903332,452.0,342.56924002386194
llama2_7b_chat,boat,size,width,feet,10.0,0.0,93.0,17.198531149031606
llama2_7b_chat,boat,size,width,inches,15.075,17.252974571909256,59.5,34.25523394507151
llama2_7b_chat,boat,size,width,meters,3.725,1.4909816617884588,55.0,41.83300132670378
llama2_7b_chat,boat,size,width,millimeters,92.5,18.317377426626162,1187.5,1339.2726816408501
llama2_7b_chat,boat,temperature,temperature,celsius,0.0,0.0,30.0,0.0
llama2_7b_chat,boat,temperature,temperature,fahrenheit,31.6,0.8207826816681235,98.6,7.570023986612905
llama2_7b_chat,boat,temperature,temperature,kelvin,2.0,6.155870112510924,98.0,6.155870112510923
llama2_7b_chat,boat,value,monetary_value,US dollars,350.0,294.68984587725095,24500.0,29775.47560272415
llama2_7b_chat,boat,value,monetary_value,euros,123.33333333333333,140.67066252107313,3500.0,3527.205192583533
llama2_7b_chat,boat,value,monetary_value,pounds,81.75,29.968184884359573,1330.0,1612.0761376821538
llama2_7b_chat,boat,weight,weight,grams,88.0,25.87418953726911,4100.0,1846.7610337532776
llama2_7b_chat,boat,weight,weight,kilograms,85.0,50.73149130989859,2510.0,2322.804566172449
llama2_7b_chat,boat,weight,weight,ounces,63.0,40.53588403793412,2725.0,2662.9771625797043
llama2_7b_chat,boat,weight,weight,pounds,95.0,42.61208131133952,1625.0,1746.2365547837892
llama2_7b_chat,bottle,size,height,centimeters,9.5,1.5389675281277313,210.0,341.2824112235002
llama2_7b_chat,bottle,size,height,feet,1.15,2.1095023109728985,17.725,22.36448959258498
llama2_7b_chat,bottle,size,height,inches,4.0,1.8918106058538344,22.0,9.646379195270491
llama2_7b_chat,bottle,size,height,meters,0.05500000000000001,0.04616902584383193,63.5,42.95346318982906
llama2_7b_chat,bottle,size,height,millimeters,63.5,25.39685019840059,650.0,235.08117299081363
llama2_7b_chat,bottle,size,length,centimeters,10.0,0.0,250.0,349.81197957278647
llama2_7b_chat,bottle,size,length,feet,1.15,2.1095023109728985,10.75,13.301661946024481
llama2_7b_chat,bottle,size,length,inches,4.075,1.4980250156016826,22.55,10.618875944081344
llama2_7b_chat,bottle,size,length,meters,0.0595,0.04593760069806364,59.25,46.23381651425376
llama2_7b_chat,bottle,size,length,millimeters,51.0,20.74912807299318,575.0,183.1737742662616
llama2_7b_chat,bottle,size,width,centimeters,9.5,1.538967528127731,235.0,344.16183463750394
llama2_7b_chat,bottle,size,width,feet,1.75,3.193331868292525,15.125,12.137236093938354
llama2_7b_chat,bottle,size,width,inches,3.625,1.6612851715020607,20.5,7.015021476502369
llama2_7b_chat,bottle,size,width,meters,0.0595,0.04593760069806364,61.5,44.51788522900833
llama2_7b_chat,bottle,size,width,millimeters,61.5,36.02265369107846,700.0,251.31234497501728
llama2_7b_chat,bottle,temperature,temperature,celsius,0.0,0.0,100.0,0.0
