model,concept,domain,ctx_true_mean,ctx_true_std,runs
deepseek-r1-distill-llama-70b,banana,scenario,0.5789473684210527,0.5072572735017881,19
deepseek-r1-distill-llama-70b,banana,shape,1.0,0.0,19
deepseek-r1-distill-llama-70b,banana,size,1.0,0.0,19
deepseek-r1-distill-llama-70b,banana,temperature,0.7894736842105263,0.41885390829169555,19
deepseek-r1-distill-llama-70b,banana,texture,1.0,0.0,19
deepseek-r1-distill-llama-70b,banana,value,0.8947368421052632,0.3153017676423057,19
deepseek-r1-distill-llama-70b,banana,weight,0.8947368421052632,0.3153017676423057,19
deepseek-r1-distill-llama-70b,baseball bat,colour,0.0,,1
deepseek-r1-distill-llama-70b,baseball bat,context,1.0,,1
deepseek-r1-distill-llama-70b,baseball bat,disposition,0.0,,1
deepseek-r1-distill-llama-70b,baseball bat,function,1.0,,1
deepseek-r1-distill-llama-70b,baseball bat,location,0.0,,1
deepseek-r1-distill-llama-70b,baseball bat,material,1.0,,1
deepseek-r1-distill-llama-70b,baseball bat,pattern,0.0,,1
deepseek-r1-distill-llama-70b,baseball bat,scenario,1.0,,1
deepseek-r1-distill-llama-70b,baseball bat,shape,1.0,,1
deepseek-r1-distill-llama-70b,baseball bat,size,1.0,,1
deepseek-r1-distill-llama-70b,baseball bat,temperature,0.0,,1
deepseek-r1-distill-llama-70b,baseball bat,texture,1.0,,1
deepseek-r1-distill-llama-70b,baseball bat,value,1.0,,1
deepseek-r1-distill-llama-70b,baseball bat,weight,1.0,,1
deepseek-r1-distill-llama-70b,baseball glove,colour,0.0,,1
deepseek-r1-distill-llama-70b,baseball glove,context,1.0,,1
deepseek-r1-distill-llama-70b,baseball glove,disposition,0.0,,1
deepseek-r1-distill-llama-70b,baseball glove,function,1.0,,1
deepseek-r1-distill-llama-70b,baseball glove,location,1.0,,1
deepseek-r1-distill-llama-70b,baseball glove,material,1.0,,1
deepseek-r1-distill-llama-70b,baseball glove,pattern,1.0,,1
deepseek-r1-distill-llama-70b,baseball glove,scenario,1.0,,1
deepseek-r1-distill-llama-70b,baseball glove,shape,1.0,,1
deepseek-r1-distill-llama-70b,baseball glove,size,1.0,,1
deepseek-r1-distill-llama-70b,baseball glove,temperature,0.0,,1
deepseek-r1-distill-llama-70b,baseball glove,texture,1.0,,1
deepseek-r1-distill-llama-70b,baseball glove,value,0.0,,1
deepseek-r1-distill-llama-70b,baseball glove,weight,1.0,,1
deepseek-r1-distill-llama-70b,bear,Disposition,1.0,,1
deepseek-r1-distill-llama-70b,bear,colour,0.95,0.22360679774997894,20
deepseek-r1-distill-llama-70b,bear,context,0.55,0.5104177855340405,20
deepseek-r1-distill-llama-70b,bear,disposition,0.5263157894736842,0.5129891760425771,19
deepseek-r1-distill-llama-70b,bear,function,0.55,0.5104177855340405,20
deepseek-r1-distill-llama-70b,bear,location,1.0,0.0,20
deepseek-r1-distill-llama-70b,bear,material,0.0,0.0,20
deepseek-r1-distill-llama-70b,bear,pattern,0.2,0.41039134083406165,20
deepseek-r1-distill-llama-70b,bear,scenario,0.3,0.47016234598162726,20
deepseek-r1-distill-llama-70b,bear,shape,1.0,0.0,20
deepseek-r1-distill-llama-70b,bear,size,1.0,0.0,20
deepseek-r1-distill-llama-70b,bear,temperature,0.0,0.0,20
deepseek-r1-distill-llama-70b,bear,texture,1.0,0.0,20
deepseek-r1-distill-llama-70b,bear,value,0.35,0.4893604849295929,20
deepseek-r1-distill-llama-70b,bear,weight,1.0,0.0,20
deepseek-r1-distill-llama-70b,bed,colour,1.0,0.0,20
deepseek-r1-distill-llama-70b,bed,context,0.6,0.5026246899500346,20
deepseek-r1-distill-llama-70b,bed,disposition,0.15,0.3663475485325232,20
deepseek-r1-distill-llama-70b,bed,function,1.0,0.0,20
deepseek-r1-distill-llama-70b,bed,location,1.0,0.0,20
deepseek-r1-distill-llama-70b,bed,material,1.0,0.0,20
deepseek-r1-distill-llama-70b,bed,pattern,0.7,0.4701623459816272,20
deepseek-r1-distill-llama-70b,bed,scenario,0.4,0.5026246899500346,20
deepseek-r1-distill-llama-70b,bed,shape,1.0,0.0,20
deepseek-r1-distill-llama-70b,bed,size,1.0,0.0,20
deepseek-r1-distill-llama-70b,bed,temperature,0.15,0.3663475485325232,20
deepseek-r1-distill-llama-70b,bed,texture,1.0,0.0,20
deepseek-r1-distill-llama-70b,bed,value,0.7,0.47016234598162726,20
deepseek-r1-distill-llama-70b,bed,weight,0.25,0.44426165831931924,20
deepseek-r1-distill-llama-70b,bench,colour,1.0,0.0,18
deepseek-r1-distill-llama-70b,bench,context,0.9444444444444444,0.2357022603955158,18
deepseek-r1-distill-llama-70b,bench,disposition,0.6111111111111112,0.5016313257045503,18
deepseek-r1-distill-llama-70b,bench,function,1.0,0.0,18
deepseek-r1-distill-llama-70b,bench,location,1.0,0.0,18
deepseek-r1-distill-llama-70b,bench,material,1.0,0.0,18
deepseek-r1-distill-llama-70b,bench,pattern,0.8333333333333334,0.3834824944236852,18
deepseek-r1-distill-llama-70b,bench,scenario,0.8333333333333334,0.3834824944236852,18
deepseek-r1-distill-llama-70b,bench,shape,1.0,0.0,18
deepseek-r1-distill-llama-70b,bench,size,1.0,0.0,18
deepseek-r1-distill-llama-70b,bench,temperature,0.5,0.5144957554275265,18
deepseek-r1-distill-llama-70b,bench,texture,1.0,0.0,18
deepseek-r1-distill-llama-70b,bench,value,0.8333333333333334,0.3834824944236852,18
deepseek-r1-distill-llama-70b,bench,weight,0.9444444444444444,0.23570226039551584,18
deepseek-r1-distill-llama-70b,bicycle,Disposition,0.0,,1
deepseek-r1-distill-llama-70b,bicycle,colour,1.0,0.0,20
deepseek-r1-distill-llama-70b,bicycle,context,0.95,0.22360679774997896,20
deepseek-r1-distill-llama-70b,bicycle,disposition,0.10526315789473684,0.3153017676423058,19
deepseek-r1-distill-llama-70b,bicycle,function,1.0,0.0,20
deepseek-r1-distill-llama-70b,bicycle,location,0.9,0.3077935056255462,20
deepseek-r1-distill-llama-70b,bicycle,material,1.0,0.0,20
deepseek-r1-distill-llama-70b,bicycle,pattern,0.55,0.5104177855340405,20
deepseek-r1-distill-llama-70b,bicycle,scenario,0.95,0.22360679774997896,20
deepseek-r1-distill-llama-70b,bicycle,shape,1.0,0.0,20
deepseek-r1-distill-llama-70b,bicycle,size,1.0,0.0,20
deepseek-r1-distill-llama-70b,bicycle,temperature,0.0,0.0,20
deepseek-r1-distill-llama-70b,bicycle,texture,0.75,0.4442616583193193,20
deepseek-r1-distill-llama-70b,bicycle,value,1.0,0.0,20
deepseek-r1-distill-llama-70b,bicycle,weight,1.0,0.0,20
deepseek-r1-distill-llama-70b,bird,colour,1.0,0.0,19
deepseek-r1-distill-llama-70b,bird,context,0.7894736842105263,0.4188539082916955,19
deepseek-r1-distill-llama-70b,bird,disposition,0.47368421052631576,0.512989176042577,19
deepseek-r1-distill-llama-70b,bird,function,1.0,0.0,19
deepseek-r1-distill-llama-70b,bird,location,1.0,0.0,19
deepseek-r1-distill-llama-70b,bird,material,0.2631578947368421,0.4524139283588641,19
deepseek-r1-distill-llama-70b,bird,pattern,1.0,0.0,19
deepseek-r1-distill-llama-70b,bird,scenario,0.2631578947368421,0.45241392835886407,19
deepseek-r1-distill-llama-70b,bird,shape,1.0,0.0,19
deepseek-r1-distill-llama-70b,bird,size,1.0,0.0,19
deepseek-r1-distill-llama-70b,bird,temperature,0.5263157894736842,0.512989176042577,19
deepseek-r1-distill-llama-70b,bird,texture,0.7894736842105263,0.41885390829169555,19
deepseek-r1-distill-llama-70b,bird,value,0.3684210526315789,0.49559462778335217,19
deepseek-r1-distill-llama-70b,bird,weight,0.9473684210526315,0.22941573387056174,19
deepseek-r1-distill-llama-70b,boat,colour,0.9473684210526315,0.22941573387056177,19
deepseek-r1-distill-llama-70b,boat,context,0.8947368421052632,0.3153017676423058,19
deepseek-r1-distill-llama-70b,boat,disposition,0.05263157894736842,0.22941573387056177,19
deepseek-r1-distill-llama-70b,boat,function,1.0,0.0,19
deepseek-r1-distill-llama-70b,boat,location,1.0,0.0,19
deepseek-r1-distill-llama-70b,boat,material,1.0,0.0,19
deepseek-r1-distill-llama-70b,boat,pattern,0.10526315789473684,0.3153017676423058,19
deepseek-r1-distill-llama-70b,boat,scenario,0.7894736842105263,0.4188539082916955,19
deepseek-r1-distill-llama-70b,boat,shape,1.0,0.0,19
deepseek-r1-distill-llama-70b,boat,size,1.0,0.0,19
deepseek-r1-distill-llama-70b,boat,temperature,0.05263157894736842,0.22941573387056177,19
deepseek-r1-distill-llama-70b,boat,texture,0.42105263157894735,0.5072572735017881,19
deepseek-r1-distill-llama-70b,boat,value,0.8421052631578947,0.37463432463267754,19
deepseek-r1-distill-llama-70b,boat,weight,1.0,0.0,19
deepseek-r1-distill-llama-70b,book,colour,1.0,0.0,19
deepseek-r1-distill-llama-70b,book,context,0.8421052631578947,0.3746343246326775,19
deepseek-r1-distill-llama-70b,book,disposition,0.15789473684210525,0.37463432463267754,19
deepseek-r1-distill-llama-70b,book,function,1.0,0.0,19
deepseek-r1-distill-llama-70b,book,location,0.9473684210526315,0.22941573387056177,19
deepseek-r1-distill-llama-70b,book,material,1.0,0.0,19
deepseek-r1-distill-llama-70b,book,pattern,0.47368421052631576,0.512989176042577,19
deepseek-r1-distill-llama-70b,book,scenario,0.5789473684210527,0.5072572735017881,19
deepseek-r1-distill-llama-70b,book,shape,1.0,0.0,19
deepseek-r1-distill-llama-70b,book,size,1.0,0.0,19
deepseek-r1-distill-llama-70b,book,temperature,0.0,0.0,19
deepseek-r1-distill-llama-70b,book,texture,1.0,0.0,19
deepseek-r1-distill-llama-70b,book,value,0.9473684210526315,0.22941573387056174,19
deepseek-r1-distill-llama-70b,book,weight,1.0,0.0,19
deepseek-r1-distill-llama-70b,bottle,colour,1.0,0.0,20
deepseek-r1-distill-llama-70b,bottle,context,0.65,0.489360484929593,20
deepseek-r1-distill-llama-70b,bottle,disposition,0.05,0.22360679774997896,20
deepseek-r1-distill-llama-70b,bottle,function,1.0,0.0,20
deepseek-r1-distill-llama-70b,bottle,location,0.8,0.4103913408340616,20
deepseek-r1-distill-llama-70b,bottle,material,1.0,0.0,20
deepseek-r1-distill-llama-70b,bottle,pattern,0.75,0.44426165831931924,20
deepseek-r1-distill-llama-70b,bottle,scenario,0.5,0.512989176042577,20
deepseek-r1-distill-llama-70b,bottle,shape,1.0,0.0,20
deepseek-r1-distill-llama-70b,bottle,size,1.0,0.0,20
deepseek-r1-distill-llama-70b,bottle,temperature,0.4,0.5026246899500346,20
deepseek-r1-distill-llama-70b,bottle,texture,0.9,0.3077935056255463,20
deepseek-r1-distill-llama-70b,bottle,value,0.75,0.44426165831931924,20
deepseek-r1-distill-llama-70b,bottle,weight,0.9,0.3077935056255463,20
deepseek-r1-distill-llama-70b,bowl,Disposition,0.0,,1
deepseek-r1-distill-llama-70b,bowl,colour,1.0,0.0,19
deepseek-r1-distill-llama-70b,bowl,context,1.0,0.0,19
deepseek-r1-distill-llama-70b,bowl,disposition,0.5555555555555556,0.5113099925649136,18
deepseek-r1-distill-llama-70b,bowl,function,1.0,0.0,19
deepseek-r1-distill-llama-70b,bowl,location,1.0,0.0,19
deepseek-r1-distill-llama-70b,bowl,material,1.0,0.0,19
deepseek-r1-distill-llama-70b,bowl,pattern,1.0,0.0,19
deepseek-r1-distill-llama-70b,bowl,scenario,0.8947368421052632,0.3153017676423058,19
deepseek-r1-distill-llama-70b,bowl,shape,1.0,0.0,19
deepseek-r1-distill-llama-70b,bowl,size,1.0,0.0,19
deepseek-r1-distill-llama-70b,bowl,temperature,0.6842105263157895,0.47756693294091923,19
deepseek-r1-distill-llama-70b,bowl,texture,1.0,0.0,19
deepseek-r1-distill-llama-70b,bowl,value,0.8421052631578947,0.37463432463267754,19
deepseek-r1-distill-llama-70b,bowl,weight,0.9473684210526315,0.22941573387056177,19
deepseek-r1-distill-llama-70b,broccoli,colour,1.0,0.0,19
deepseek-r1-distill-llama-70b,broccoli,context,0.6842105263157895,0.4775669329409193,19
deepseek-r1-distill-llama-70b,broccoli,disposition,0.10526315789473684,0.3153017676423058,19
deepseek-r1-distill-llama-70b,broccoli,function,0.9473684210526315,0.22941573387056174,19
deepseek-r1-distill-llama-70b,broccoli,location,1.0,0.0,19
deepseek-r1-distill-llama-70b,broccoli,material,0.9473684210526315,0.22941573387056177,19
deepseek-r1-distill-llama-70b,broccoli,pattern,0.10526315789473684,0.3153017676423058,19
deepseek-r1-distill-llama-70b,broccoli,scenario,0.21052631578947367,0.4188539082916955,19
deepseek-r1-distill-llama-70b,broccoli,shape,1.0,0.0,19
deepseek-r1-distill-llama-70b,broccoli,size,1.0,0.0,19
deepseek-r1-distill-llama-70b,broccoli,temperature,0.2631578947368421,0.45241392835886407,19
deepseek-r1-distill-llama-70b,broccoli,texture,1.0,0.0,19
deepseek-r1-distill-llama-70b,broccoli,value,0.8947368421052632,0.3153017676423057,19
deepseek-r1-distill-llama-70b,broccoli,weight,0.47368421052631576,0.512989176042577,19
deepseek-r1-distill-llama-70b,bus,colour,1.0,0.0,20
deepseek-r1-distill-llama-70b,bus,context,0.95,0.22360679774997894,20
deepseek-r1-distill-llama-70b,bus,disposition,0.05,0.22360679774997896,20
deepseek-r1-distill-llama-70b,bus,function,1.0,0.0,20
deepseek-r1-distill-llama-70b,bus,location,1.0,0.0,20
deepseek-r1-distill-llama-70b,bus,material,0.6,0.5026246899500346,20
deepseek-r1-distill-llama-70b,bus,pattern,0.25,0.4442616583193192,20
deepseek-r1-distill-llama-70b,bus,scenario,0.95,0.22360679774997894,20
deepseek-r1-distill-llama-70b,bus,shape,1.0,0.0,20
deepseek-r1-distill-llama-70b,bus,size,1.0,0.0,20
deepseek-r1-distill-llama-70b,bus,temperature,0.0,0.0,20
deepseek-r1-distill-llama-70b,bus,texture,0.0,0.0,20
deepseek-r1-distill-llama-70b,bus,value,0.65,0.48936048492959283,20
deepseek-r1-distill-llama-70b,bus,weight,0.5,0.512989176042577,20
deepseek-r1-distill-llama-70b,cake,Disposition,1.0,,1
deepseek-r1-distill-llama-70b,cake,colour,1.0,0.0,19
deepseek-r1-distill-llama-70b,cake,context,0.631578947368421,0.49559462778335206,19
deepseek-r1-distill-llama-70b,cake,disposition,0.1111111111111111,0.32338083338177726,18
deepseek-r1-distill-llama-70b,cake,function,0.8421052631578947,0.3746343246326775,19
deepseek-r1-distill-llama-70b,cake,location,0.8947368421052632,0.3153017676423058,19
deepseek-r1-distill-llama-70b,cake,material,0.9473684210526315,0.22941573387056174,19
deepseek-r1-distill-llama-70b,cake,pattern,0.5789473684210527,0.5072572735017881,19
deepseek-r1-distill-llama-70b,cake,scenario,0.5263157894736842,0.512989176042577,19
deepseek-r1-distill-llama-70b,cake,shape,1.0,0.0,19
deepseek-r1-distill-llama-70b,cake,size,1.0,0.0,19
deepseek-r1-distill-llama-70b,cake,temperature,0.7368421052631579,0.45241392835886407,19
deepseek-r1-distill-llama-70b,cake,texture,1.0,0.0,19
deepseek-r1-distill-llama-70b,cake,value,0.5789473684210527,0.5072572735017881,19
deepseek-r1-distill-llama-70b,cake,weight,0.21052631578947367,0.4188539082916955,19
deepseek-r1-distill-llama-70b,car,colour,1.0,0.0,20
deepseek-r1-distill-llama-70b,car,context,0.7,0.4701623459816273,20
deepseek-r1-distill-llama-70b,car,disposition,0.15,0.36634754853252327,20
deepseek-r1-distill-llama-70b,car,function,1.0,0.0,20
deepseek-r1-distill-llama-70b,car,location,0.9,0.3077935056255462,20
deepseek-r1-distill-llama-70b,car,material,0.9,0.3077935056255463,20
deepseek-r1-distill-llama-70b,car,pattern,0.1,0.3077935056255462,20
deepseek-r1-distill-llama-70b,car,scenario,0.6,0.5026246899500346,20
deepseek-r1-distill-llama-70b,car,shape,1.0,0.0,20
deepseek-r1-distill-llama-70b,car,size,1.0,0.0,20
deepseek-r1-distill-llama-70b,car,temperature,0.1,0.3077935056255462,20
deepseek-r1-distill-llama-70b,car,texture,0.35,0.48936048492959294,20
deepseek-r1-distill-llama-70b,car,value,1.0,0.0,20
deepseek-r1-distill-llama-70b,car,weight,1.0,0.0,20
deepseek-r1-distill-llama-70b,carrot,colour,1.0,0.0,18
deepseek-r1-distill-llama-70b,carrot,context,0.7222222222222222,0.46088859896247675,18
deepseek-r1-distill-llama-70b,carrot,disposition,0.1111111111111111,0.32338083338177726,18
deepseek-r1-distill-llama-70b,carrot,function,1.0,0.0,18
deepseek-r1-distill-llama-70b,carrot,location,1.0,0.0,18
deepseek-r1-distill-llama-70b,carrot,material,0.7777777777777778,0.42779263194649864,18
deepseek-r1-distill-llama-70b,carrot,pattern,0.0,0.0,18
deepseek-r1-distill-llama-70b,carrot,scenario,0.16666666666666666,0.3834824944236852,18
deepseek-r1-distill-llama-70b,carrot,shape,1.0,0.0,18
deepseek-r1-distill-llama-70b,carrot,size,1.0,0.0,18
deepseek-r1-distill-llama-70b,carrot,temperature,0.16666666666666666,0.3834824944236852,18
deepseek-r1-distill-llama-70b,carrot,texture,1.0,0.0,18
deepseek-r1-distill-llama-70b,carrot,value,0.7777777777777778,0.4277926319464986,18
deepseek-r1-distill-llama-70b,carrot,weight,0.5,0.5144957554275265,18
deepseek-r1-distill-llama-70b,cat,colour,1.0,0.0,17
deepseek-r1-distill-llama-70b,cat,context,0.5882352941176471,0.5072996561958923,17
deepseek-r1-distill-llama-70b,cat,disposition,0.7058823529411765,0.4696682183138621,17
deepseek-r1-distill-llama-70b,cat,function,0.5294117647058824,0.5144957554275266,17
deepseek-r1-distill-llama-70b,cat,location,0.9411764705882353,0.24253562503633297,17
deepseek-r1-distill-llama-70b,cat,material,0.0,0.0,17
deepseek-r1-distill-llama-70b,cat,pattern,1.0,0.0,17
deepseek-r1-distill-llama-70b,cat,scenario,0.0,0.0,17
deepseek-r1-distill-llama-70b,cat,shape,0.8235294117647058,0.3929526239966879,17
deepseek-r1-distill-llama-70b,cat,size,1.0,0.0,17
deepseek-r1-distill-llama-70b,cat,temperature,0.0,0.0,17
deepseek-r1-distill-llama-70b,cat,texture,1.0,0.0,17
deepseek-r1-distill-llama-70b,cat,value,0.23529411764705882,0.43723731609760313,17
deepseek-r1-distill-llama-70b,cat,weight,1.0,0.0,17
deepseek-r1-distill-llama-70b,cell phone,Disposition,0.0,,1
deepseek-r1-distill-llama-70b,cell phone,colour,0.9,0.3077935056255462,20
deepseek-r1-distill-llama-70b,cell phone,context,0.8,0.4103913408340616,20
deepseek-r1-distill-llama-70b,cell phone,disposition,0.10526315789473684,0.3153017676423058,19
deepseek-r1-distill-llama-70b,cell phone,function,1.0,0.0,20
deepseek-r1-distill-llama-70b,cell phone,location,0.75,0.4442616583193193,20
deepseek-r1-distill-llama-70b,cell phone,material,0.95,0.22360679774997894,20
deepseek-r1-distill-llama-70b,cell phone,pattern,0.5,0.512989176042577,20
deepseek-r1-distill-llama-70b,cell phone,scenario,0.65,0.48936048492959294,20
deepseek-r1-distill-llama-70b,cell phone,shape,0.95,0.22360679774997894,20
deepseek-r1-distill-llama-70b,cell phone,size,1.0,0.0,20
deepseek-r1-distill-llama-70b,cell phone,temperature,0.0,0.0,20
deepseek-r1-distill-llama-70b,cell phone,texture,0.8,0.41039134083406165,20
deepseek-r1-distill-llama-70b,cell phone,value,0.9,0.3077935056255462,20
deepseek-r1-distill-llama-70b,cell phone,weight,1.0,0.0,20
deepseek-r1-distill-llama-70b,chair,Disposition,0.0,0.0,2
deepseek-r1-distill-llama-70b,chair,colour,1.0,0.0,20
deepseek-r1-distill-llama-70b,chair,context,0.75,0.4442616583193193,20
deepseek-r1-distill-llama-70b,chair,disposition,0.2777777777777778,0.46088859896247686,18
deepseek-r1-distill-llama-70b,chair,function,1.0,0.0,20
deepseek-r1-distill-llama-70b,chair,location,0.95,0.22360679774997896,20
deepseek-r1-distill-llama-70b,chair,material,1.0,0.0,20
deepseek-r1-distill-llama-70b,chair,pattern,0.8,0.4103913408340616,20
deepseek-r1-distill-llama-70b,chair,scenario,0.65,0.4893604849295929,20
deepseek-r1-distill-llama-70b,chair,shape,1.0,0.0,20
deepseek-r1-distill-llama-70b,chair,size,1.0,0.0,20
deepseek-r1-distill-llama-70b,chair,temperature,0.15,0.3663475485325232,20
deepseek-r1-distill-llama-70b,chair,texture,1.0,0.0,20
deepseek-r1-distill-llama-70b,chair,value,0.9,0.30779350562554625,20
deepseek-r1-distill-llama-70b,chair,weight,0.95,0.22360679774997896,20
deepseek-r1-distill-llama-70b,clock,colour,1.0,0.0,20
deepseek-r1-distill-llama-70b,clock,context,0.9,0.3077935056255462,20
deepseek-r1-distill-llama-70b,clock,disposition,0.15,0.3663475485325232,20
deepseek-r1-distill-llama-70b,clock,function,1.0,0.0,20
deepseek-r1-distill-llama-70b,clock,location,1.0,0.0,20
deepseek-r1-distill-llama-70b,clock,material,1.0,0.0,20
deepseek-r1-distill-llama-70b,clock,pattern,0.3,0.4701623459816272,20
deepseek-r1-distill-llama-70b,clock,scenario,0.75,0.4442616583193192,20
deepseek-r1-distill-llama-70b,clock,shape,1.0,0.0,20
deepseek-r1-distill-llama-70b,clock,size,1.0,0.0,20
deepseek-r1-distill-llama-70b,clock,temperature,0.0,0.0,20
deepseek-r1-distill-llama-70b,clock,texture,0.4,0.5026246899500345,20
deepseek-r1-distill-llama-70b,clock,value,0.85,0.36634754853252316,20
deepseek-r1-distill-llama-70b,clock,weight,0.25,0.4442616583193193,20
deepseek-r1-distill-llama-70b,couch,colour,1.0,0.0,19
deepseek-r1-distill-llama-70b,couch,context,0.7894736842105263,0.4188539082916955,19
deepseek-r1-distill-llama-70b,couch,disposition,0.2631578947368421,0.45241392835886407,19
deepseek-r1-distill-llama-70b,couch,function,1.0,0.0,19
deepseek-r1-distill-llama-70b,couch,location,0.9473684210526315,0.22941573387056177,19
deepseek-r1-distill-llama-70b,couch,material,1.0,0.0,19
deepseek-r1-distill-llama-70b,couch,pattern,1.0,0.0,19
deepseek-r1-distill-llama-70b,couch,scenario,0.5789473684210527,0.5072572735017881,19
deepseek-r1-distill-llama-70b,couch,shape,1.0,0.0,19
deepseek-r1-distill-llama-70b,couch,size,1.0,0.0,19
deepseek-r1-distill-llama-70b,couch,temperature,0.0,0.0,19
deepseek-r1-distill-llama-70b,couch,texture,1.0,0.0,19
deepseek-r1-distill-llama-70b,couch,value,0.631578947368421,0.4955946277833521,19
deepseek-r1-distill-llama-70b,couch,weight,0.42105263157894735,0.5072572735017881,19
deepseek-r1-distill-llama-70b,cow,Disposition,1.0,,1
deepseek-r1-distill-llama-70b,cow,colour,1.0,0.0,20
deepseek-r1-distill-llama-70b,cow,context,0.95,0.22360679774997896,20
deepseek-r1-distill-llama-70b,cow,disposition,0.8947368421052632,0.3153017676423058,19
deepseek-r1-distill-llama-70b,cow,function,1.0,0.0,20
deepseek-r1-distill-llama-70b,cow,location,1.0,0.0,20
