model,concept,domain,dimension,measurement,avg_mean,avg_std
llama2_7b_chat,airplane,size,height,inches,43.2,44.860415090648274
llama2_7b_chat,airplane,size,height,meters,10.724,5.416503436137026
llama2_7b_chat,airplane,size,height,millimeters,1515.105,875.9698741965959
llama2_7b_chat,airplane,size,length,centimeters,241.26399999999998,449.31051218740174
llama2_7b_chat,airplane,size,length,feet,104.446,28.788754822161483
llama2_7b_chat,airplane,size,length,inches,76.327,13.670119200188724
llama2_7b_chat,airplane,size,length,meters,44.332,4.761438968697548
llama2_7b_chat,airplane,size,length,millimeters,4595.2835,2793.5774389561852
llama2_7b_chat,airplane,size,width,centimeters,424.5395,891.804504128538
llama2_7b_chat,airplane,size,width,feet,105.13,21.068321193078887
llama2_7b_chat,airplane,size,width,inches,110.19000000000001,15.744201940296694
llama2_7b_chat,airplane,size,width,meters,38.1075,4.842017712309177
llama2_7b_chat,airplane,size,width,millimeters,3190.4075000000003,1398.6089516180184
llama2_7b_chat,airplane,temperature,temperature,celsius,20.275,0.6972691091152082
llama2_7b_chat,airplane,temperature,temperature,fahrenheit,71.535,8.642506641746458
llama2_7b_chat,airplane,temperature,temperature,kelvin,237.83249999999998,58.39057754511963
llama2_7b_chat,airplane,value,monetary_value,US dollars,128015.0,210868.28334543968
llama2_7b_chat,airplane,value,monetary_value,euros,82000.0,36935.220675065546
llama2_7b_chat,airplane,value,monetary_value,pounds,107535.0,84674.19929539216
llama2_7b_chat,airplane,weight,weight,grams,22637.669,19370.50338191276
llama2_7b_chat,airplane,weight,weight,kilograms,100.559,42.13098108718121
llama2_7b_chat,airplane,weight,weight,ounces,385.38800000000003,304.63942644240564
llama2_7b_chat,airplane,weight,weight,pounds,7348.371000000001,22296.582595093358
llama2_7b_chat,apple,size,height,centimeters,7.4799999999999995,0.26675437154213993
llama2_7b_chat,apple,size,height,feet,2.45,0.5104177855340405
llama2_7b_chat,apple,size,height,inches,2.5,0.0
llama2_7b_chat,apple,size,height,meters,11.925,21.02459399445276
llama2_7b_chat,apple,size,height,millimeters,54.9575,22.146921343608916
llama2_7b_chat,apple,size,length,centimeters,7.445,0.46052030071259725
llama2_7b_chat,apple,size,length,feet,2.35,0.7451598203705947
llama2_7b_chat,apple,size,length,inches,2.75,0.44426165831931924
llama2_7b_chat,apple,size,length,meters,8.95,1.9861361590045288
llama2_7b_chat,apple,size,length,millimeters,67.5,6.386663736585053
llama2_7b_chat,apple,size,width,centimeters,7.208499999999999,0.7755967142516105
llama2_7b_chat,apple,size,width,feet,2.825,1.7341386455832368
llama2_7b_chat,apple,size,width,inches,2.6,0.3077935056255462
llama2_7b_chat,apple,size,width,meters,5.45,2.5848750351551657
llama2_7b_chat,apple,size,width,millimeters,54.0,13.138933706635727
llama2_7b_chat,apple,temperature,temperature,celsius,11.75,2.935714743061999
llama2_7b_chat,apple,temperature,temperature,fahrenheit,66.0,6.181466356439179
llama2_7b_chat,apple,temperature,temperature,kelvin,294.6894736842105,2.398875833209772
llama2_7b_chat,apple,value,monetary_value,US dollars,3.3205,0.6314767570836175
llama2_7b_chat,apple,value,monetary_value,euros,2.9875,0.6809967539918003
llama2_7b_chat,apple,value,monetary_value,pounds,2.3705000000000003,0.6659182421762885
llama2_7b_chat,apple,weight,weight,grams,150.0,0.0
llama2_7b_chat,apple,weight,weight,kilograms,151.0,4.472135954999578
llama2_7b_chat,apple,weight,weight,ounces,91.82000000000001,77.48989978326887
llama2_7b_chat,apple,weight,weight,pounds,136.025,37.23625673707648
llama2_7b_chat,backpack,size,height,centimeters,53.775,47.65569359036701
llama2_7b_chat,backpack,size,height,feet,9.082894736842105,7.676805128978076
llama2_7b_chat,backpack,size,height,inches,19.8,10.463470290793387
llama2_7b_chat,backpack,size,height,meters,32.300000000000004,28.842248140146385
llama2_7b_chat,backpack,size,height,millimeters,295.25,74.92935269129742
llama2_7b_chat,backpack,size,length,centimeters,35.5,5.826437026266793
llama2_7b_chat,backpack,size,length,feet,15.775,5.5142757314179764
llama2_7b_chat,backpack,size,length,inches,17.289473684210527,2.083771883666226
llama2_7b_chat,backpack,size,length,meters,42.357,9.965249673371538
llama2_7b_chat,backpack,size,length,millimeters,302.5,11.180339887498954
llama2_7b_chat,backpack,size,width,centimeters,31.5,2.350811729908137
llama2_7b_chat,backpack,size,width,feet,15.394736842105264,3.736378770385769
llama2_7b_chat,backpack,size,width,inches,15.868421052631579,1.7938328398459937
llama2_7b_chat,backpack,size,width,meters,33.035000000000004,6.83360696927518
llama2_7b_chat,backpack,size,width,millimeters,300.0,0.0
llama2_7b_chat,backpack,temperature,temperature,celsius,22.201,1.1738461299685337
llama2_7b_chat,backpack,temperature,temperature,fahrenheit,75.16499999999999,2.2981170782323423
llama2_7b_chat,backpack,temperature,temperature,kelvin,293.6763157894737,1.5765088382115273
llama2_7b_chat,backpack,value,monetary_value,US dollars,102.799,39.94218992230488
llama2_7b_chat,backpack,value,monetary_value,euros,99.05157894736843,49.276808638452266
llama2_7b_chat,backpack,value,monetary_value,pounds,23.20736842105263,19.883862200875157
llama2_7b_chat,backpack,weight,weight,grams,800.55,409.2629414730314
llama2_7b_chat,backpack,weight,weight,kilograms,4.5995,3.381622897523116
llama2_7b_chat,backpack,weight,weight,ounces,26.32,47.61238892291972
llama2_7b_chat,backpack,weight,weight,pounds,7.1049999999999995,6.877535895944128
llama2_7b_chat,banana,size,height,centimeters,14.5,3.9403446282620616
llama2_7b_chat,banana,size,height,feet,6.2975,1.2384705125784448
llama2_7b_chat,banana,size,height,inches,7.175,1.632523071490069
llama2_7b_chat,banana,size,height,meters,2.815,1.3476197339637102
llama2_7b_chat,banana,size,height,millimeters,105.0,15.389675281277311
llama2_7b_chat,banana,size,length,centimeters,18.0,4.103913408340616
llama2_7b_chat,banana,size,length,feet,7.185,2.1399151483423973
llama2_7b_chat,banana,size,length,inches,6.8,0.9233805168766387
llama2_7b_chat,banana,size,length,meters,8.85,22.07528982941405
llama2_7b_chat,banana,size,length,millimeters,147.5,47.225662069416636
llama2_7b_chat,banana,size,width,centimeters,10.75,1.831737742662616
llama2_7b_chat,banana,size,width,feet,6.05,4.57366604078518
llama2_7b_chat,banana,size,width,inches,5.325,1.3695466018857638
llama2_7b_chat,banana,size,width,meters,4.075,7.180520066196642
llama2_7b_chat,banana,size,width,millimeters,117.25,36.32727697793462
llama2_7b_chat,banana,temperature,temperature,celsius,26.0885,1.7365400415163115
llama2_7b_chat,banana,temperature,temperature,fahrenheit,75.59400000000001,2.556577481918481
llama2_7b_chat,banana,temperature,temperature,kelvin,293.4131578947368,1.147078669352804
llama2_7b_chat,banana,value,monetary_value,US dollars,0.6355000000000001,0.29519797103852724
llama2_7b_chat,banana,value,monetary_value,euros,0.7565000000000001,0.5294910664720267
llama2_7b_chat,banana,value,monetary_value,pounds,0.6224999999999999,0.2177123887391949
llama2_7b_chat,banana,weight,weight,grams,102.5,11.18033988749895
llama2_7b_chat,banana,weight,weight,kilograms,13.680539999999999,43.01654916871682
llama2_7b_chat,banana,weight,weight,ounces,3.0286153784458785,2.9936452192093306
llama2_7b_chat,banana,weight,weight,pounds,2.55,0.6863327411532597
llama2_7b_chat,baseball bat,size,height,centimeters,88.0,22.60705525645525
llama2_7b_chat,baseball bat,size,height,feet,32.45,9.922820587970572
llama2_7b_chat,baseball bat,size,height,inches,34.325,0.21612618146765383
llama2_7b_chat,baseball bat,size,height,meters,43.40142,53.30469763016942
llama2_7b_chat,baseball bat,size,height,millimeters,407.775,350.8213473595327
llama2_7b_chat,baseball bat,size,length,centimeters,99.0,3.077935056255461
llama2_7b_chat,baseball bat,size,length,feet,3.475,0.07694837640638658
llama2_7b_chat,baseball bat,size,length,inches,33.825,1.2724303310470162
llama2_7b_chat,baseball bat,size,length,meters,68.6122,50.99275145557971
llama2_7b_chat,baseball bat,size,length,millimeters,260.102,376.45596852473295
llama2_7b_chat,baseball bat,size,width,centimeters,28.15,14.841708654648684
llama2_7b_chat,baseball bat,size,width,feet,4.8125,5.928785155582266
llama2_7b_chat,baseball bat,size,width,inches,3.5125,0.0559016994374947
llama2_7b_chat,baseball bat,size,width,meters,23.97623,19.85758880367641
llama2_7b_chat,baseball bat,size,width,millimeters,70.35,97.00712127956055
llama2_7b_chat,baseball bat,temperature,temperature,celsius,22.4125,0.9638020925917365
llama2_7b_chat,baseball bat,temperature,temperature,fahrenheit,75.85,4.132986686086515
llama2_7b_chat,baseball bat,temperature,temperature,kelvin,287.3944444444444,21.936692930613443
llama2_7b_chat,baseball bat,value,monetary_value,US dollars,111.0,123.12381444793905
llama2_7b_chat,baseball bat,value,monetary_value,euros,58.7965,63.29584357144673
llama2_7b_chat,baseball bat,value,monetary_value,pounds,27.415,16.06987423394274
llama2_7b_chat,baseball bat,weight,weight,grams,305.0,15.389675281277302
llama2_7b_chat,baseball bat,weight,weight,kilograms,0.45,0.0
llama2_7b_chat,baseball bat,weight,weight,ounces,30.075,0.18317377426626133
llama2_7b_chat,baseball bat,weight,weight,pounds,30.2,0.2640773411432025
llama2_7b_chat,baseball glove,size,height,centimeters,28.95,2.0577197394970463
llama2_7b_chat,baseball glove,size,height,feet,22.34375,9.90255773379043
llama2_7b_chat,baseball glove,size,height,inches,9.925,0.5683540408842658
llama2_7b_chat,baseball glove,size,height,meters,23.0,1.5389675281277309
llama2_7b_chat,baseball glove,size,height,millimeters,248.75,69.34249475572224
llama2_7b_chat,baseball glove,size,length,centimeters,30.15,0.43225236293530794
llama2_7b_chat,baseball glove,size,length,feet,19.4375,3.2645171723274875
llama2_7b_chat,baseball glove,size,length,inches,10.8,0.2513123449750173
llama2_7b_chat,baseball glove,size,length,meters,24.9,2.21002500581233
llama2_7b_chat,baseball glove,size,length,millimeters,296.805,4.851746836802292
llama2_7b_chat,baseball glove,size,width,centimeters,29.775,0.6584471365105532
llama2_7b_chat,baseball glove,size,width,feet,8.6375,1.9626026624170048
llama2_7b_chat,baseball glove,size,width,inches,7.5625,0.34292664552426694
llama2_7b_chat,baseball glove,size,width,meters,23.475,0.11180339887498951
llama2_7b_chat,baseball glove,size,width,millimeters,296.35,10.864112820125762
llama2_7b_chat,baseball glove,temperature,temperature,celsius,22.16,0.8184709749539718
llama2_7b_chat,baseball glove,temperature,temperature,fahrenheit,74.3075,4.3573976721988785
llama2_7b_chat,baseball glove,temperature,temperature,kelvin,291.82842105263154,2.817872055998384
llama2_7b_chat,baseball glove,value,monetary_value,US dollars,77.2495,65.72322152105193
llama2_7b_chat,baseball glove,value,monetary_value,euros,86.298,70.08847203056254
llama2_7b_chat,baseball glove,value,monetary_value,pounds,42.746,25.93026323774881
llama2_7b_chat,baseball glove,weight,weight,grams,301.0,4.472135954999584
llama2_7b_chat,baseball glove,weight,weight,kilograms,302.0,8.944271909999161
llama2_7b_chat,baseball glove,weight,weight,ounces,130.275,154.93398212073902
llama2_7b_chat,baseball glove,weight,weight,pounds,272.38,103.98835258664411
llama2_7b_chat,bear,size,height,centimeters,169.0,39.85500034665135
llama2_7b_chat,bear,size,height,feet,7.725,0.5972524812135899
llama2_7b_chat,bear,size,height,inches,22.294999999999998,28.066321360962895
llama2_7b_chat,bear,size,height,meters,2.6100000000000003,0.3076224617081277
llama2_7b_chat,bear,size,height,millimeters,869.0,692.2495747085804
llama2_7b_chat,bear,size,length,centimeters,180.0,45.53772293962793
llama2_7b_chat,bear,size,length,feet,7.805,0.7715159376871376
llama2_7b_chat,bear,size,length,inches,72.975,36.370344701201425
llama2_7b_chat,bear,size,length,meters,3.3649999999999998,1.3769818253587887
llama2_7b_chat,bear,size,length,millimeters,794.0,641.6130986981583
llama2_7b_chat,bear,size,width,centimeters,155.5,37.48332962798263
llama2_7b_chat,bear,size,width,feet,7.315,1.5325503340235809
llama2_7b_chat,bear,size,width,inches,49.769999999999996,34.04203438784406
llama2_7b_chat,bear,size,width,meters,2.725,0.5250313273861306
llama2_7b_chat,bear,size,width,millimeters,340.0,368.61047761902574
llama2_7b_chat,bear,temperature,temperature,celsius,18.8715,4.93838166012436
llama2_7b_chat,bear,temperature,temperature,fahrenheit,41.6,15.982358695564436
llama2_7b_chat,bear,temperature,temperature,kelvin,22.128999999999998,3.833842239293301
llama2_7b_chat,bear,value,monetary_value,US dollars,3337.5,7492.502831778612
llama2_7b_chat,bear,value,monetary_value,euros,194.61700000000002,427.1158071616741
llama2_7b_chat,bear,value,monetary_value,pounds,235.0,196.0800051536429
llama2_7b_chat,bear,weight,weight,grams,172.5,73.40407273943893
llama2_7b_chat,bear,weight,weight,kilograms,150.0,0.0
llama2_7b_chat,bear,weight,weight,ounces,365.0,152.26362180874258
llama2_7b_chat,bear,weight,weight,pounds,370.0,128.1446551034375
llama2_7b_chat,bed,size,height,centimeters,104.59,39.015434192933924
llama2_7b_chat,bed,size,height,feet,49.8975,34.18336189234696
llama2_7b_chat,bed,size,height,inches,67.5,16.2982078446487
llama2_7b_chat,bed,size,height,meters,1.8,0.0
llama2_7b_chat,bed,size,height,millimeters,592.5,341.9275854390964
llama2_7b_chat,bed,size,length,centimeters,180.465,1.1370668637470644
llama2_7b_chat,bed,size,length,feet,21.514,28.76115003922735
llama2_7b_chat,bed,size,length,inches,76.175,0.2291287847477938
llama2_7b_chat,bed,size,length,meters,1.8039999999999998,0.017888543819998288
llama2_7b_chat,bed,size,length,millimeters,1810.5,14.680814547887792
llama2_7b_chat,bed,size,width,centimeters,119.0,16.51155894963793
llama2_7b_chat,bed,size,width,feet,52.749,31.747843010029417
llama2_7b_chat,bed,size,width,inches,76.26,0.2578249099884035
llama2_7b_chat,bed,size,width,meters,1.5,0.0
llama2_7b_chat,bed,size,width,millimeters,1680.0,246.234804500437
llama2_7b_chat,bed,temperature,temperature,celsius,21.54,0.8524886169945396
llama2_7b_chat,bed,temperature,temperature,fahrenheit,71.4525,1.7741918100778626
llama2_7b_chat,bed,temperature,temperature,kelvin,61.4125,97.72800718400993
llama2_7b_chat,bed,value,monetary_value,US dollars,103.25,62.79194970191976
llama2_7b_chat,bed,value,monetary_value,euros,267.5,300.5586903015607
llama2_7b_chat,bed,value,monetary_value,pounds,248.5,230.36070114405138
llama2_7b_chat,bed,weight,weight,grams,128.14249999999998,205.71874427492656
llama2_7b_chat,bed,weight,weight,kilograms,67.56,9.123330416834461
llama2_7b_chat,bed,weight,weight,ounces,111.5,20.84403234046921
llama2_7b_chat,bed,weight,weight,pounds,152.0,6.155870112510928
llama2_7b_chat,bench,size,height,centimeters,92.11666666666666,24.230468180274478
llama2_7b_chat,bench,size,height,feet,5.257894736842106,1.330545330754643
llama2_7b_chat,bench,size,height,inches,37.422222222222224,8.04167860407526
llama2_7b_chat,bench,size,height,meters,3.2049999999999996,7.48433275864357
llama2_7b_chat,bench,size,height,millimeters,698.8235294117648,235.63431289132046
llama2_7b_chat,bench,size,length,centimeters,179.75,1.1180339887498971
llama2_7b_chat,bench,size,length,feet,6.959999999999999,0.6532509794139333
llama2_7b_chat,bench,size,length,inches,69.3,5.393465832302132
llama2_7b_chat,bench,size,length,meters,1.5,0.0
llama2_7b_chat,bench,size,length,millimeters,547.0,558.0520632191569
llama2_7b_chat,bench,size,width,centimeters,115.5,24.38183102661747
llama2_7b_chat,bench,size,width,feet,9.4,11.923660688334197
llama2_7b_chat,bench,size,width,inches,63.25,7.573325765995726
llama2_7b_chat,bench,size,width,meters,1.5,0.0
llama2_7b_chat,bench,size,width,millimeters,1040.0,139.1704747876919
llama2_7b_chat,bench,temperature,temperature,celsius,22.134999999999998,0.36458339598996975
llama2_7b_chat,bench,temperature,temperature,fahrenheit,74.875,2.5362373705944803
llama2_7b_chat,bench,temperature,temperature,kelvin,171.225,138.80129919382864
llama2_7b_chat,bench,value,monetary_value,US dollars,101.9995,158.3086658689616
llama2_7b_chat,bench,value,monetary_value,euros,28.872000000000003,32.387524498761785
llama2_7b_chat,bench,value,monetary_value,pounds,41.748000000000005,49.56962690578725
llama2_7b_chat,bench,weight,weight,grams,4137.125,17856.7258540651
llama2_7b_chat,bench,weight,weight,kilograms,68.75,3.5662895357263946
llama2_7b_chat,bench,weight,weight,ounces,147.0,22.207158637179184
llama2_7b_chat,bench,weight,weight,pounds,154.275,8.839913967192688
llama2_7b_chat,bicycle,size,height,centimeters,89.5,3.590924232298039
llama2_7b_chat,bicycle,size,height,feet,24.583000000000002,11.341720420873687
llama2_7b_chat,bicycle,size,height,inches,32.025,9.34073562977045
llama2_7b_chat,bicycle,size,height,meters,1.7445,0.06908994899861758
llama2_7b_chat,bicycle,size,height,millimeters,865.0,102.72600244800421
llama2_7b_chat,bicycle,size,length,centimeters,114.0,34.70173664697186
llama2_7b_chat,bicycle,size,length,feet,61.085,24.13399600476255
llama2_7b_chat,bicycle,size,length,inches,60.65,18.249340290888096
llama2_7b_chat,bicycle,size,length,meters,1.83,0.07326950970650464
llama2_7b_chat,bicycle,size,length,millimeters,1188.5,532.0197364760071
llama2_7b_chat,bicycle,size,width,centimeters,69.05,3.0126924485373014
llama2_7b_chat,bicycle,size,width,feet,21.625,8.408759530519664
llama2_7b_chat,bicycle,size,width,inches,26.0,1.0259783520851544
llama2_7b_chat,bicycle,size,width,meters,1.4925000000000002,0.2848245073725223
llama2_7b_chat,bicycle,size,width,millimeters,702.5,11.180339887498965
llama2_7b_chat,bicycle,temperature,temperature,celsius,22.275,0.2826100158391977
llama2_7b_chat,bicycle,temperature,temperature,fahrenheit,72.825,1.8084232736951007
llama2_7b_chat,bicycle,temperature,temperature,kelvin,293.15,0.0
llama2_7b_chat,bicycle,value,monetary_value,US dollars,284.9995,117.09143977318706
llama2_7b_chat,bicycle,value,monetary_value,euros,272.49899999999997,139.05089946150164
llama2_7b_chat,bicycle,value,monetary_value,pounds,267.5,115.02288101892916
llama2_7b_chat,bicycle,weight,weight,grams,84.9229999880413,219.0744330438064
llama2_7b_chat,bicycle,weight,weight,kilograms,23.544999999999998,11.352183884494139
llama2_7b_chat,bicycle,weight,weight,ounces,27.432499999999997,2.805364926069523
llama2_7b_chat,bicycle,weight,weight,pounds,25.8425,2.174449416095462
llama2_7b_chat,bird,size,height,centimeters,28.5,3.6634754853252325
llama2_7b_chat,bird,size,height,feet,3.3421052631578947,0.501459857121279
llama2_7b_chat,bird,size,height,inches,16.119999999999997,6.607778510369824
llama2_7b_chat,bird,size,height,meters,0.8421052631578947,0.47295265146345866
llama2_7b_chat,bird,size,height,millimeters,238.5,84.99380782398829
llama2_7b_chat,bird,size,length,centimeters,29.25,2.4468024246479647
llama2_7b_chat,bird,size,length,feet,2.85,0.9333020044867296
llama2_7b_chat,bird,size,length,inches,13.327000000000002,3.1043604307828896
llama2_7b_chat,bird,size,length,meters,0.6,0.3077935056255462
llama2_7b_chat,bird,size,length,millimeters,275.0,71.63503994113789
llama2_7b_chat,bird,size,width,centimeters,38.5,35.396253146937816
llama2_7b_chat,bird,size,width,feet,4.325,3.7601616706564207
llama2_7b_chat,bird,size,width,inches,15.8025,5.794699824204147
llama2_7b_chat,bird,size,width,meters,1.725,0.5250313273861306
llama2_7b_chat,bird,size,width,millimeters,188.5,94.93903861231996
llama2_7b_chat,bird,temperature,temperature,celsius,39.5,0.0
llama2_7b_chat,bird,temperature,temperature,fahrenheit,97.21,5.235697309412521
llama2_7b_chat,bird,temperature,temperature,kelvin,39.31,0.14473205733717812
llama2_7b_chat,bird,value,monetary_value,US dollars,111.94649999999999,213.94632475595122
llama2_7b_chat,bird,value,monetary_value,euros,129.8535,300.33448772774034
llama2_7b_chat,bird,value,monetary_value,pounds,68.9965,221.12828623067603
llama2_7b_chat,bird,weight,weight,grams,500.2,474.39755147144814
llama2_7b_chat,bird,weight,weight,kilograms,3.2649999999999997,0.4545385166934644
llama2_7b_chat,bird,weight,weight,ounces,8.725,10.987403074238674
llama2_7b_chat,bird,weight,weight,pounds,3.35,0.36634754853252327
llama2_7b_chat,boat,size,height,centimeters,115.625,94.1229424182738
llama2_7b_chat,boat,size,height,feet,29.55,14.075828478935833
llama2_7b_chat,boat,size,height,inches,57.975,31.6300469241045
llama2_7b_chat,boat,size,height,meters,5.15,0.23508117299081369
llama2_7b_chat,boat,size,height,millimeters,810.0,1043.2237485188325
llama2_7b_chat,boat,size,length,centimeters,57.510000000000005,124.98920332320075
llama2_7b_chat,boat,size,length,feet,22.675,2.2610838109190023
llama2_7b_chat,boat,size,length,inches,24.255000000000003,0.26252819397462557
llama2_7b_chat,boat,size,length,meters,6.345000000000001,1.3284240762331092
llama2_7b_chat,boat,size,length,millimeters,1456.3,1838.1042823059793
llama2_7b_chat,boat,size,width,centimeters,122.0,109.84618432392777
llama2_7b_chat,boat,size,width,feet,19.15,5.871653582209502
llama2_7b_chat,boat,size,width,inches,32.8775,39.09056446590606
llama2_7b_chat,boat,size,width,meters,3.5149999999999997,0.11821033884786182
llama2_7b_chat,boat,size,width,millimeters,2700.325,922.380191549644
llama2_7b_chat,boat,temperature,temperature,celsius,20.725,2.1242645786248
llama2_7b_chat,boat,temperature,temperature,fahrenheit,71.65,2.3882387256148236
llama2_7b_chat,boat,temperature,temperature,kelvin,233.64499999999998,109.3683514069481
llama2_7b_chat,boat,value,monetary_value,US dollars,6300.0,8278.698092409408
llama2_7b_chat,boat,value,monetary_value,euros,5550.0,3734.2652345682764
llama2_7b_chat,boat,value,monetary_value,pounds,4430.0,7228.4598344977585
llama2_7b_chat,boat,weight,weight,grams,947.5,355.2149090043201
llama2_7b_chat,boat,weight,weight,kilograms,99.5,102.41684688719815
llama2_7b_chat,boat,weight,weight,ounces,152.5,37.95773272581241
llama2_7b_chat,boat,weight,weight,pounds,252.5,126.15258096531568
llama2_7b_chat,book,size,height,centimeters,19.3825,1.447371028705785
llama2_7b_chat,book,size,height,feet,12.68,6.212940654709924
llama2_7b_chat,book,size,height,inches,9.775,0.4652390443858436
llama2_7b_chat,book,size,height,meters,19.38578947368421,2.4445797543624135
llama2_7b_chat,book,size,height,millimeters,193.53,52.84700957530739
llama2_7b_chat,book,size,length,centimeters,19.229499999999998,1.3819264775933937
llama2_7b_chat,book,size,length,feet,112.346,125.42317885336908
llama2_7b_chat,book,size,length,inches,104.2645,109.16273860496923
llama2_7b_chat,book,size,length,meters,24.728,29.860522362970702
llama2_7b_chat,book,size,length,millimeters,198.78,31.837326653176337
llama2_7b_chat,book,size,width,centimeters,18.528,1.4414415299312444
llama2_7b_chat,book,size,width,feet,9.16,0.9713799191708781
llama2_7b_chat,book,size,width,inches,8.6,0.3077935056255463
llama2_7b_chat,book,size,width,meters,35.202999999999996,50.51134485387782
llama2_7b_chat,book,size,width,millimeters,187.115,36.19370801672578
llama2_7b_chat,book,temperature,temperature,celsius,21.8775,0.5741068578326914
llama2_7b_chat,book,temperature,temperature,fahrenheit,72.518,1.4969991034698282
llama2_7b_chat,book,temperature,temperature,kelvin,279.49249999999995,61.07819680540677
llama2_7b_chat,book,value,monetary_value,US dollars,3175.5825,11039.063047919695
llama2_7b_chat,book,value,monetary_value,euros,79.9155,218.2155942971851
llama2_7b_chat,book,value,monetary_value,pounds,241.30245,395.270499708807
llama2_7b_chat,book,weight,weight,grams,499.27,92.57375494849045
llama2_7b_chat,book,weight,weight,kilograms,402.56594,182.28290566730087
llama2_7b_chat,book,weight,weight,ounces,41.955555555555556,103.01481459549298
llama2_7b_chat,book,weight,weight,pounds,193.32425,216.63353107856085
llama2_7b_chat,bottle,size,height,centimeters,16.235,3.713315301225549
llama2_7b_chat,bottle,size,height,feet,10.475,2.4358884686247335
llama2_7b_chat,bottle,size,height,inches,8.9,1.0078638170329413
llama2_7b_chat,bottle,size,height,meters,0.2205,0.17724425608687427
llama2_7b_chat,bottle,size,height,millimeters,123.5,29.784312366712356
llama2_7b_chat,bottle,size,length,centimeters,16.11,4.144736675020882
llama2_7b_chat,bottle,size,length,feet,11.3,2.3808446090897197
llama2_7b_chat,bottle,size,length,inches,8.825,0.9904145862372885
llama2_7b_chat,bottle,size,length,meters,0.355,0.18701252420767522
llama2_7b_chat,bottle,size,length,millimeters,119.5,33.00318963851509
llama2_7b_chat,bottle,size,width,centimeters,9.45,1.255514153434235
llama2_7b_chat,bottle,size,width,feet,9.075,0.8777213321106562
llama2_7b_chat,bottle,size,width,inches,6.4,2.245463262482353
llama2_7b_chat,bottle,size,width,meters,1.3355000000000001,2.968775177178558
llama2_7b_chat,bottle,size,width,millimeters,70.5,1.5389675281277322
llama2_7b_chat,bottle,temperature,temperature,celsius,15.5,3.9403446282620607
llama2_7b_chat,bottle,temperature,temperature,fahrenheit,48.4935,5.434577672062862
llama2_7b_chat,bottle,temperature,temperature,kelvin,24.025,17.883007959630575
llama2_7b_chat,bottle,value,monetary_value,US dollars,7.790000000000001,4.851478342244058
llama2_7b_chat,bottle,value,monetary_value,euros,6.516,3.495084367628642
llama2_7b_chat,bottle,value,monetary_value,pounds,7.343000000000001,5.445173720103451
llama2_7b_chat,bottle,weight,weight,grams,575.0,318.5080350965304
llama2_7b_chat,bottle,weight,weight,kilograms,0.55,0.22360679774997896
llama2_7b_chat,bottle,weight,weight,ounces,13.85,2.359192546971147
llama2_7b_chat,bottle,weight,weight,pounds,1.234,0.26280671304411657
llama2_7b_chat,bowl,size,height,centimeters,13.025,2.4840279259384554
llama2_7b_chat,bowl,size,height,feet,7.0,3.842285504063544
llama2_7b_chat,bowl,size,height,inches,6.925,1.4980250156016823
llama2_7b_chat,bowl,size,height,meters,1.2125,2.1170905432742013
llama2_7b_chat,bowl,size,height,millimeters,115.5,29.819633235769178
llama2_7b_chat,bowl,size,length,centimeters,13.985,2.3472884692544156
llama2_7b_chat,bowl,size,length,feet,9.8,3.6720853103265165
llama2_7b_chat,bowl,size,length,inches,8.275,0.6171880204861229
llama2_7b_chat,bowl,size,length,meters,4.09,5.606753446561238
llama2_7b_chat,bowl,size,length,millimeters,128.5,29.607075967890193
