model,emotion,definition_1,definition_2,dimension,mean_def1,mean_def2,diff,t_stat,p_val,significant
groq_llama-4-maverick-17b-128e-instruct,amazement,cambridge,sentiwordnet,unpredictability,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,amazement,cambridge,sentiwordnet,valence,0.7249999999999999,0.6999999999999998,0.025000000000000022,2.5166,0.021,True
groq_llama-4-maverick-17b-128e-instruct,anger,cambridge,sentiwordnet,activity,0.8,0.8,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,anger,cambridge,sentiwordnet,arousal,0.8,0.8,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,anger,cambridge,sentiwordnet,dominance,0.175,-0.43,0.605,14.3071,0.0,True
groq_llama-4-maverick-17b-128e-instruct,anger,cambridge,sentiwordnet,evaluation,-0.8,-0.8,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,anger,cambridge,sentiwordnet,pleasure,-0.8000000000000002,-0.8000000000000002,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,anger,cambridge,sentiwordnet,potency,0.7875,0.8,-0.012500000000000067,-2.3604,0.0234,True
groq_llama-4-maverick-17b-128e-instruct,anger,cambridge,sentiwordnet,unpredictability,0.6999999999999998,0.6999999999999998,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,anger,cambridge,sentiwordnet,valence,-0.8000000000000002,-0.8000000000000002,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,annoyance,cambridge,sentiwordnet,activity,0.675,0.6125,0.0625,7.1635,0.0,True
groq_llama-4-maverick-17b-128e-instruct,annoyance,cambridge,sentiwordnet,arousal,0.6074999999999999,0.6674999999999999,-0.05999999999999994,-6.973,0.0,True
groq_llama-4-maverick-17b-128e-instruct,annoyance,cambridge,sentiwordnet,dominance,-0.49000000000000005,-0.45000000000000007,-0.03999999999999998,-1.9024,0.067,False
groq_llama-4-maverick-17b-128e-instruct,annoyance,cambridge,sentiwordnet,evaluation,-0.7175,-0.705,-0.012500000000000067,-1.7821,0.0796,False
groq_llama-4-maverick-17b-128e-instruct,annoyance,cambridge,sentiwordnet,pleasure,-0.6999999999999998,-0.6999999999999998,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,annoyance,cambridge,sentiwordnet,potency,0.6817500000000001,0.52,0.16175000000000006,9.614,0.0,True
groq_llama-4-maverick-17b-128e-instruct,annoyance,cambridge,sentiwordnet,unpredictability,0.6734999999999999,0.6249999999999999,0.04849999999999999,2.4064,0.0214,True
groq_llama-4-maverick-17b-128e-instruct,annoyance,cambridge,sentiwordnet,valence,-0.7299999999999999,-0.76,0.030000000000000138,1.9494,0.0587,False
groq_llama-4-maverick-17b-128e-instruct,anticipation,cambridge,sentiwordnet,activity,0.7,0.7,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,anticipation,cambridge,sentiwordnet,arousal,0.7,0.7,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,anticipation,cambridge,sentiwordnet,dominance,0.20000000000000004,0.5199999999999999,-0.31999999999999984,-23.2475,0.0,True
groq_llama-4-maverick-17b-128e-instruct,anticipation,cambridge,sentiwordnet,evaluation,0.6950000000000001,0.7,-0.004999999999999893,-1.0,0.3235,False
groq_llama-4-maverick-17b-128e-instruct,anticipation,cambridge,sentiwordnet,pleasure,0.6999999999999998,0.6999999999999998,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,anticipation,cambridge,sentiwordnet,potency,0.7,0.7,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,anticipation,cambridge,sentiwordnet,unpredictability,0.4000000000000001,0.33399999999999996,0.06600000000000011,5.9805,0.0,True
groq_llama-4-maverick-17b-128e-instruct,anticipation,cambridge,sentiwordnet,valence,0.6999999999999998,0.6099999999999999,0.08999999999999997,3.9428,0.0009,True
groq_llama-4-maverick-17b-128e-instruct,apprehension,cambridge,sentiwordnet,activity,0.6975,0.7224999999999999,-0.02499999999999991,-3.502,0.001,True
groq_llama-4-maverick-17b-128e-instruct,apprehension,cambridge,sentiwordnet,arousal,0.7,0.7,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,apprehension,cambridge,sentiwordnet,dominance,-0.5,-0.6999999999999998,0.19999999999999984,7852294263150164.0,0.0,True
groq_llama-4-maverick-17b-128e-instruct,apprehension,cambridge,sentiwordnet,evaluation,-0.725,-0.8,0.07500000000000007,10.8167,0.0,True
groq_llama-4-maverick-17b-128e-instruct,apprehension,cambridge,sentiwordnet,pleasure,-0.6999999999999998,-0.8000000000000002,0.10000000000000031,2776205260672863.5,0.0,True
groq_llama-4-maverick-17b-128e-instruct,apprehension,cambridge,sentiwordnet,potency,0.64925,0.6275000000000001,0.021749999999999936,2.1706,0.033,True
groq_llama-4-maverick-17b-128e-instruct,apprehension,cambridge,sentiwordnet,unpredictability,0.6984999999999999,0.6949999999999998,0.0035000000000000586,0.6705,0.5094,False
groq_llama-4-maverick-17b-128e-instruct,apprehension,cambridge,sentiwordnet,valence,-0.78,-0.7499999999999999,-0.030000000000000138,-2.0422,0.0485,True
groq_llama-4-maverick-17b-128e-instruct,awe,cambridge,sentiwordnet,activity,0.7975,0.8,-0.0025000000000000577,-1.0,0.3235,False
groq_llama-4-maverick-17b-128e-instruct,awe,cambridge,sentiwordnet,arousal,0.7975,0.8,-0.0025000000000000577,-1.0,0.3235,False
groq_llama-4-maverick-17b-128e-instruct,awe,cambridge,sentiwordnet,dominance,-0.25000000000000006,-0.51,0.25999999999999995,9.7903,0.0,True
groq_llama-4-maverick-17b-128e-instruct,awe,cambridge,sentiwordnet,evaluation,0.7,0.7975,-0.09750000000000003,-39.0,0.0,True
groq_llama-4-maverick-17b-128e-instruct,awe,cambridge,sentiwordnet,pleasure,0.6999999999999998,0.8000000000000002,-0.10000000000000031,-2776205260672863.5,0.0,True
groq_llama-4-maverick-17b-128e-instruct,awe,cambridge,sentiwordnet,potency,0.8,0.8,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,awe,cambridge,sentiwordnet,unpredictability,0.7049999999999998,0.7049999999999998,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,awe,cambridge,sentiwordnet,valence,0.51,0.7650000000000001,-0.2550000000000001,-17.2024,0.0,True
groq_llama-4-maverick-17b-128e-instruct,boredom,cambridge,sentiwordnet,activity,0.2,0.2,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,boredom,cambridge,sentiwordnet,arousal,0.205,0.2,0.004999999999999977,1.4327,0.1599,False
groq_llama-4-maverick-17b-128e-instruct,boredom,cambridge,sentiwordnet,dominance,-0.5,-0.5,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,boredom,cambridge,sentiwordnet,evaluation,-0.71,-0.71,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,boredom,cambridge,sentiwordnet,pleasure,-0.6999999999999998,-0.6999999999999998,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,boredom,cambridge,sentiwordnet,potency,0.2,0.20249999999999999,-0.0024999999999999745,-1.0,0.3235,False
groq_llama-4-maverick-17b-128e-instruct,boredom,cambridge,sentiwordnet,unpredictability,0.41000000000000003,0.39500000000000013,0.014999999999999902,1.7633,0.0867,False
groq_llama-4-maverick-17b-128e-instruct,boredom,cambridge,sentiwordnet,valence,-0.6599999999999998,-0.6999999999999998,0.040000000000000036,2.1794,0.0421,True
groq_llama-4-maverick-17b-128e-instruct,contempt,cambridge,sentiwordnet,activity,0.7825,0.7975,-0.015000000000000013,-2.2804,0.0267,True
groq_llama-4-maverick-17b-128e-instruct,contempt,cambridge,sentiwordnet,arousal,0.705,0.7,0.0050000000000000044,1.4327,0.1599,False
groq_llama-4-maverick-17b-128e-instruct,contempt,cambridge,sentiwordnet,dominance,0.6199999999999999,0.6899999999999998,-0.06999999999999995,-2.8453,0.0085,True
groq_llama-4-maverick-17b-128e-instruct,contempt,cambridge,sentiwordnet,evaluation,-0.8,-0.8225,0.022499999999999964,3.3649,0.0017,True
groq_llama-4-maverick-17b-128e-instruct,contempt,cambridge,sentiwordnet,pleasure,-0.8000000000000002,-0.8000000000000002,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,contempt,cambridge,sentiwordnet,potency,0.8,0.8,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,contempt,cambridge,sentiwordnet,unpredictability,0.6999999999999998,0.6999999999999998,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,contempt,cambridge,sentiwordnet,valence,-0.8000000000000002,-0.8000000000000002,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,disappointment,cambridge,sentiwordnet,activity,0.5974999999999999,0.6,-0.0025000000000000577,-0.206,0.8374,False
groq_llama-4-maverick-17b-128e-instruct,disappointment,cambridge,sentiwordnet,arousal,0.40750000000000003,0.48250000000000004,-0.07500000000000001,-4.8998,0.0,True
groq_llama-4-maverick-17b-128e-instruct,disappointment,cambridge,sentiwordnet,dominance,-0.5,-0.51,0.010000000000000009,1.0,0.3299,False
groq_llama-4-maverick-17b-128e-instruct,disappointment,cambridge,sentiwordnet,evaluation,-0.7375,-0.7925,0.05499999999999994,6.2321,0.0,True
groq_llama-4-maverick-17b-128e-instruct,disappointment,cambridge,sentiwordnet,pleasure,-0.6999999999999998,-0.6999999999999998,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,disappointment,cambridge,sentiwordnet,potency,0.3975,0.4,-0.0025000000000000022,-1.0,0.3235,False
groq_llama-4-maverick-17b-128e-instruct,disappointment,cambridge,sentiwordnet,unpredictability,0.41500000000000004,0.565,-0.1499999999999999,-7.0711,0.0,True
groq_llama-4-maverick-17b-128e-instruct,disappointment,cambridge,sentiwordnet,valence,-0.735,-0.7249999999999999,-0.01000000000000012,-0.6766,0.5028,False
groq_llama-4-maverick-17b-128e-instruct,disgust,cambridge,sentiwordnet,activity,0.795,0.7725,0.022500000000000075,2.828,0.0065,True
groq_llama-4-maverick-17b-128e-instruct,disgust,cambridge,sentiwordnet,arousal,0.725,0.7025,0.022499999999999964,3.0526,0.0037,True
groq_llama-4-maverick-17b-128e-instruct,disgust,cambridge,sentiwordnet,dominance,-0.4800000000000001,-0.47000000000000003,-0.010000000000000064,-0.4673,0.643,False
groq_llama-4-maverick-17b-128e-instruct,disgust,cambridge,sentiwordnet,evaluation,-0.8,-0.8,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,disgust,cambridge,sentiwordnet,pleasure,-0.8000000000000002,-0.8000000000000002,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,disgust,cambridge,sentiwordnet,potency,0.7025,0.7075,-0.0050000000000000044,-1.0198,0.3117,False
groq_llama-4-maverick-17b-128e-instruct,disgust,cambridge,sentiwordnet,unpredictability,0.6899999999999998,0.6949999999999998,-0.0050000000000000044,-0.5878,0.5605,False
groq_llama-4-maverick-17b-128e-instruct,disgust,cambridge,sentiwordnet,valence,-0.8000000000000002,-0.805,0.004999999999999893,1.0,0.3299,False
groq_llama-4-maverick-17b-128e-instruct,distraction,cambridge,sentiwordnet,activity,0.3975000000000001,0.77,-0.37249999999999994,-31.8226,0.0,True
groq_llama-4-maverick-17b-128e-instruct,distraction,cambridge,sentiwordnet,arousal,0.3875,0.7749999999999999,-0.3874999999999999,-44.4137,0.0,True
groq_llama-4-maverick-17b-128e-instruct,distraction,cambridge,sentiwordnet,dominance,-0.5,-0.5349999999999999,0.03499999999999992,1.7887,0.0896,False
groq_llama-4-maverick-17b-128e-instruct,distraction,cambridge,sentiwordnet,evaluation,-0.7,-0.8,0.10000000000000009,16.1245,0.0,True
groq_llama-4-maverick-17b-128e-instruct,distraction,cambridge,sentiwordnet,pleasure,-0.7199999999999999,-0.8000000000000002,0.0800000000000003,8.7178,0.0,True
groq_llama-4-maverick-17b-128e-instruct,distraction,cambridge,sentiwordnet,potency,0.36,0.7,-0.33999999999999997,-36.4143,0.0,True
groq_llama-4-maverick-17b-128e-instruct,distraction,cambridge,sentiwordnet,unpredictability,0.6999999999999998,0.6999999999999998,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,distraction,cambridge,sentiwordnet,valence,-0.6399999999999999,-0.7700000000000001,0.13000000000000023,5.53,0.0,True
groq_llama-4-maverick-17b-128e-instruct,ecstasy,cambridge,sentiwordnet,activity,0.8149999999999998,0.8,0.014999999999999791,2.6234,0.0124,True
groq_llama-4-maverick-17b-128e-instruct,ecstasy,cambridge,sentiwordnet,arousal,0.8025,0.8,0.0024999999999999467,1.0,0.3235,False
groq_llama-4-maverick-17b-128e-instruct,ecstasy,cambridge,sentiwordnet,dominance,0.5599999999999999,-0.35500000000000004,0.915,12.4958,0.0,True
groq_llama-4-maverick-17b-128e-instruct,ecstasy,cambridge,sentiwordnet,evaluation,0.9100000000000001,0.8,0.1100000000000001,22.8983,0.0,True
groq_llama-4-maverick-17b-128e-instruct,ecstasy,cambridge,sentiwordnet,pleasure,0.9499999999999998,0.8999999999999998,0.050000000000000044,4.3589,0.0003,True
groq_llama-4-maverick-17b-128e-instruct,ecstasy,cambridge,sentiwordnet,potency,0.8550000000000001,0.805,0.050000000000000044,5.749,0.0,True
groq_llama-4-maverick-17b-128e-instruct,ecstasy,cambridge,sentiwordnet,unpredictability,0.6999999999999998,0.7049999999999998,-0.0050000000000000044,-1.0,0.3299,False
groq_llama-4-maverick-17b-128e-instruct,ecstasy,cambridge,sentiwordnet,valence,0.9199999999999999,0.8899999999999999,0.030000000000000027,2.6153,0.013,True
groq_llama-4-maverick-17b-128e-instruct,fear,cambridge,sentiwordnet,activity,0.7,0.7025,-0.0025000000000000577,-1.0,0.3235,False
groq_llama-4-maverick-17b-128e-instruct,fear,cambridge,sentiwordnet,arousal,0.73,0.7949999999999999,-0.06499999999999995,-7.9994,0.0,True
groq_llama-4-maverick-17b-128e-instruct,fear,cambridge,sentiwordnet,dominance,-0.51,-0.5,-0.010000000000000009,-1.0,0.3299,False
groq_llama-4-maverick-17b-128e-instruct,fear,cambridge,sentiwordnet,evaluation,-0.8,-0.8,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,fear,cambridge,sentiwordnet,pleasure,-0.8000000000000002,-0.8000000000000002,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,fear,cambridge,sentiwordnet,potency,0.7025,0.715,-0.012499999999999956,-2.0031,0.0503,False
groq_llama-4-maverick-17b-128e-instruct,fear,cambridge,sentiwordnet,unpredictability,0.6999999999999998,0.6969999999999998,0.0030000000000000027,1.453,0.1625,False
groq_llama-4-maverick-17b-128e-instruct,fear,cambridge,sentiwordnet,valence,-0.8000000000000002,-0.8000000000000002,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,grief,cambridge,sentiwordnet,activity,0.7925,0.705,0.08750000000000002,15.9838,0.0,True
groq_llama-4-maverick-17b-128e-instruct,grief,cambridge,sentiwordnet,arousal,0.7,0.7,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,grief,cambridge,sentiwordnet,dominance,-0.7099999999999997,-0.6999999999999998,-0.009999999999999898,-1.453,0.1625,False
groq_llama-4-maverick-17b-128e-instruct,grief,cambridge,sentiwordnet,evaluation,-0.8975,-0.8375000000000001,-0.05999999999999983,-7.3662,0.0,True
groq_llama-4-maverick-17b-128e-instruct,grief,cambridge,sentiwordnet,pleasure,-0.8000000000000002,-0.8000000000000002,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,grief,cambridge,sentiwordnet,potency,0.6125,0.71,-0.09749999999999992,-4.6708,0.0,True
groq_llama-4-maverick-17b-128e-instruct,grief,cambridge,sentiwordnet,unpredictability,0.6999999999999998,0.6999999999999998,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,grief,cambridge,sentiwordnet,valence,-0.875,-0.805,-0.06999999999999995,-6.2942,0.0,True
groq_llama-4-maverick-17b-128e-instruct,interest,cambridge,sentiwordnet,activity,0.7,0.775,-0.07500000000000007,-10.8167,0.0,True
groq_llama-4-maverick-17b-128e-instruct,interest,cambridge,sentiwordnet,arousal,0.6674999999999999,0.7,-0.032500000000000084,-4.3333,0.0001,True
groq_llama-4-maverick-17b-128e-instruct,interest,cambridge,sentiwordnet,dominance,0.20000000000000004,0.20000000000000004,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,interest,cambridge,sentiwordnet,evaluation,0.505,0.505,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,interest,cambridge,sentiwordnet,pleasure,0.6199999999999999,0.5999999999999999,0.020000000000000018,0.6227,0.5372,False
groq_llama-4-maverick-17b-128e-instruct,interest,cambridge,sentiwordnet,potency,0.5967500000000001,0.7,-0.10324999999999984,-23.7524,0.0,True
groq_llama-4-maverick-17b-128e-instruct,interest,cambridge,sentiwordnet,unpredictability,0.5,0.5,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,interest,cambridge,sentiwordnet,valence,0.53,0.57,-0.039999999999999925,-1.4632,0.1523,False
groq_llama-4-maverick-17b-128e-instruct,joy,cambridge,sentiwordnet,activity,0.8,0.7975,0.0025000000000000577,1.0,0.3235,False
groq_llama-4-maverick-17b-128e-instruct,joy,cambridge,sentiwordnet,arousal,0.7925,0.7699999999999999,0.022500000000000075,2.6584,0.01,True
groq_llama-4-maverick-17b-128e-instruct,joy,cambridge,sentiwordnet,dominance,0.385,0.26000000000000006,0.12499999999999994,2.926,0.0058,True
groq_llama-4-maverick-17b-128e-instruct,joy,cambridge,sentiwordnet,evaluation,0.8,0.8,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,joy,cambridge,sentiwordnet,pleasure,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,joy,cambridge,sentiwordnet,potency,0.7,0.7,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,joy,cambridge,sentiwordnet,unpredictability,0.39500000000000013,0.4000000000000001,-0.004999999999999949,-1.0,0.3299,False
groq_llama-4-maverick-17b-128e-instruct,joy,cambridge,sentiwordnet,valence,0.8300000000000001,0.8000000000000002,0.029999999999999916,2.8536,0.0102,True
groq_llama-4-maverick-17b-128e-instruct,loathing,cambridge,sentiwordnet,activity,0.8,0.8,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,loathing,cambridge,sentiwordnet,arousal,0.7725,0.8,-0.02750000000000008,-3.8462,0.0004,True
groq_llama-4-maverick-17b-128e-instruct,loathing,cambridge,sentiwordnet,dominance,-0.3,-0.43,0.13,1.4482,0.1572,False
groq_llama-4-maverick-17b-128e-instruct,loathing,cambridge,sentiwordnet,evaluation,-0.8699999999999999,-0.9,0.030000000000000138,4.0883,0.0002,True
groq_llama-4-maverick-17b-128e-instruct,loathing,cambridge,sentiwordnet,pleasure,-0.8000000000000002,-0.8799999999999999,0.07999999999999974,8.7178,0.0,True
groq_llama-4-maverick-17b-128e-instruct,loathing,cambridge,sentiwordnet,potency,0.8,0.8,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,loathing,cambridge,sentiwordnet,unpredictability,0.6999999999999998,0.6999999999999998,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,loathing,cambridge,sentiwordnet,valence,-0.86,-0.8999999999999998,0.039999999999999813,3.559,0.0021,True
groq_llama-4-maverick-17b-128e-instruct,love,cambridge,sentiwordnet,activity,0.8,0.6925,0.10750000000000004,25.4882,0.0,True
groq_llama-4-maverick-17b-128e-instruct,love,cambridge,sentiwordnet,arousal,0.7925,0.41,0.3825,46.9029,0.0,True
groq_llama-4-maverick-17b-128e-instruct,love,cambridge,sentiwordnet,dominance,0.20000000000000004,0.20000000000000004,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,love,cambridge,sentiwordnet,evaluation,0.8,0.8,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,love,cambridge,sentiwordnet,pleasure,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,love,cambridge,sentiwordnet,potency,0.8,0.6725,0.12750000000000006,13.4709,0.0,True
groq_llama-4-maverick-17b-128e-instruct,love,cambridge,sentiwordnet,unpredictability,0.6999999999999998,0.6999999999999998,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,love,cambridge,sentiwordnet,valence,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,optimism,cambridge,sentiwordnet,activity,0.7,0.7025,-0.0025000000000000577,-1.0,0.3235,False
groq_llama-4-maverick-17b-128e-instruct,optimism,cambridge,sentiwordnet,arousal,0.6475,0.6674999999999999,-0.019999999999999907,-1.8243,0.072,False
groq_llama-4-maverick-17b-128e-instruct,optimism,cambridge,sentiwordnet,dominance,0.5,0.5,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,optimism,cambridge,sentiwordnet,evaluation,0.79125,0.8,-0.008750000000000036,-2.0143,0.0509,False
groq_llama-4-maverick-17b-128e-instruct,optimism,cambridge,sentiwordnet,pleasure,0.7950000000000002,0.8000000000000002,-0.0050000000000000044,-1.0,0.3299,False
groq_llama-4-maverick-17b-128e-instruct,optimism,cambridge,sentiwordnet,potency,0.7,0.7,0.0,,,False
groq_llama-4-maverick-17b-128e-instruct,optimism,cambridge,sentiwordnet,unpredictability,0.4000000000000001,0.4000000000000001,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,optimism,cambridge,sentiwordnet,valence,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,pensiveness,cambridge,sentiwordnet,activity,0.205,0.39,-0.18500000000000003,-31.1568,0.0,True
groq_llama-4-maverick-17b-128e-instruct,pensiveness,cambridge,sentiwordnet,arousal,0.3,0.34,-0.040000000000000036,-5.099,0.0,True
groq_llama-4-maverick-17b-128e-instruct,pensiveness,cambridge,sentiwordnet,dominance,0.20000000000000004,0.20000000000000004,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,pensiveness,cambridge,sentiwordnet,evaluation,-0.22249999999999998,-0.30250000000000005,0.08000000000000007,5.2699,0.0,True
groq_llama-4-maverick-17b-128e-instruct,pensiveness,cambridge,sentiwordnet,pleasure,-0.085,-0.29999999999999993,0.2149999999999999,4.6129,0.0001,True
groq_llama-4-maverick-17b-128e-instruct,pensiveness,cambridge,sentiwordnet,potency,0.4,0.6975,-0.2975,-119.0,0.0,True
groq_llama-4-maverick-17b-128e-instruct,pensiveness,cambridge,sentiwordnet,unpredictability,0.4000000000000001,0.4000000000000001,0.0,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,pensiveness,cambridge,sentiwordnet,valence,-0.20000000000000004,-0.225,0.024999999999999967,2.5166,0.021,True
groq_llama-4-maverick-17b-128e-instruct,rage,cambridge,sentiwordnet,activity,0.885,0.8,0.08499999999999996,14.8661,0.0,True
groq_llama-4-maverick-17b-128e-instruct,rage,cambridge,sentiwordnet,arousal,0.9,0.8800000000000001,0.019999999999999907,3.1225,0.0034,True
