model,emotion,definition_1,definition_2,activity_mean_mean_cambridge,activity_mean_mean_sentiwordnet,activity_mean_pval,arousal_mean_mean_cambridge,arousal_mean_mean_sentiwordnet,arousal_mean_pval,valence_mean_mean_cambridge,valence_mean_mean_sentiwordnet,valence_mean_pval,dominance_mean_mean_cambridge,dominance_mean_mean_sentiwordnet,dominance_mean_pval
groq_llama-4-scout-17b-16e-instruct,acceptance,cambridge,sentiwordnet,0.5,0.2025,,0.2025,0.2,,0.77,0.8,,0.165,-0.35,
groq_llama-4-scout-17b-16e-instruct,admiration,cambridge,sentiwordnet,0.6,0.6,,0.5,0.6,,0.8,0.8,,-0.23,0.2,
groq_llama-4-scout-17b-16e-instruct,aggressiveness,cambridge,sentiwordnet,0.7,0.8,,0.7,0.7975,,-0.735,-0.8,,0.5,0.53,
groq_llama-4-scout-17b-16e-instruct,amazement,cambridge,sentiwordnet,0.8,0.8,,0.8,0.8,,0.8,0.8,,-0.5,-0.5,
groq_llama-4-scout-17b-16e-instruct,anger,cambridge,sentiwordnet,0.735,0.7975,,0.8,0.8,,-0.8,-0.8,,-0.41,0.245,
groq_llama-4-scout-17b-16e-instruct,annoyance,cambridge,sentiwordnet,0.6,0.5975,,0.6,0.6,,-0.8,-0.8,,-0.54,-0.5,
groq_llama-4-scout-17b-16e-instruct,anticipation,cambridge,sentiwordnet,0.6875,0.6,,0.6975,0.6,,0.7,0.5,,0.2,0.51,
groq_llama-4-scout-17b-16e-instruct,apprehension,cambridge,sentiwordnet,0.6025,0.6,,0.6,0.605,,-0.62,-0.705,,-0.54,-0.585,
groq_llama-4-scout-17b-16e-instruct,awe,cambridge,sentiwordnet,0.7,0.715,,0.7,0.795,,0.19,0.8,,-0.5,-0.5,
groq_llama-4-scout-17b-16e-instruct,boredom,cambridge,sentiwordnet,0.2,0.2,,0.2,0.2,,-0.5,-0.62,,-0.5,-0.5,
groq_llama-4-scout-17b-16e-instruct,contempt,cambridge,sentiwordnet,0.6,0.6,,0.6,0.6,,-0.8,-0.8,,-0.515,-0.67,
groq_llama-4-scout-17b-16e-instruct,disappointment,cambridge,sentiwordnet,0.3825,0.435,,0.4,0.6,,-0.8,-0.795,,-0.59,-0.5,
groq_llama-4-scout-17b-16e-instruct,disgust,cambridge,sentiwordnet,0.66,0.62,,0.6,0.6,,-0.8,-0.8,,-0.5,-0.5,
groq_llama-4-scout-17b-16e-instruct,distraction,cambridge,sentiwordnet,0.2,0.7,,0.2,0.685,,-0.51,-0.8,,-0.5,-0.56,
groq_llama-4-scout-17b-16e-instruct,ecstasy,cambridge,sentiwordnet,0.8,0.8,,0.8,0.8,,0.9,0.89,,0.37,-0.5,
groq_llama-4-scout-17b-16e-instruct,fear,cambridge,sentiwordnet,0.7,0.705,,0.705,0.775,,-0.795,-0.8,,-0.645,-0.695,
groq_llama-4-scout-17b-16e-instruct,grief,cambridge,sentiwordnet,0.6,0.6975,,0.685,0.7,,-0.805,-0.8,,-0.7,-0.71,
groq_llama-4-scout-17b-16e-instruct,interest,cambridge,sentiwordnet,0.6375,0.69,,0.5925,0.7,,0.775,0.8,,0.0,0.455,
groq_llama-4-scout-17b-16e-instruct,joy,cambridge,sentiwordnet,0.7025,0.7075,,0.7225,0.745,,0.81,0.8,,0.59,0.5,
groq_llama-4-scout-17b-16e-instruct,loathing,cambridge,sentiwordnet,0.7,0.8,,0.69,0.705,,-0.8,-0.8,,-0.66,-0.7,
groq_llama-4-scout-17b-16e-instruct,love,cambridge,sentiwordnet,0.51,0.665,,0.2,0.2,,0.8,0.8,,0.0,-0.5,
groq_llama-4-scout-17b-16e-instruct,optimism,cambridge,sentiwordnet,0.6,0.6,,0.555,0.56,,0.775,0.8,,0.51,0.505,
groq_llama-4-scout-17b-16e-instruct,pensiveness,cambridge,sentiwordnet,0.2,0.2,,0.2,0.2,,-0.2,-0.305,,-0.275,-0.365,
groq_llama-4-scout-17b-16e-instruct,rage,cambridge,sentiwordnet,0.8,0.8,,0.8,0.8025,,-0.81,-0.815,,-0.69,-0.715,
groq_llama-4-scout-17b-16e-instruct,remorse,cambridge,sentiwordnet,0.58,0.545,,0.6,0.6,,-0.74,-0.8,,-0.5,-0.5,
groq_llama-4-scout-17b-16e-instruct,sadness,cambridge,sentiwordnet,0.3375,0.395,,0.34,0.4,,-0.785,-0.7,,-0.7,-0.57,
groq_llama-4-scout-17b-16e-instruct,serenity,cambridge,sentiwordnet,0.2,0.2,,0.2,0.1,,0.8,0.805,,-0.48,0.5,
groq_llama-4-scout-17b-16e-instruct,submission,cambridge,sentiwordnet,0.3,0.215,,0.2975,0.2,,-0.2,-0.21,,-0.5,-0.775,
groq_llama-4-scout-17b-16e-instruct,surprise,cambridge,sentiwordnet,0.7,0.77,,0.7,0.8,,0.0,-0.5,,-0.455,-0.5,
groq_llama-4-scout-17b-16e-instruct,terror,cambridge,sentiwordnet,0.895,0.8025,,0.9,0.8975,,-1.0,-0.8,,-0.8,-0.8,
groq_llama-4-scout-17b-16e-instruct,trust,cambridge,sentiwordnet,0.5,0.21,,0.2,0.2025,,0.8,0.8,,0.2,0.2,
groq_llama-4-scout-17b-16e-instruct,vigilance,cambridge,sentiwordnet,0.65,0.7,,0.6925,0.7,,-0.06,0.145,,0.2,0.52,
openai_gpt-5,acceptance,cambridge,sentiwordnet,0.297,0.222,,0.2877,0.218,,0.7065,0.733,,0.291,0.025,
openai_gpt-5,admiration,cambridge,sentiwordnet,0.4865,0.5198,,0.5548,0.5647,,0.751,0.792,,-0.1915,-0.008,
openai_gpt-5,aggressiveness,cambridge,sentiwordnet,0.789,0.7998,,0.8345,0.852,,-0.7755,-0.753,,0.6555,0.707,
openai_gpt-5,amazement,cambridge,sentiwordnet,0.8627,0.8195,,0.89,0.8528,,0.5675,0.5275,,-0.4935,-0.434,
openai_gpt-5,anger,cambridge,sentiwordnet,0.7975,0.797,,0.8303,0.826,,-0.775,-0.7535,,0.397,0.3005,
openai_gpt-5,annoyance,cambridge,sentiwordnet,0.4205,0.4648,,0.5405,0.5482,,-0.5435,-0.5675,,-0.119,0.0535,
openai_gpt-5,anticipation,cambridge,sentiwordnet,0.6832,0.6195,,0.706,0.635,,0.6315,0.6345,,0.275,0.5335,
openai_gpt-5,apprehension,cambridge,sentiwordnet,0.5978,0.6368,,0.6255,0.6802,,-0.6125,-0.6355,,-0.5705,-0.611,
openai_gpt-5,awe,cambridge,sentiwordnet,0.6083,0.6135,,0.693,0.7,,0.2675,0.4925,,-0.5725,-0.6075,
openai_gpt-5,boredom,cambridge,sentiwordnet,0.2295,0.2365,,0.229,0.2167,,-0.5205,-0.5135,,-0.3805,-0.3655,
openai_gpt-5,contempt,cambridge,sentiwordnet,0.3433,0.369,,0.372,0.395,,-0.7035,-0.771,,0.6245,0.6235,
openai_gpt-5,disappointment,cambridge,sentiwordnet,0.3357,0.338,,0.334,0.3365,,-0.625,-0.6125,,-0.508,-0.543,
openai_gpt-5,disgust,cambridge,sentiwordnet,0.6288,0.6422,,0.6727,0.6745,,-0.8425,-0.8525,,-0.211,-0.3785,
openai_gpt-5,distraction,cambridge,sentiwordnet,0.3858,0.6082,,0.3938,0.6822,,-0.6165,-0.662,,-0.3815,-0.6065,
openai_gpt-5,ecstasy,cambridge,sentiwordnet,0.8932,0.883,,0.9403,0.93,,0.973,0.957,,0.4315,-0.582,
openai_gpt-5,fear,cambridge,sentiwordnet,0.8085,0.819,,0.8458,0.8573,,-0.7725,-0.7875,,-0.6825,-0.675,
openai_gpt-5,grief,cambridge,sentiwordnet,0.4672,0.5885,,0.3775,0.4708,,-0.9135,-0.917,,-0.7935,-0.759,
openai_gpt-5,interest,cambridge,sentiwordnet,0.5438,0.5312,,0.5965,0.593,,0.4805,0.436,,0.297,0.2695,
openai_gpt-5,joy,cambridge,sentiwordnet,0.7415,0.6513,,0.7878,0.731,,0.941,0.94,,0.6235,0.5935,
openai_gpt-5,loathing,cambridge,sentiwordnet,0.7098,0.733,,0.7447,0.7475,,-0.9065,-0.8995,,0.161,0.294,
openai_gpt-5,love,cambridge,sentiwordnet,0.6495,0.5952,,0.6505,0.6163,,0.9025,0.9035,,0.3785,0.3675,
openai_gpt-5,optimism,cambridge,sentiwordnet,0.4065,0.3963,,0.4893,0.4213,,0.863,0.8555,,0.5845,0.5885,
openai_gpt-5,pensiveness,cambridge,sentiwordnet,0.243,0.279,,0.2615,0.2915,,-0.2,-0.203,,-0.1505,-0.1035,
openai_gpt-5,rage,cambridge,sentiwordnet,0.9275,0.9187,,0.9545,0.9438,,-0.9075,-0.899,,-0.0455,0.1265,
openai_gpt-5,remorse,cambridge,sentiwordnet,0.3825,0.4153,,0.3655,0.4205,,-0.753,-0.8215,,-0.5755,-0.6315,
openai_gpt-5,sadness,cambridge,sentiwordnet,0.2953,0.3005,,0.2687,0.2913,,-0.7775,-0.73,,-0.582,-0.59,
openai_gpt-5,serenity,cambridge,sentiwordnet,0.151,0.09,,0.1428,0.0668,,0.8145,0.8055,,0.4875,0.59,
openai_gpt-5,submission,cambridge,sentiwordnet,0.319,0.2313,,0.3375,0.2225,,-0.418,-0.2135,,-0.8215,-0.815,
openai_gpt-5,surprise,cambridge,sentiwordnet,0.757,0.8172,,0.807,0.8325,,0.0,0.0,,-0.46,-0.554,
openai_gpt-5,terror,cambridge,sentiwordnet,0.9393,0.933,,0.9503,0.946,,-0.949,-0.9385,,-0.906,-0.89,
openai_gpt-5,trust,cambridge,sentiwordnet,0.2777,0.278,,0.2755,0.3018,,0.7795,0.7645,,0.4245,0.281,
openai_gpt-5,vigilance,cambridge,sentiwordnet,0.6535,0.6225,,0.7115,0.693,,-0.3075,-0.22,,0.243,0.4285,
